group,arm,channel,metric,state_values,mean,positive_states,selected_indices,matched_control_mean_pp,continuation_gate,n_initial_states,plans_per_state,reused_development,heldout_performance,source
Predictor: action-responsive rank4,native,predicted,selected_requested_goal_coverage_gain_pp,"[0.0, 0.0, 0.0, 0.0]",0.0,0,"[0, 0, 0, 1]",,not_applicable_control_or_diagnostic,4,64,True,untested,action_responsive_subspace_v1
Predictor: action-responsive rank4,targeted_minus,predicted,selected_requested_goal_coverage_gain_pp,"[0.0, 0.0, 0.0, 0.0]",0.0,0,"[0, 0, 0, 1]",0.0,fail,4,64,True,untested,action_responsive_subspace_v1
Predictor: action-responsive rank4,random_basis_minus,predicted,selected_requested_goal_coverage_gain_pp,"[0.0, 0.0, 0.0, 0.0]",0.0,0,"[0, 0, 0, 1]",,not_applicable_control_or_diagnostic,4,64,True,untested,action_responsive_subspace_v1
Predictor: action-responsive rank4,random_patches_minus,predicted,selected_requested_goal_coverage_gain_pp,"[0.0, 0.0, 0.0, 0.0]",0.0,0,"[0, 0, 0, 1]",,not_applicable_control_or_diagnostic,4,64,True,untested,action_responsive_subspace_v1
Predictor: action-responsive rank4,random_both_minus,predicted,selected_requested_goal_coverage_gain_pp,"[0.0, 0.0, 0.0, 0.0]",0.0,0,"[0, 0, 0, 1]",,not_applicable_control_or_diagnostic,4,64,True,untested,action_responsive_subspace_v1
Predictor: action-responsive rank4,targeted_plus,predicted,selected_requested_goal_coverage_gain_pp,"[0.0, 0.0, 0.0, 0.0]",0.0,0,"[0, 0, 0, 1]",0.0,fail,4,64,True,untested,action_responsive_subspace_v1
Predictor: action-responsive rank4,random_basis_plus,predicted,selected_requested_goal_coverage_gain_pp,"[0.0, 0.0, 0.0, 0.0]",0.0,0,"[0, 0, 0, 1]",,not_applicable_control_or_diagnostic,4,64,True,untested,action_responsive_subspace_v1
Predictor: action-responsive rank4,random_patches_plus,predicted,selected_requested_goal_coverage_gain_pp,"[0.0, 0.0, 0.0, 0.0]",0.0,0,"[0, 0, 0, 1]",,not_applicable_control_or_diagnostic,4,64,True,untested,action_responsive_subspace_v1
Predictor: action-responsive rank4,random_both_plus,predicted,selected_requested_goal_coverage_gain_pp,"[0.0, 0.0, 0.0, 0.0]",0.0,0,"[0, 0, 0, 1]",,not_applicable_control_or_diagnostic,4,64,True,untested,action_responsive_subspace_v1
Predictor: normalization-aware P5,native,predicted,selected_requested_goal_coverage_gain_pp,"[0.0, 0.0, 0.0, 0.0]",0.0,0,"[0, 0, 0, 1]",,not_applicable_control_or_diagnostic,4,64,True,untested,normalization_aware_subspace_v1
Predictor: normalization-aware P5,raw_semantic_minus,predicted,selected_requested_goal_coverage_gain_pp,"[0.0, 0.0, 0.0, 0.0]",0.0,0,"[0, 0, 0, 1]",0.0,fail,4,64,True,untested,normalization_aware_subspace_v1
Predictor: normalization-aware P5,calibrated_semantic_minus,predicted,selected_requested_goal_coverage_gain_pp,"[0.0, 0.0, 0.0, 0.0]",0.0,0,"[0, 0, 0, 1]",0.0,fail,4,64,True,untested,normalization_aware_subspace_v1
Predictor: normalization-aware P5,raw_random_minus,predicted,selected_requested_goal_coverage_gain_pp,"[0.0, 0.0, 0.0, 0.0]",0.0,0,"[0, 0, 0, 1]",,not_applicable_control_or_diagnostic,4,64,True,untested,normalization_aware_subspace_v1
Predictor: normalization-aware P5,calibrated_random_minus,predicted,selected_requested_goal_coverage_gain_pp,"[0.0, 0.0, 0.0, 0.0]",0.0,0,"[0, 0, 0, 1]",,not_applicable_control_or_diagnostic,4,64,True,untested,normalization_aware_subspace_v1
Predictor: normalization-aware P5,calibrated_rawnorm_random_minus,predicted,selected_requested_goal_coverage_gain_pp,"[0.0, 0.0, 0.0, 0.0]",0.0,0,"[0, 0, 0, 1]",,not_applicable_control_or_diagnostic,4,64,True,untested,normalization_aware_subspace_v1
Predictor: normalization-aware P5,raw_semantic_plus,predicted,selected_requested_goal_coverage_gain_pp,"[0.0, 0.0, 0.0, 0.0]",0.0,0,"[0, 0, 0, 1]",0.0,fail,4,64,True,untested,normalization_aware_subspace_v1
Predictor: normalization-aware P5,calibrated_semantic_plus,predicted,selected_requested_goal_coverage_gain_pp,"[0.0, 0.0, 0.0, 1.8401541630119034]",0.46003854075297584,1,"[0, 0, 0, 5]",0.0,fail,4,64,True,untested,normalization_aware_subspace_v1
Predictor: normalization-aware P5,raw_random_plus,predicted,selected_requested_goal_coverage_gain_pp,"[0.0, 0.0, 0.0, 0.0]",0.0,0,"[0, 0, 0, 1]",,not_applicable_control_or_diagnostic,4,64,True,untested,normalization_aware_subspace_v1
Predictor: normalization-aware P5,calibrated_random_plus,predicted,selected_requested_goal_coverage_gain_pp,"[0.0, 0.0, 0.0, 0.0]",0.0,0,"[0, 0, 0, 1]",,not_applicable_control_or_diagnostic,4,64,True,untested,normalization_aware_subspace_v1
