ledger_id,family,task,unit,n,mean,sd,ci95,sign_floor_p,mde80,gate,n_needed_for_gate,verdict,positive_units,negative_units,zero_units,source,note
rep.linear_screen,representation linear screen (LOSO collection-seed folds),reach-wall,r2 or auroc,150,,,,,,,,descriptive_no_ci,,,,map-v10 rows,"150 discovery episodes, 3 collection-seed folds, 2850 states; per-fold scores are not stored per row so no CI; discovery-only, no untouched confirmation. Adequate as a screen for large effects; not evidence of causal use."
rep.pusht_coordinate_probe,Push-T coordinate probes,push-t,r2,,,,,,,,,descriptive_no_ci,,,,map-v10 rows,negative r2 values; no coordinate frame decodable at these sites in the tested setting.
frame.reach-wall/encoder/block-6/spatial-mean/realized_motion_world,coordinate-frame comparison (per held seed),reach-wall,r2 diff,3,0.026480375877565725,0.015270646078653834,"[-0.011457073641411176, 0.06441782539654263]",0.25,0.04729176835226402,,,underpowered,3,0,0,map-v10 best_coordinate_frame.folds,"frames=['world', 'goal_aligned', 'wall_constant_rotation']; best=goal_aligned; n = held collection seeds (3). Frame identifiability cannot be established with 3 folds; report as tie unless CI excludes 0."
frame.reach-wall/predictor/block-2/spatial-mean/realized_motion_world,coordinate-frame comparison (per held seed),reach-wall,r2 diff,3,0.11050169169018002,0.0023052343456551666,"[0.10477470992613051, 0.11622867345422953]",0.25,0.0071390960219292485,,,underpowered,3,0,0,map-v10 best_coordinate_frame.folds,"frames=['world', 'goal_aligned', 'wall_constant_rotation']; best=world; n = held collection seeds (3). Frame identifiability cannot be established with 3 folds; report as tie unless CI excludes 0."
frame.reach-wall/predictor/block-3/spatial-mean/realized_motion_world,coordinate-frame comparison (per held seed),reach-wall,r2 diff,3,0.11620633390135215,0.004498569574694264,"[0.10503036562414003, 0.12738230217856428]",0.25,0.01393165090378012,,,underpowered,3,0,0,map-v10 best_coordinate_frame.folds,"frames=['world', 'goal_aligned', 'wall_constant_rotation']; best=world; n = held collection seeds (3). Frame identifiability cannot be established with 3 folds; report as tie unless CI excludes 0."
frame.reach-wall/predictor/block-5/spatial-mean/realized_motion_world,coordinate-frame comparison (per held seed),reach-wall,r2 diff,3,0.027378162147336682,0.011795614194923571,"[-0.0019261328877486147, 0.05668245718242198]",0.25,0.036529918328653856,,,underpowered,3,0,0,map-v10 best_coordinate_frame.folds,"frames=['world', 'goal_aligned', 'wall_constant_rotation']; best=world; n = held collection seeds (3). Frame identifiability cannot be established with 3 folds; report as tie unless CI excludes 0."
stability.reach-wall/encoder/block-6/spatial-mean/realized_xz_direction,cross-trajectory subspace stability (episode bootstrap),reach-wall,projection fraction - random,30,0.6042196970914286,0.030218394894040483,"[0.5928544734706841, 0.6155849207121732]",1.862645149230957e-09,0.016087860232083088,,,bootstrap_draws_not_independent_units,30,0,0,map-v10 cross_trajectory_stability.draws,"Bootstrap draws resample the same 150 discovery episodes; CI is descriptive, draws are not independent replications."
stability.reach-wall/encoder/block-6/spatial-mean/step_progress,cross-trajectory subspace stability (episode bootstrap),reach-wall,projection fraction - random,30,0.5718424727852826,0.06920544580283315,"[0.5458141092643056, 0.5978708363062595]",1.862645149230957e-09,0.03684403302289737,,,bootstrap_draws_not_independent_units,30,0,0,map-v10 cross_trajectory_stability.draws,"Bootstrap draws resample the same 150 discovery episodes; CI is descriptive, draws are not independent replications."
stability.reach-wall/encoder/block-6/spatial-mean/wall_signed_distance,cross-trajectory subspace stability (episode bootstrap),reach-wall,projection fraction - random,30,0.8754093568760748,0.01924855883072762,"[0.8681699195646172, 0.8826487941875324]",1.862645149230957e-09,0.010247669514665249,,,bootstrap_draws_not_independent_units,30,0,0,map-v10 cross_trajectory_stability.draws,"Bootstrap draws resample the same 150 discovery episodes; CI is descriptive, draws are not independent replications."
stability.reach-wall/predictor/block-2/spatial-mean/realized_xz_direction,cross-trajectory subspace stability (episode bootstrap),reach-wall,projection fraction - random,30,0.7467783651074955,0.024586761528992807,"[0.7375312146924339, 0.7560255155225571]",1.862645149230957e-09,0.013089655636077538,,,bootstrap_draws_not_independent_units,30,0,0,map-v10 cross_trajectory_stability.draws,"Bootstrap draws resample the same 150 discovery episodes; CI is descriptive, draws are not independent replications."
