task,metric,block,horizon,radius,condition,value,n_initial_states,independent_values,scope
Push-T,normalized_bending,1,1,1,native,0.011257892353675143,4,"[0.014227172947882708, 0.00817223594729166, 0.011429357132845128, 0.011202803386681073]",development; actual past is privileged offline information
Push-T,normalized_bending,1,1,1,actual_past_context,0.011257892353675143,4,"[0.014227172947882708, 0.00817223594729166, 0.011429357132845128, 0.011202803386681073]",development; actual past is privileged offline information
Push-T,normalized_bending,1,3,1,native,0.09735016333592826,4,"[0.06994359765766177, 0.1775229831360589, 0.08325465044463215, 0.058679422105360195]",development; actual past is privileged offline information
Push-T,normalized_bending,1,3,1,actual_past_context,0.6330391431129162,4,"[0.6552999055150871, 0.5708919246023988, 0.7975158925694212, 0.5084488497647576]",development; actual past is privileged offline information
Push-T,normalized_bending,1,6,1,native,0.14361228384655067,4,"[0.17633003589000837, 0.14581303327114428, 0.12455218020620368, 0.1277538860188463]",development; actual past is privileged offline information
Push-T,normalized_bending,1,6,1,actual_past_context,0.6249972399404804,4,"[0.5948920931248141, 0.774296200458473, 0.605109620459946, 0.5256910457186887]",development; actual past is privileged offline information
Push-T,normalized_bending,3,1,1,native,0.024714837396108802,4,"[0.025774213169409983, 0.025230768046858233, 0.02188088757090512, 0.025973480797261864]",development; actual past is privileged offline information
Push-T,normalized_bending,3,1,1,actual_past_context,0.024714837396108802,4,"[0.025774213169409983, 0.025230768046858233, 0.02188088757090512, 0.025973480797261864]",development; actual past is privileged offline information
Push-T,normalized_bending,3,3,1,native,0.09171712081370842,4,"[0.061421681547837274, 0.13212159489376346, 0.08127972193422675, 0.09204548487900617]",development; actual past is privileged offline information
Push-T,normalized_bending,3,3,1,actual_past_context,0.556057326530297,4,"[0.5906552065482495, 0.4904652710078963, 0.6471328121167863, 0.4959760164482559]",development; actual past is privileged offline information
Push-T,normalized_bending,3,6,1,native,0.13928878962859786,4,"[0.13811631048228568, 0.1422629710386128, 0.12284228524910448, 0.15393359174438853]",development; actual past is privileged offline information
Push-T,normalized_bending,3,6,1,actual_past_context,0.5510717627921022,4,"[0.5052305214773615, 0.6166007868709622, 0.5593672659866921, 0.523088476833393]",development; actual past is privileged offline information
Push-T,normalized_bending,5,1,1,native,0.056740556596371866,4,"[0.06659900075168042, 0.07061789604699267, 0.031897132374659055, 0.05784819721215532]",development; actual past is privileged offline information
Push-T,normalized_bending,5,1,1,actual_past_context,0.056740556596371866,4,"[0.06659900075168042, 0.07061789604699267, 0.031897132374659055, 0.05784819721215532]",development; actual past is privileged offline information
Push-T,normalized_bending,5,3,1,native,0.1314090173767019,4,"[0.07553128853259465, 0.2309637855711454, 0.11807495454799675, 0.10106604085507076]",development; actual past is privileged offline information
Push-T,normalized_bending,5,3,1,actual_past_context,0.5131540354578402,4,"[0.4574102646676519, 0.8299810204806555, 0.4015600396623787, 0.363664817020675]",development; actual past is privileged offline information
Push-T,normalized_bending,5,6,1,native,0.2220774920266949,4,"[0.22053573166120313, 0.25528256113878595, 0.22615654311665648, 0.18633513219013412]",development; actual past is privileged offline information
Push-T,normalized_bending,5,6,1,actual_past_context,0.4976002571248528,4,"[0.4568832482672114, 0.41428414543345404, 0.5266651102977447, 0.592568524501001]",development; actual past is privileged offline information
Push-T,normalized_bending,1,1,4,native,0.04467140327140999,4,"[0.05618255494156514, 0.0324448492130509, 0.045791381970665256, 0.044266826960358656]",development; actual past is privileged offline information
Push-T,normalized_bending,1,1,4,actual_past_context,0.04467140327140999,4,"[0.05618255494156514, 0.0324448492130509, 0.045791381970665256, 0.044266826960358656]",development; actual past is privileged offline information
Push-T,normalized_bending,1,3,4,native,0.21996116374439154,4,"[0.2669709328537861, 0.2672454050466122, 0.18637099857821046, 0.1592573184989574]",development; actual past is privileged offline information
Push-T,normalized_bending,1,3,4,actual_past_context,0.4758490529354112,4,"[0.48442344145823335, 0.5766732670225424, 0.443380251784448, 0.39891925147642093]",development; actual past is privileged offline information
Push-T,normalized_bending,1,6,4,native,0.3205918252153412,4,"[0.4716881467163838, 0.25835270267208127, 0.23884094040078932, 0.3134855110721103]",development; actual past is privileged offline information
Push-T,normalized_bending,1,6,4,actual_past_context,0.5188345553429453,4,"[0.563216088336732, 0.35978502049990735, 0.48215614846889204, 0.6701809640662499]",development; actual past is privileged offline information
