task,episode,bank,layer,mode,modality,spearman,top10_overlap_count,centered_cost_change_rms,cost_change_mean,cost_change_rms
reach,0,original,0,permute,visual,0.997943532705919,9,0.006512732870577444,-0.00014501412709554037,0.006514347130799616
reach,0,original,0,permute,proprio,0.9988426538072646,9,0.002992069719540538,5.442890028158824e-05,0.0029925647381096464
reach,0,original,0,permute,official,0.9981089787785459,10,0.006677153415900571,-0.0001395710309346517,0.006678611967478633
reach,0,original,0,random,visual,0.9995235502616696,9,0.0031170179359430693,-0.00027243932088216147,0.0031289014040959367
reach,0,original,0,random,proprio,0.9996426626962521,10,0.0015575669324569624,-0.0002901609738667806,0.001584363638764381
reach,0,original,0,random,official,0.999485772064134,10,0.0032116343655822707,-0.0003014612197875977,0.003225751720952011
reach,0,original,1,permute,visual,0.9906798964432938,9,0.01652591060322473,0.00045148491859436034,0.016532076696455702
reach,0,original,1,permute,proprio,0.9927652529472549,10,0.008630350468566,-6.6424161195755e-05,0.008630606084132676
reach,0,original,1,permute,official,0.9910167890754342,10,0.01713207513864759,0.0004448386033376058,0.017137849338212958
reach,0,original,1,random,visual,0.9992137690418782,10,0.003956028636073499,-1.552542050679525e-05,0.003956059100685361
reach,0,original,1,random,proprio,0.9991862131801464,9,0.0024822462360443273,-0.00018051077922185262,0.002488801020124251
reach,0,original,1,random,official,0.9992528805875621,9,0.004112594302833775,-3.3579270044962566e-05,0.004112731387664112
reach,0,original,2,permute,visual,0.9975755286169846,9,0.00878390819168811,0.00033638914426167805,0.008790347022523206
reach,0,original,2,permute,proprio,0.998476871965244,9,0.004064814180327901,-0.00012130819261074066,0.004066623906656388
reach,0,original,2,permute,official,0.9975106390071001,10,0.009105382701647935,0.000324254035949707,0.009111154417706853
reach,0,original,2,random,visual,0.9992017689085434,10,0.003542009568986634,2.6208162307739257e-05,0.0035421065278396736
reach,0,original,2,random,proprio,0.999187102078912,10,0.0022902343706136135,-2.494990825653076e-05,0.0022903702692494816
reach,0,original,2,random,official,0.9992173246369405,9,0.00369991775007393,2.370754877726237e-05,0.003699993703397502
reach,0,original,3,permute,visual,0.9993244369381882,10,0.0038356034802723496,-0.00047404885292053224,0.0038647867176381974
reach,0,original,3,permute,proprio,0.9992253247258303,10,0.002492837574524975,-6.524990002314249e-05,0.0024936913847580637
reach,0,original,3,permute,official,0.9992964366270737,9,0.004011976132994594,-0.0004805763562520345,0.004040656645386581
reach,0,original,3,random,visual,0.9989333214813498,10,0.0043932946518875846,0.000321199099222819,0.004405020631012482
reach,0,original,3,random,proprio,0.9984017600195557,9,0.0032722128339753498,0.0003164517879486084,0.0032874790592380752
reach,0,original,3,random,official,0.9988875431949243,9,0.004612265669859027,0.0003528396288553874,0.004625742147272256
reach,0,original,4,permute,visual,0.9862900698896654,9,0.019239545435000602,0.0011193243662516277,0.019272078133463894
reach,0,original,4,permute,proprio,0.9836695963288481,9,0.01264770875610124,5.005781849225362e-05,0.01264780781654877
reach,0,original,4,permute,official,0.9866082956477294,10,0.02030539338413934,0.001124329964319865,0.02033649719969782
reach,0,original,4,random,visual,0.9979835331503684,10,0.007051757183091795,-0.00033294081687927244,0.007059612521720365
reach,0,original,4,random,proprio,0.99596439960444,10,0.0061443897658358575,0.00022329082091649373,0.00614844568856341
reach,0,original,4,random,official,0.9976741963799598,9,0.007366701580882755,-0.0003106081485748291,0.007373246883411782
reach,0,original,5,permute,visual,0.9998737763752931,9,0.00190773324114777,0.00023330251375834146,0.0019219459363640113
reach,0,original,5,permute,proprio,0.999670218557984,9,0.0012380272448337304,3.273695707321167e-05,0.0012384599982676108
reach,0,original,5,permute,official,0.9998542206024511,10,0.00199167618486919,0.00023656686147054037,0.002005676420891743
