task,bank,modality,metric,layer,n,n_defined,mean,marginal_95_low,marginal_95_high,simultaneous_95_low,simultaneous_95_high
reach,original,visual,excess_spearman_loss,0,8,8,0.0013712652541913034,0.001137955041325187,0.001597323321503169,-0.0006953550628824023,0.003437885571265009
reach,original,visual,excess_spearman_loss,1,8,8,0.007409915765559008,0.006578128645873857,0.00824798063294642,0.005343295448485302,0.009476536082632714
reach,original,visual,excess_spearman_loss,2,8,8,0.0019383826722675912,0.0016202957810642071,0.002289525439171547,-0.00012823764480611455,0.004005002989341297
reach,original,visual,excess_spearman_loss,3,8,8,-0.00016136290856012814,-0.00031667088861894976,-3.2222580251123345e-06,-0.002227983225633834,0.0019052574085135776
reach,original,visual,excess_spearman_loss,4,8,8,0.008407524104893552,0.006200035212034654,0.010317767552042972,0.006340903787819846,0.010474144421967257
reach,original,visual,excess_spearman_loss,5,8,8,-0.0003513789063883388,-0.0004317547923973486,-0.00026798909094595535,-0.0024179992234620445,0.001715241410685367
reach,original,visual,excess_top10_overlap_loss,0,8,8,0.025,0.0,0.0625,-0.02500000000000001,0.07500000000000001
reach,original,visual,excess_top10_overlap_loss,1,8,8,0.1,0.05,0.15000000000000002,0.049999999999999996,0.15000000000000002
reach,original,visual,excess_top10_overlap_loss,2,8,8,0.0625,0.025,0.08750000000000001,0.01249999999999999,0.11250000000000002
reach,original,visual,excess_top10_overlap_loss,3,8,8,-0.037500000000000006,-0.07500000000000001,-0.0125,-0.08750000000000002,0.012500000000000004
reach,original,visual,excess_top10_overlap_loss,4,8,8,0.0125,-0.025,0.05,-0.037500000000000006,0.06250000000000001
reach,original,visual,excess_top10_overlap_loss,5,8,8,-0.025,-0.0625,0.0,-0.07500000000000001,0.02500000000000001
reach,original,proprio,excess_spearman_loss,0,8,8,0.0006108401204457659,0.0005050611673462768,0.0007206746741630354,-0.0011138457093968074,0.002335525950288339
reach,original,proprio,excess_spearman_loss,1,8,8,0.005616784630940355,0.005046167179635311,0.006132463971821914,0.003892098801097782,0.007341470460782928
reach,original,proprio,excess_spearman_loss,2,8,8,0.0012562917365748633,0.001038233758152901,0.0014794053267258717,-0.00046839409326771,0.0029809775664174365
reach,original,proprio,excess_spearman_loss,3,8,8,-0.0004335048167201927,-0.0005744077711974733,-0.00029389215435725313,-0.002158190646562766,0.0012911810131223805
reach,original,proprio,excess_spearman_loss,4,8,8,0.010127334748163866,0.008370043000477787,0.011806408960099574,0.008402648918321293,0.01185202057800644
reach,original,proprio,excess_spearman_loss,5,8,8,-0.00042233802597806125,-0.0005283475371948614,-0.00032127856976186555,-0.0021470238558206345,0.001302347803864512
reach,original,proprio,excess_top10_overlap_loss,0,8,8,0.025,0.0,0.0625,-0.06250000000000003,0.11250000000000002
reach,original,proprio,excess_top10_overlap_loss,1,8,8,0.025,-0.025000000000000005,0.08750000000000001,-0.06250000000000003,0.11250000000000002
reach,original,proprio,excess_top10_overlap_loss,2,8,8,0.037500000000000006,0.0125,0.07500000000000001,-0.05000000000000002,0.12500000000000003
reach,original,proprio,excess_top10_overlap_loss,3,8,8,0.0,-0.037500000000000006,0.037500000000000006,-0.08750000000000002,0.08750000000000002
reach,original,proprio,excess_top10_overlap_loss,4,8,8,0.0875,0.0,0.1875,-2.7755575615628914e-17,0.17500000000000002
reach,original,proprio,excess_top10_overlap_loss,5,8,8,0.025,0.0,0.0625,-0.06250000000000003,0.11250000000000002
reach,original,official,excess_spearman_loss,0,8,8,0.0012364443200891945,0.0010692827142523898,0.001408057338011623,-0.0007466304918531388,0.0032195191320315278
reach,original,official,excess_spearman_loss,1,8,8,0.007133176470552519,0.006376443738942658,0.007916851844723363,0.005150101658610185,0.009116251282494853
reach,original,official,excess_spearman_loss,2,8,8,0.0018999099989999851,0.001653122534694841,0.0021733574817497936,-8.316481294234814e-05,0.0038829848109423184
reach,original,official,excess_spearman_loss,3,8,8,-0.00016427960310672063,-0.00033311481238680607,1.800158890652043e-05,-0.002147354415049054,0.0018187952088356127
reach,original,official,excess_spearman_loss,4,8,8,0.008382926476960872,0.006196235513727957,0.010192113245702725,0.006399851665018539,0.010366001288903207
reach,original,official,excess_spearman_loss,5,8,8,-0.00035805953399482837,-0.00044651468349647775,-0.0002721141346014866,-0.0023411343459371617,0.001625015277947505
reach,original,official,excess_top10_overlap_loss,0,8,8,0.025,0.0,0.0625,-0.0625,0.11250000000000002
reach,original,official,excess_top10_overlap_loss,1,8,8,0.11250000000000002,0.024999999999999998,0.19999999999999998,0.02500000000000001,0.2
reach,original,official,excess_top10_overlap_loss,2,8,8,0.025,-0.025,0.0625,-0.0625,0.11250000000000002
