task,episode,bank,arm,horizon,layer,requested_l2_mean,delivered_l2_mean,max_relative_norm_error,zero_target_count,in_range_energy_fraction,off_range_energy_fraction
reach,0,original,all_blocks_h3_donor,3,0,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,all_blocks_h3_donor,3,1,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,all_blocks_h3_donor,3,2,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,all_blocks_h3_donor,3,3,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,all_blocks_h3_donor,3,4,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,all_blocks_h3_donor,3,5,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,all_blocks_persistent_donor,3,0,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,all_blocks_persistent_donor,3,1,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,all_blocks_persistent_donor,3,2,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,all_blocks_persistent_donor,3,3,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,all_blocks_persistent_donor,3,4,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,all_blocks_persistent_donor,3,5,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,all_blocks_persistent_donor,4,0,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,all_blocks_persistent_donor,4,1,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,all_blocks_persistent_donor,4,2,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,all_blocks_persistent_donor,4,3,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,all_blocks_persistent_donor,4,4,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,all_blocks_persistent_donor,4,5,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,donor_h3_B0,3,0,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,donor_persistent_B0,3,0,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,donor_persistent_B0,4,0,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,random_range_B0,3,0,0.56410709519599744,0.56410709529321579,1.6857314750612852e-08,0,0.99999999999999578,3.7390437647133574e-15
reach,0,original,random_off_range_B0,3,0,0.56410709519599744,0.5641070951943663,1.2932321429260799e-08,0,2.6493341405081251e-16,1
reach,0,original,random_isotropic_B0,3,0,0.56410709519599744,0.56410709506865719,1.2096560775566239e-08,0,0.049019215105117198,0.95098078489488291
reach,0,original,donor_h3_B1,3,1,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,donor_persistent_B1,3,1,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,donor_persistent_B1,4,1,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,random_range_B1,3,1,0.56410709519599744,0.56410709547959048,1.5850473261451838e-08,0,0.99999999999999578,3.8097160617752848e-15
reach,0,original,random_off_range_B1,3,1,0.56410709519599744,0.56410709526618652,1.2784581120609224e-08,0,2.6262560316886135e-16,0.99999999999999967
reach,0,original,random_isotropic_B1,3,1,0.56410709519599744,0.5641070952342413,1.2227010234629348e-08,0,0.050007428280417487,0.94999257171958262
reach,0,original,donor_h3_B2,3,2,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,donor_persistent_B2,3,2,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,donor_persistent_B2,4,2,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,random_range_B2,3,2,0.56410709519599744,0.56410709552489491,2.0386424819506323e-08,0,0.99999999999999567,3.9130473535820316e-15
reach,0,original,random_off_range_B2,3,2,0.56410709519599744,0.56410709532245018,1.411100856204769e-08,0,2.4917510161134729e-16,1
reach,0,original,random_isotropic_B2,3,2,0.56410709519599744,0.56410709501680423,1.1264971347754478e-08,0,0.050919825000472756,0.94908017499952735
reach,0,original,donor_h3_B3,3,3,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,donor_persistent_B3,3,3,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,donor_persistent_B3,4,3,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,random_range_B3,3,3,0.56410709519599744,0.56410709531518044,2.0709378649178374e-08,0,0.99999999999999567,3.8029324108978239e-15
reach,0,original,random_off_range_B3,3,3,0.56410709519599744,0.5641070951392515,1.3536585021408904e-08,0,2.5902815727354873e-16,1
reach,0,original,random_isotropic_B3,3,3,0.56410709519599744,0.56410709524717872,1.1585932657741019e-08,0,0.049836009185149008,0.95016399081485092
reach,0,original,donor_h3_B4,3,4,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,donor_persistent_B4,3,4,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,donor_persistent_B4,4,4,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,random_range_B4,3,4,0.56410709519599744,0.56410709532422143,1.6218453169636528e-08,0,0.99999999999999578,3.846421889094982e-15
reach,0,original,random_off_range_B4,3,4,0.56410709519599744,0.56410709526957736,1.5126082899864578e-08,0,2.5660252429428213e-16,1
reach,0,original,random_isotropic_B4,3,4,0.56410709519599744,0.56410709514504886,1.3324027791562339e-08,0,0.049837408737256443,0.95016259126274349
reach,0,original,donor_h3_B5,3,5,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,donor_persistent_B5,3,5,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,donor_persistent_B5,4,5,0.56410709519599744,0.56410709519599744,0,0,0.99999999999998557,1.2790502786229948e-14
reach,0,original,random_range_B5,3,5,0.56410709519599744,0.56410709503650647,2.3956969532212186e-08,0,0.99999999999999578,3.8359602202235735e-15
reach,0,original,random_off_range_B5,3,5,0.56410709519599744,0.56410709525775615,1.5328025073468512e-08,0,2.6590677414906211e-16,1
reach,0,original,random_isotropic_B5,3,5,0.56410709519599744,0.5641070949196455,1.0878598429509225e-08,0,0.048927499474417123,0.95107250052558279
reach,0,fresh,all_blocks_h3_donor,3,0,0.55075331267363514,0.55075331267363514,0,0,0.99999999999998501,1.3512824924770599e-14
reach,0,fresh,all_blocks_h3_donor,3,1,0.55075331267363514,0.55075331267363514,0,0,0.99999999999998501,1.3512824924770599e-14
reach,0,fresh,all_blocks_h3_donor,3,2,0.55075331267363514,0.55075331267363514,0,0,0.99999999999998501,1.3512824924770599e-14
reach,0,fresh,all_blocks_h3_donor,3,3,0.55075331267363514,0.55075331267363514,0,0,0.99999999999998501,1.3512824924770599e-14
reach,0,fresh,all_blocks_h3_donor,3,4,0.55075331267363514,0.55075331267363514,0,0,0.99999999999998501,1.3512824924770599e-14
reach,0,fresh,all_blocks_h3_donor,3,5,0.55075331267363514,0.55075331267363514,0,0,0.99999999999998501,1.3512824924770599e-14
reach,0,fresh,all_blocks_persistent_donor,3,0,0.55075331267363514,0.55075331267363514,0,0,0.99999999999998501,1.3512824924770599e-14
reach,0,fresh,all_blocks_persistent_donor,3,1,0.55075331267363514,0.55075331267363514,0,0,0.99999999999998501,1.3512824924770599e-14
reach,0,fresh,all_blocks_persistent_donor,3,2,0.55075331267363514,0.55075331267363514,0,0,0.99999999999998501,1.3512824924770599e-14
