task,contrast,bank,layer,metric,n,n_defined,mean,marginal_95_low,marginal_95_high,simultaneous_72_primary_95_low,simultaneous_72_primary_95_high,family_complete,family_quantile,critical_absolute_deviation
reach,persistence_minus_h3,original,0,donor_reconstruction,8,8,0.1154930588554728,0.10858545478301358,0.12212656663635121,0.10244788217347475,0.12853823553747085,True,0.9916666666666667,0.013045176681998052
reach,persistence_minus_h3,original,1,donor_reconstruction,8,8,0.50335207026949802,0.49318969015335196,0.51233824364608349,0.49030689358749996,0.51639724695149603,True,0.9916666666666667,0.013045176681998052
reach,persistence_minus_h3,original,2,donor_reconstruction,8,8,0.076948856831613704,0.073327098406111776,0.080323951424678797,0.063903680149615658,0.089994033513611751,True,0.9916666666666667,0.013045176681998052
reach,persistence_minus_h3,original,3,donor_reconstruction,8,8,0.028974159164518579,0.028050042989786861,0.029815630433971677,0.015928982482520525,0.042019335846516633,True,0.9916666666666667,0.013045176681998052
reach,persistence_minus_h3,original,4,donor_reconstruction,8,8,0.0054739358197171545,0.0052773484583311867,0.0056553460336393521,-0.0075712408622808976,0.018519112501715208,True,0.9916666666666667,0.013045176681998052
reach,persistence_minus_h3,original,5,donor_reconstruction,8,8,-0.00013529571651751948,-0.00020725751583652863,-6.2276096219962551e-05,-0.013180472398515572,0.012909880965480533,True,0.9916666666666667,0.013045176681998052
reach,persistence_minus_h3,fresh,0,donor_reconstruction,8,8,0.11859724884398506,0.11050423341771443,0.12574943454207557,0.10555207216198702,0.13164242552598313,True,0.9916666666666667,0.013045176681998052
reach,persistence_minus_h3,fresh,1,donor_reconstruction,8,8,0.50570064151021754,0.49766052089685364,0.51323844608246216,0.49265546482821948,0.51874581819221555,True,0.9916666666666667,0.013045176681998052
reach,persistence_minus_h3,fresh,2,donor_reconstruction,8,8,0.078795337298650125,0.075322193911782562,0.082071663700497552,0.065750160616652079,0.091840513980648172,True,0.9916666666666667,0.013045176681998052
reach,persistence_minus_h3,fresh,3,donor_reconstruction,8,8,0.02922261065650758,0.02812410259309531,0.030121823804076742,0.016177433974509527,0.042267787338505634,True,0.9916666666666667,0.013045176681998052
reach,persistence_minus_h3,fresh,4,donor_reconstruction,8,8,0.005257131406413304,0.005037088573743036,0.0055501419549580976,-0.0077880452755847481,0.018302308088411358,True,0.9916666666666667,0.013045176681998052
reach,persistence_minus_h3,fresh,5,donor_reconstruction,8,8,-0.000143453175941749,-0.00018306704242329608,-0.00010525627509294644,-0.013188629857939801,0.012901723506056303,True,0.9916666666666667,0.013045176681998052
reach,h3_donor_minus_range_random,original,0,donor_reconstruction,8,8,0.087923145912082848,0.083760417979636792,0.091928875671002733,0.070353182955938551,0.10549310886822715,True,0.9916666666666667,0.017569962956144297
reach,h3_donor_minus_range_random,original,1,donor_reconstruction,8,8,0.23494574126103834,0.22160475200988194,0.24587505460690612,0.21737577830489405,0.25251570421718261,True,0.9916666666666667,0.017569962956144297
reach,h3_donor_minus_range_random,original,2,donor_reconstruction,8,8,0.092836495387604384,0.083675716661097077,0.1031945737245126,0.075266532431460087,0.11040645834374868,True,0.9916666666666667,0.017569962956144297
reach,h3_donor_minus_range_random,original,3,donor_reconstruction,8,8,0.0082073007530801823,0.0047972457891322928,0.011802390502100413,-0.0093626622030641149,0.025777263709224479,True,0.9916666666666667,0.017569962956144297
reach,h3_donor_minus_range_random,original,4,donor_reconstruction,8,8,0.14283970338011726,0.13766083637220836,0.14905034725581881,0.12526974042397296,0.16040966633626155,True,0.9916666666666667,0.017569962956144297
reach,h3_donor_minus_range_random,original,5,donor_reconstruction,8,8,0.014103617381856379,0.013034888653004437,0.01510140763789899,-0.0034663455742879185,0.031673580338000676,True,0.9916666666666667,0.017569962956144297
reach,h3_donor_minus_range_random,fresh,0,donor_reconstruction,8,8,0.088697577844841724,0.083040504887607863,0.093417000473320702,0.071127614888697427,0.10626754080098602,True,0.9916666666666667,0.017569962956144297
reach,h3_donor_minus_range_random,fresh,1,donor_reconstruction,8,8,0.23381660264595588,0.22088178207907222,0.24496290145536931,0.21624663968981159,0.25138656560210015,True,0.9916666666666667,0.017569962956144297
reach,h3_donor_minus_range_random,fresh,2,donor_reconstruction,8,8,0.094395649590811093,0.086928965834096289,0.10242886806127996,0.076825686634666795,0.11196561254695539,True,0.9916666666666667,0.017569962956144297
reach,h3_donor_minus_range_random,fresh,3,donor_reconstruction,8,8,0.008290603159605725,0.0056747559872067331,0.01114803176420423,-0.0092793597965385721,0.025860566115750022,True,0.9916666666666667,0.017569962956144297
reach,h3_donor_minus_range_random,fresh,4,donor_reconstruction,8,8,0.13790145848424559,0.12925588887182404,0.14552640049532362,0.1203314955281013,0.15547142144038989,True,0.9916666666666667,0.017569962956144297
reach,h3_donor_minus_range_random,fresh,5,donor_reconstruction,8,8,0.013570178351347217,0.012892710119597695,0.014242996231850578,-0.0039997846047970798,0.031140141307491515,True,0.9916666666666667,0.017569962956144297
reach,range_minus_offrange_rank_loss,original,0,spearman_loss,8,8,0.00045817175746397376,0.00034367048522762622,0.00057745086056511241,-0.00037179627560059581,0.0012881397905285434,True,0.9916666666666667,0.00082996803306456958
reach,range_minus_offrange_rank_loss,original,1,spearman_loss,8,8,0.0023554844993917412,0.0019039933657209046,0.0028076423071367318,0.0015255164663271715,0.0031854525324563109,True,0.9916666666666667,0.00082996803306456958
reach,range_minus_offrange_rank_loss,original,2,spearman_loss,8,8,0.00070093833787575333,0.00058143701008321613,0.00083080088013692821,-0.00012902969518881625,0.001530906370940323,True,0.9916666666666667,0.00082996803306456958
reach,range_minus_offrange_rank_loss,original,3,spearman_loss,8,8,-5.4333937043724023e-05,-0.00021189263214035496,9.277880865345145e-05,-0.0008843019701082936,0.00077563409602084555,True,0.9916666666666667,0.00082996803306456958
reach,range_minus_offrange_rank_loss,original,4,spearman_loss,8,8,0.0022029967516959681,0.001635346948119116,0.002663235625094928,0.0013730287186313984,0.0030329647847605378,True,0.9916666666666667,0.00082996803306456958
reach,range_minus_offrange_rank_loss,original,5,spearman_loss,8,8,-0.00038161535128168611,-0.00045661618462429499,-0.00029894776608628548,-0.0012115833843462558,0.00044835268178288346,True,0.9916666666666667,0.00082996803306456958
reach,range_minus_offrange_rank_loss,fresh,0,spearman_loss,8,8,0.00044876886891870305,0.00034554549977014459,0.00056245069389662672,-0.00038119916414586653,0.0012787369019832727,True,0.9916666666666667,0.00082996803306456958
