task,bank,arm,modality,horizon,metric,n,n_defined,mean,marginal_95_low,marginal_95_high
reach,fresh,all_blocks_h3_donor,official,3,donor_reconstruction,8,8,1,1,1
reach,fresh,all_blocks_h3_donor,official,3,numerator_mse_mean,8,8,0,0,0
reach,fresh,all_blocks_h3_donor,official,3,denominator_mse_mean,8,8,0.045206001291607442,0.042550810582946914,0.047850867946738089
reach,fresh,all_blocks_h3_donor,official,3,native_spearman,8,8,0.93750308336759292,0.92998353453927263,0.945195578561984
reach,fresh,all_blocks_h3_donor,official,3,spearman_loss,8,8,0.062496916632407029,0.054804421438015984,0.070016465460727345
reach,fresh,all_blocks_h3_donor,official,3,native_top10_overlap,8,8,7,6.25,7.75
reach,fresh,all_blocks_h3_donor,official,3,centered_cost_change_rms,8,8,0.052425894619792586,0.042909835033480989,0.064273220824309044
reach,fresh,all_blocks_h3_donor,official,4,donor_reconstruction,8,8,0.46765878586790721,0.45569111136925783,0.4783698222118376
reach,fresh,all_blocks_h3_donor,official,4,numerator_mse_mean,8,8,0.08373534337676336,0.078324929570113597,0.089105397774249362
reach,fresh,all_blocks_h3_donor,official,4,denominator_mse_mean,8,8,0.15735417205709912,0.14749186776122747,0.16774013421668596
reach,fresh,all_blocks_h3_donor,official,4,native_spearman,8,8,0.93750308336759292,0.92998353453927263,0.945195578561984
reach,fresh,all_blocks_h3_donor,official,4,spearman_loss,8,8,0.062496916632407029,0.054804421438015984,0.070016465460727345
reach,fresh,all_blocks_h3_donor,official,4,native_top10_overlap,8,8,7,6.25,7.75
reach,fresh,all_blocks_h3_donor,official,4,centered_cost_change_rms,8,8,0.052425894619792586,0.042909835033480989,0.064273220824309044
reach,fresh,all_blocks_h3_donor,official,6,donor_reconstruction,8,8,0.5028975936288127,0.48750744041200267,0.51522543854147962
reach,fresh,all_blocks_h3_donor,official,6,numerator_mse_mean,8,8,0.086910068227382647,0.081497055087825732,0.093144742914912676
reach,fresh,all_blocks_h3_donor,official,6,denominator_mse_mean,8,8,0.17485366522844392,0.16454510467935715,0.18612528250334948
reach,fresh,all_blocks_h3_donor,official,6,native_spearman,8,8,0.93750308336759292,0.92998353453927263,0.945195578561984
reach,fresh,all_blocks_h3_donor,official,6,spearman_loss,8,8,0.062496916632407029,0.054804421438015984,0.070016465460727345
reach,fresh,all_blocks_h3_donor,official,6,native_top10_overlap,8,8,7,6.25,7.75
reach,fresh,all_blocks_h3_donor,official,6,centered_cost_change_rms,8,8,0.052425894619792586,0.042909835033480989,0.064273220824309044
