task,episode,arm,iteration,proposal_mean_delta_l2,proposal_mean_delta_rms,proposal_std_delta_l2,proposal_std_delta_rms,native_proposal_entropy_nats,arm_proposal_entropy_nats,proposal_entropy_delta_nats,native_best_runnerup_margin,arm_best_runnerup_margin,best_runnerup_margin_delta,native_elite_boundary_margin,arm_elite_boundary_margin,elite_boundary_margin_delta,same_candidate_actions_verified,shared_population_elite_overlap_count,shared_population_cost_delta_mean,shared_population_cost_delta_rms,cohort,native_comparator
reach,4,fixed_rank4,0,0.0,0.0,0.0,0.0,170.27262398456074,170.27262398456074,0.0,0.07408356666564941,0.07414484024047852,6.127357482910156e-05,0.0011756420135498047,0.0009639263153076172,-0.0002117156982421875,True,10.0,0.0007902014255523681,0.0008670799355786224,extension56,same_receiving_gpu
reach,4,fixed_rank4,1,0.0,0.0,0.0,0.0,166.22942115853658,166.22942115853658,0.0,0.1731811761856079,0.1751936674118042,0.002012491226196289,0.007417201995849609,0.006994128227233887,-0.00042307376861572266,,,,,extension56,same_receiving_gpu
reach,4,fixed_rank4,2,0.0,0.0,0.0,0.0,159.08938928906565,159.08938928906565,0.0,0.013236165046691895,0.013305306434631348,6.914138793945312e-05,0.0015006065368652344,0.0014252662658691406,-7.534027099609375e-05,,,,,extension56,same_receiving_gpu
reach,4,fixed_rank4,3,5.79765320591796e-07,5.2925090691223514e-08,5.407705101854817e-07,4.936536781036093e-08,147.89598973740175,147.89598997709524,2.3969349172148213e-07,0.007713019847869873,0.008228480815887451,0.0005154609680175781,0.002034425735473633,0.002967357635498047,0.0009329319000244141,,,,,extension56,same_receiving_gpu
reach,4,fixed_rank4,4,8.774981704793052e-07,8.010425702350488e-08,6.659001997561553e-07,6.07880934089404e-08,138.92987606184852,138.92987615111542,8.92669049790129e-08,0.039703965187072754,0.03900176286697388,-0.000702202320098877,0.0114554762840271,0.010920703411102295,-0.0005347728729248047,,,,,extension56,same_receiving_gpu
reach,4,fixed_rank4,5,9.89764134202499e-07,9.035269048537987e-08,6.524684044400283e-07,5.956194386186789e-08,123.85737185325468,123.85737327678186,1.4235271805773664e-06,0.017230838537216187,0.017091214656829834,-0.00013962388038635254,0.0023466944694519043,0.0011711716651916504,-0.001175522804260254,,,,,extension56,same_receiving_gpu
reach,4,fixed_rank4,6,1.0742829110582343e-06,9.806816392148517e-08,7.93408126352676e-07,7.242792135187827e-08,114.66174464333946,114.66174558034005,9.37000592671211e-07,0.001679837703704834,0.0023585855960845947,0.0006787478923797607,0.0022056400775909424,0.00196915864944458,-0.0002364814281463623,,,,,extension56,same_receiving_gpu
reach,4,fixed_rank4,7,1.798546238714334e-06,1.6418405760998536e-07,9.011815258388856e-07,8.226624168481373e-08,106.26001648380603,106.26001734547279,8.616667628302821e-07,0.002416253089904785,0.0019195079803466797,-0.0004967451095581055,0.0004519820213317871,0.0007025599479675293,0.0002505779266357422,,,,,extension56,same_receiving_gpu
reach,4,fixed_rank4,8,2.609205905645903e-06,2.3818682194965954e-07,1.0555924112388447e-06,9.636196252779753e-08,101.95689199163098,101.95689162087004,-3.707609437242354e-07,0.0035101473331451416,0.0035815834999084473,7.143616676330566e-05,0.0012150704860687256,0.0018037259578704834,0.0005886554718017578,,,,,extension56,same_receiving_gpu
reach,4,fixed_rank4,9,3.1233689247715093e-06,2.851232692513353e-07,1.1613827760980023e-06,1.0601925739447458e-07,86.11687624249606,86.11687645281029,2.1031422647865838e-07,0.00225067138671875,0.001599341630935669,-0.0006513297557830811,0.00027629733085632324,0.0001093447208404541,-0.00016695261001586914,,,,,extension56,same_receiving_gpu
reach,4,fixed_rank4,10,3.4120985035278274e-06,3.1148055313530195e-07,1.0957230747855282e-06,1.0002537413982565e-07,70.9543867125073,70.9543890622345,2.3497271968153655e-06,0.0009967684745788574,0.0008373856544494629,-0.00015938282012939453,0.0004042685031890869,0.0004388093948364258,3.454089164733887e-05,,,,,extension56,same_receiving_gpu
reach,4,fixed_rank4,11,3.3360865113303107e-06,3.0454163934072087e-07,1.0606288133467995e-06,9.682172103499641e-08,54.64438687114487,54.64438781094917,9.398043019359648e-07,0.0010018646717071533,0.001029878854751587,2.8014183044433594e-05,0.0006999075412750244,0.0006918907165527344,-8.016824722290039e-06,,,,,extension56,same_receiving_gpu
reach,4,fixed_rank4,12,3.569065789420326e-06,3.2580964034758256e-07,1.045793560414862e-06,9.546745392214361e-08,46.301122519444505,46.301122241878836,-2.77565668227453e-07,0.0010460913181304932,0.0007834136486053467,-0.0002626776695251465,0.00011345744132995605,0.00018224120140075684,6.878376007080078e-05,,,,,extension56,same_receiving_gpu
reach,4,fixed_rank4,13,0.781166355815222,0.07131040570735066,0.5047641559092272,0.046078452401923056,31.663955017964167,33.603896336193,1.9399413182288363,0.0005132555961608887,0.000634610652923584,0.00012135505676269531,4.2825937271118164e-05,0.000317990779876709,0.0002751648426055908,,,,,extension56,same_receiving_gpu
reach,4,fixed_rank4,14,1.705153345533955,0.15565849189239134,1.3511342798147932,0.12334112054550987,12.707103375402115,15.738518919722543,3.031415544320428,0.00047132372856140137,0.0010975301265716553,0.0006262063980102539,0.00011816620826721191,0.00013932585716247559,2.1159648895263672e-05,,,,,extension56,same_receiving_gpu
