cohort,task,episode,metric,learned,random,effect
initial8,reach,0,selected_prefix_rms_learned_minus_random,0.7637113536875739,0.7403955988170007,0.023315754870573246
initial8,reach,0,mean_proposal_mean_rms_learned_minus_random,0.30724713626652306,0.30866404111533685,-0.0014169048488137936
initial8,reach,0,mean_proposal_entropy_delta_learned_minus_random,2.9218077050000497,3.5227594762412946,-0.6009517712412449
initial8,reach,1,selected_prefix_rms_learned_minus_random,1.057858215324324,0.22642506524204328,0.8314331500822806
initial8,reach,1,mean_proposal_mean_rms_learned_minus_random,0.42818103452291356,0.014786998714606774,0.4133940358083068
initial8,reach,1,mean_proposal_entropy_delta_learned_minus_random,-3.168038135965791,-0.1034921635419901,-3.064545972423801
initial8,reach,2,selected_prefix_rms_learned_minus_random,0.058496654095754844,0.27674471491846525,-0.21824806082271042
initial8,reach,2,mean_proposal_mean_rms_learned_minus_random,1.5576772636009494e-07,0.02023623298445085,-0.02023607721672449
initial8,reach,2,mean_proposal_entropy_delta_learned_minus_random,-1.3062387201519718e-07,-0.012432101458302706,0.01243197083443069
initial8,reach,3,selected_prefix_rms_learned_minus_random,0.130039125137597,0.0,0.130039125137597
initial8,reach,3,mean_proposal_mean_rms_learned_minus_random,0.004927504327624325,0.0,0.004927504327624325
initial8,reach,3,mean_proposal_entropy_delta_learned_minus_random,-0.11532724155262788,0.0,-0.11532724155262788
extension56,reach,4,selected_prefix_rms_learned_minus_random,0.24050661701316106,1.5799768337153224,-1.3394702167021613
extension56,reach,4,mean_proposal_mean_rms_learned_minus_random,0.015131389891728382,0.7310057269025135,-0.7158743370107852
extension56,reach,4,mean_proposal_entropy_delta_learned_minus_random,0.331424217681554,-1.9189825266763654,2.250406744357919
extension56,reach,5,selected_prefix_rms_learned_minus_random,0.14910581521599858,0.14910580218289227,1.303310631639576e-08
extension56,reach,5,mean_proposal_mean_rms_learned_minus_random,0.004837242335433428,0.004837172170497409,7.016493601842005e-08
extension56,reach,5,mean_proposal_entropy_delta_learned_minus_random,0.03242077499004239,0.03242170343193962,-9.284418972313468e-07
extension56,reach,6,selected_prefix_rms_learned_minus_random,1.275426418395216,0.3186127829679061,0.9568136354273098
extension56,reach,6,mean_proposal_mean_rms_learned_minus_random,0.4736362831692532,0.053578309458657346,0.4200579737105959
extension56,reach,6,mean_proposal_entropy_delta_learned_minus_random,4.701791470478017,0.6761037604112019,4.025687710066815
extension56,reach,7,selected_prefix_rms_learned_minus_random,0.6780579001341093,1.1406933789852046e-07,0.6780577860647714
extension56,reach,7,mean_proposal_mean_rms_learned_minus_random,0.22241892920264267,5.680722760395295e-09,0.22241892352191991
extension56,reach,7,mean_proposal_entropy_delta_learned_minus_random,0.21760164289818487,2.9872087263053496e-08,0.2176016130260976
extension56,reach,8,selected_prefix_rms_learned_minus_random,0.6184819951579074,0.3320114780145308,0.28647051714337657
extension56,reach,8,mean_proposal_mean_rms_learned_minus_random,0.21026048431997235,0.058104461302109674,0.15215602301786268
extension56,reach,8,mean_proposal_entropy_delta_learned_minus_random,2.618319734659273,-0.9153237456196427,3.533643480278916
extension56,reach,9,selected_prefix_rms_learned_minus_random,0.9020791952695859,0.3549365757885842,0.5471426194810017
extension56,reach,9,mean_proposal_mean_rms_learned_minus_random,0.16684695626892843,0.02673063234199952,0.1401163239269289
extension56,reach,9,mean_proposal_entropy_delta_learned_minus_random,-2.5217415637903913,-0.9135252098964173,-1.608216353893974
extension56,reach,10,selected_prefix_rms_learned_minus_random,0.5540414444280399,0.5015080919939876,0.05253335243405233
extension56,reach,10,mean_proposal_mean_rms_learned_minus_random,0.13644502449139911,0.11113821266708165,0.02530681182431746
extension56,reach,10,mean_proposal_entropy_delta_learned_minus_random,-1.046560276367535,-0.42059934943155547,-0.6259609269359796
extension56,reach,11,selected_prefix_rms_learned_minus_random,0.5690973422087241,0.518019037447412,0.05107830476131214
extension56,reach,11,mean_proposal_mean_rms_learned_minus_random,0.20027194692443578,0.1795034621334032,0.020768484791032576
extension56,reach,11,mean_proposal_entropy_delta_learned_minus_random,3.0973770413916055,2.81542347511824,0.28195356627336565
extension56,reach,12,selected_prefix_rms_learned_minus_random,0.980044031347582,0.980043993133271,3.8214311048889726e-08
extension56,reach,12,mean_proposal_mean_rms_learned_minus_random,0.35025050403753843,0.35025048925534413,1.4782194301954377e-08
extension56,reach,12,mean_proposal_entropy_delta_learned_minus_random,5.599100968279866,5.599101462289574,-4.940097078076633e-07
extension56,reach,13,selected_prefix_rms_learned_minus_random,0.1458734338083877,0.05441551810885525,0.09145791569953243
extension56,reach,13,mean_proposal_mean_rms_learned_minus_random,0.005403354541915559,1.396315582826981e-07,0.0054032149103572765
extension56,reach,13,mean_proposal_entropy_delta_learned_minus_random,0.23244375082082247,9.741670690270136e-07,0.23244277665375343
extension56,reach,14,selected_prefix_rms_learned_minus_random,1.031984506924414,0.06377536691443798,0.968209140009976
extension56,reach,14,mean_proposal_mean_rms_learned_minus_random,0.419752211067343,1.3790684211827142e-07,0.4197520731605009
extension56,reach,14,mean_proposal_entropy_delta_learned_minus_random,1.3427050546158683,-2.6205051118684728e-06,1.34270767512098
