population,task,metric,n,mean,scenario_sd,scenario_se,marginal_95_low,marginal_95_high,bonferroni_family,bonferroni_95_low,bonferroni_95_high,inference_scope
extension56,reach,selected_prefix_rms_learned_minus_random,28,0.11972333705602736,0.4889700889781366,0.09240666099894816,-0.06344024574230842,0.2923509050449291,6.0,-0.12843600841816907,0.34869238978192907,primary_extension_family6
extension56,reach,mean_proposal_mean_rms_learned_minus_random,28,0.040331667785621646,0.21052393329281818,0.039785283751424864,-0.0411976713086383,0.11215451108399911,6.0,-0.07171853164772475,0.13532043654726172,primary_extension_family6
extension56,reach,mean_proposal_entropy_delta_learned_minus_random,28,0.2631067934369017,2.3157318060469105,0.43763217585161324,-0.547977160344021,1.1338649506497753,6.0,-0.8151751254965973,1.4569606134492454,primary_extension_family6
extension56,reach-wall,selected_prefix_rms_learned_minus_random,28,0.2827139490047147,0.5416592908346423,0.10236398420543365,0.0767481834034367,0.47069389548894947,6.0,-0.007021115935703986,0.5294285246216586,primary_extension_family6
extension56,reach-wall,mean_proposal_mean_rms_learned_minus_random,28,0.08091217737309851,0.2463661427555869,0.046558824656965724,-0.014601724681957296,0.16482566416755232,6.0,-0.05410712411828273,0.19285551895103284,primary_extension_family6
extension56,reach-wall,mean_proposal_entropy_delta_learned_minus_random,28,0.3596194007146362,1.970944104775578,0.3724734249460722,-0.36254419760606554,1.0744471124186938,6.0,-0.6327322324973612,1.3387513154716109,primary_extension_family6
initial8,reach,selected_prefix_rms_learned_minus_random,4,0.1916349923169351,0.4507294888951712,0.2253647444475856,-0.13117626433263357,0.6294038012793537,,,,descriptive_only
initial8,reach,mean_proposal_mean_rms_learned_minus_random,4,0.09916713951759822,0.20975694612323656,0.10487847306161828,-0.013945181830637287,0.30969130064402667,,,,descriptive_only
initial8,reach,mean_proposal_entropy_delta_learned_minus_random,4,-0.9420982535958108,1.4394262163893397,0.7197131081946698,-2.3272412897060075,-0.0514476353590986,,,,descriptive_only
initial8,reach-wall,selected_prefix_rms_learned_minus_random,4,0.13442898634105288,0.10296233674792732,0.05148116837396366,0.04732657436900076,0.22153139831310498,,,,descriptive_only
initial8,reach-wall,mean_proposal_mean_rms_learned_minus_random,4,0.016565622079407483,0.010508547609263763,0.005254273804631881,0.0061100502527445056,0.023801054505889305,,,,descriptive_only
initial8,reach-wall,mean_proposal_entropy_delta_learned_minus_random,4,-0.03362860214584476,0.3390973553637865,0.16954867768189325,-0.2370797443947994,0.30732988509185755,,,,descriptive_only
pooled64,reach,selected_prefix_rms_learned_minus_random,32,0.12871229396364087,0.4780014817010415,0.08449952228200595,-0.03789962964709963,0.2876469225957302,,,,descriptive_only
pooled64,reach,mean_proposal_mean_rms_learned_minus_random,32,0.04768610175211872,0.20796699405579577,0.036763717939958904,-0.02674534859343428,0.11439862167219668,,,,descriptive_only
pooled64,reach,mean_proposal_entropy_delta_learned_minus_random,32,0.1124561625578126,2.24391818355872,0.3966724410055427,-0.6255591207849137,0.8889144385747865,,,,descriptive_only
pooled64,reach-wall,selected_prefix_rms_learned_minus_random,32,0.26417832867175695,0.5089655065402356,0.08997324026616167,0.08342171804873637,0.42801869661418157,,,,descriptive_only
pooled64,reach-wall,mean_proposal_mean_rms_learned_minus_random,32,0.07286885796138712,0.2309602972333285,0.04082839808963679,-0.010855124481164966,0.14625154581796934,,,,descriptive_only
pooled64,reach-wall,mean_proposal_entropy_delta_learned_minus_random,32,0.3104634003570761,1.847151014246793,0.3265332520123791,-0.32455790664658724,0.9359446127780878,,,,descriptive_only
