task,episode,arm,selected_prefix_delta_l2,selected_prefix_delta_rms,cohort,native_comparator,final_mean_delta_l2,final_mean_delta_rms,selected_prefix_coordinates,proposal_coordinates,first_candidate_divergence_iteration
reach,4,fixed_rank4,1.8629562446893162,0.24050661701316106,extension56,same_receiving_gpu,2.4793120128722888,0.22632918609061523,60,120,3.0
reach,4,matched_random_fixed_rank4,12.238447928745938,1.5799768337153224,extension56,same_receiving_gpu,16.784284512531137,1.5321885398496506,60,120,1.0
reach,5,fixed_rank4,1.154968678308486,0.14910581521599858,extension56,same_receiving_gpu,1.4550808390649093,0.1328300997582325,60,120,7.0
reach,5,matched_random_fixed_rank4,1.1549685773544784,0.14910580218289227,extension56,same_receiving_gpu,1.4550808382879075,0.13283009968730228,60,120,12.0
reach,6,fixed_rank4,9.879410555515289,1.275426418395216,extension56,same_receiving_gpu,11.210884929115007,1.0234090942118326,60,120,3.0
reach,6,matched_random_fixed_rank4,2.4679640046469973,0.3186127829679061,extension56,same_receiving_gpu,2.942969496631778,0.26865512989247475,60,120,4.0
reach,7,fixed_rank4,5.252213909967554,0.6780579001341093,extension56,same_receiving_gpu,8.06443114734972,0.7361784754751182,60,120,3.0
reach,7,matched_random_fixed_rank4,8.835772919877525e-07,1.1406933789852046e-07,extension56,same_receiving_gpu,1.164890592222333e-06,1.0633947573095396e-07,60,120,14.0
reach,8,fixed_rank4,4.7907409343514225,0.6184819951579074,extension56,same_receiving_gpu,7.584681375817726,0.6923835135041145,60,120,5.0
reach,8,matched_random_fixed_rank4,2.5717498501999754,0.3320114780145308,extension56,same_receiving_gpu,4.758977995288486,0.43443326644836966,60,120,6.0
reach,9,fixed_rank4,6.98747540047859,0.9020791952695859,extension56,same_receiving_gpu,7.860367390857978,0.7175500883751569,60,120,1.0
reach,9,matched_random_fixed_rank4,2.749326893978146,0.3549365757885842,extension56,same_receiving_gpu,3.2299336805649954,0.29485125601518897,60,120,4.0
reach,10,fixed_rank4,4.291586574757001,0.5540414444280399,extension56,same_receiving_gpu,5.385325624541666,0.4916107206786779,60,120,8.0
reach,10,matched_random_fixed_rank4,3.8846649765619423,0.5015080919939876,extension56,same_receiving_gpu,5.280684476107669,0.4820583344385868,60,120,8.0
