population,task,arm,metric,n,mean,scenario_sd,scenario_se,marginal_95_low,marginal_95_high,bonferroni_family,bonferroni_95_low,bonferroni_95_high,inference_scope
extension56,reach,fixed_rank4,shared_population_elite_overlap_count,28,9.892857142857142,0.314970394174356,0.05952380952380952,9.784821428571425,9.999999999999998,,,,descriptive_only
extension56,reach,fixed_rank4,shared_population_cost_delta_mean,28,0.00034742184338115505,0.0004294278747592361,8.115424018942354e-05,0.00019069162348196622,0.0005000819689815951,,,,descriptive_only
extension56,reach,fixed_rank4,shared_population_cost_delta_rms,28,0.0006115773727462647,0.00020981659901894215,3.9651610138391406e-05,0.00053684654309804,0.0006881882009660046,,,,descriptive_only
extension56,reach,matched_random_fixed_rank4,shared_population_elite_overlap_count,28,9.857142857142858,0.3563483225498991,0.06734350297014736,9.714285714285714,9.964285714285714,,,,descriptive_only
extension56,reach,matched_random_fixed_rank4,shared_population_cost_delta_mean,28,0.0003563583606765384,0.0002178119674175461,4.116259274003789e-05,0.00027757437527179714,0.0004346891542275746,,,,descriptive_only
extension56,reach,matched_random_fixed_rank4,shared_population_cost_delta_rms,28,0.00048679770644283676,0.000177258608947013,3.349872835850323e-05,0.0004239508318702253,0.0005518267951004355,,,,descriptive_only
extension56,reach-wall,fixed_rank4,shared_population_elite_overlap_count,28,9.964285714285714,0.1889822365046136,0.03571428571428571,9.89285714285714,10.000000000000002,,,,descriptive_only
extension56,reach-wall,fixed_rank4,shared_population_cost_delta_mean,28,0.0005014993321327936,0.0003503011592702662,6.620069652905376e-05,0.00037125722212450846,0.0006273348593995683,,,,descriptive_only
extension56,reach-wall,fixed_rank4,shared_population_cost_delta_rms,28,0.0006699775704759058,0.0002298037228679317,4.342882150466815e-05,0.0005869810198714025,0.0007551691873109161,,,,descriptive_only
extension56,reach-wall,matched_random_fixed_rank4,shared_population_elite_overlap_count,28,9.928571428571429,0.26226526415648105,0.04956347617776506,9.821428571428571,10.0,,,,descriptive_only
extension56,reach-wall,matched_random_fixed_rank4,shared_population_cost_delta_mean,28,0.0005135370152337211,0.00023186167499637486,4.381773790052077e-05,0.000427497091392676,0.0005954992615041278,,,,descriptive_only
extension56,reach-wall,matched_random_fixed_rank4,shared_population_cost_delta_rms,28,0.0006578082992541388,0.00016571438052909103,3.131707425336422e-05,0.0005969804465092023,0.0007173085796845054,,,,descriptive_only
initial8,reach,fixed_rank4,shared_population_elite_overlap_count,4,10.0,0.0,0.0,10.0,10.0,,,,descriptive_only
initial8,reach,fixed_rank4,shared_population_cost_delta_mean,4,0.00018395185470581054,0.00042972703869552473,0.00021486351934776237,-0.00021892776091893512,0.0005461771289507547,,,,descriptive_only
initial8,reach,fixed_rank4,shared_population_cost_delta_rms,4,0.0005091624030570391,0.00015445357439515292,7.722678719757646e-05,0.00041175598616803073,0.0006594639995230724,,,,descriptive_only
initial8,reach,matched_random_fixed_rank4,shared_population_elite_overlap_count,4,10.0,0.0,0.0,10.0,10.0,,,,descriptive_only
initial8,reach,matched_random_fixed_rank4,shared_population_cost_delta_mean,4,0.00027797788381576536,0.00014628791091063,7.3143955455315e-05,0.00013615220785140992,0.0003740996122360229,,,,descriptive_only
initial8,reach,matched_random_fixed_rank4,shared_population_cost_delta_rms,4,0.000405279539949524,0.00013876913518768636,6.938456759384318e-05,0.00029497631045985175,0.0005155827694391963,,,,descriptive_only
initial8,reach-wall,fixed_rank4,shared_population_elite_overlap_count,4,10.0,0.0,0.0,10.0,10.0,,,,descriptive_only
initial8,reach-wall,fixed_rank4,shared_population_cost_delta_mean,4,0.0003572465976079305,0.00025366548933535244,0.00012683274466767622,0.0001575195789337158,0.0005569736162821452,,,,descriptive_only
initial8,reach-wall,fixed_rank4,shared_population_cost_delta_rms,4,0.0005423212754809525,0.00016840837225172024,8.420418612586012e-05,0.0004094177865964085,0.0006752247643654966,,,,descriptive_only
initial8,reach-wall,matched_random_fixed_rank4,shared_population_elite_overlap_count,4,10.0,0.0,0.0,10.0,10.0,,,,descriptive_only
initial8,reach-wall,matched_random_fixed_rank4,shared_population_cost_delta_mean,4,0.0004524741570154826,0.00012557324865384513,6.278662432692256e-05,0.0003427577018737793,0.0005449604988098145,,,,descriptive_only
initial8,reach-wall,matched_random_fixed_rank4,shared_population_cost_delta_rms,4,0.0006218974389186569,0.00010501727231771482,5.250863615885741e-05,0.0005404124528816346,0.0007223907476807549,,,,descriptive_only
pooled64,reach,fixed_rank4,shared_population_elite_overlap_count,32,9.90625,0.29614458108029906,0.0523514603733822,9.81171875,10.0,,,,descriptive_only
pooled64,reach,fixed_rank4,shared_population_cost_delta_mean,32,0.00032698809479673704,0.00042603000815464703,7.531217693877776e-05,0.00017995061973730722,0.0004682969983356694,,,,descriptive_only
pooled64,reach,fixed_rank4,shared_population_cost_delta_rms,32,0.0005987755015351116,0.00020453722368316384,3.6157414467858715e-05,0.0005317859465228248,0.0006677582091286759,,,,descriptive_only
pooled64,reach,matched_random_fixed_rank4,shared_population_elite_overlap_count,32,9.875,0.3360107525161235,0.059398870413936426,9.75,9.96875,,,,descriptive_only
pooled64,reach,matched_random_fixed_rank4,shared_population_cost_delta_mean,32,0.00034656080106894175,0.0002099645239411753,3.711683467185256e-05,0.0002754236540446679,0.00041682248252133524,,,,descriptive_only
pooled64,reach,matched_random_fixed_rank4,shared_population_cost_delta_rms,32,0.0004766079356311727,0.000173147843672277,3.0608503602123825e-05,0.00041952632771231614,0.0005354117032080789,,,,descriptive_only
pooled64,reach-wall,fixed_rank4,shared_population_elite_overlap_count,32,9.96875,0.1767766952966369,0.03125,9.90625,10.0,,,,descriptive_only
pooled64,reach-wall,fixed_rank4,shared_population_cost_delta_mean,32,0.0004834677403171857,0.0003397847459232702,6.006602449652311e-05,0.0003670270678897699,0.0005972060356289148,,,,descriptive_only
pooled64,reach-wall,fixed_rank4,shared_population_cost_delta_rms,32,0.0006540205336015366,0.00022490025541816334,3.975712392419247e-05,0.0005794493724220429,0.0007302884635691883,,,,descriptive_only
pooled64,reach-wall,matched_random_fixed_rank4,shared_population_elite_overlap_count,32,9.9375,0.24593468841898236,0.04347552147751577,9.84375,10.0,,,,descriptive_only
pooled64,reach-wall,matched_random_fixed_rank4,shared_population_cost_delta_mean,32,0.0005059041579564413,0.00022083944376445692,3.9039267059828174e-05,0.00042900346654156847,0.0005794359330708782,,,,descriptive_only
pooled64,reach-wall,matched_random_fixed_rank4,shared_population_cost_delta_rms,32,0.0006533194417122036,0.00015852682247372263,2.802384779278131e-05,0.0005985403980571064,0.0007072109736981755,,,,descriptive_only
