task,arm,iteration,metric,n,mean,marginal_95_low,marginal_95_high
reach,fixed_rank4,0,proposal_entropy_delta_nats,4,0.0,0.0,0.0
reach,fixed_rank4,0,proposal_mean_delta_l2,4,0.0,0.0,0.0
reach,fixed_rank4,0,proposal_mean_delta_rms,4,0.0,0.0,0.0
reach,fixed_rank4,0,proposal_std_delta_l2,4,0.0,0.0,0.0
reach,fixed_rank4,0,proposal_std_delta_rms,4,0.0,0.0,0.0
reach,fixed_rank4,0,best_runnerup_margin_delta,4,-0.00013074278831481934,-0.0004252195358276367,0.0002486109733581543
reach,fixed_rank4,0,elite_boundary_margin_delta,4,2.4437904357910156e-06,-0.0008020401000976562,0.0006784796714782715
reach,fixed_rank4,1,proposal_entropy_delta_nats,4,0.0,0.0,0.0
reach,fixed_rank4,1,proposal_mean_delta_l2,4,0.0,0.0,0.0
reach,fixed_rank4,1,proposal_mean_delta_rms,4,0.0,0.0,0.0
reach,fixed_rank4,1,proposal_std_delta_l2,4,0.0,0.0,0.0
reach,fixed_rank4,1,proposal_std_delta_rms,4,0.0,0.0,0.0
reach,fixed_rank4,1,best_runnerup_margin_delta,4,-0.0005086362361907959,-0.0011208653450012207,-2.3812055587768555e-05
reach,fixed_rank4,1,elite_boundary_margin_delta,4,9.605288505554199e-05,-0.0005407333374023438,0.0010954737663269043
reach,fixed_rank4,2,proposal_entropy_delta_nats,4,-1.971351863971904e-07,-5.914055591915712e-07,0.0
reach,fixed_rank4,2,proposal_mean_delta_l2,4,9.144354984263028e-08,0.0,2.7433064952789086e-07
reach,fixed_rank4,2,proposal_mean_delta_rms,4,8.347615831192765e-09,0.0,2.5042847493578296e-08
reach,fixed_rank4,2,proposal_std_delta_l2,4,1.3918833205304597e-07,0.0,4.175649961591379e-07
reach,fixed_rank4,2,proposal_std_delta_rms,4,1.2706098201162104e-08,0.0,3.811829460348631e-08
reach,fixed_rank4,2,best_runnerup_margin_delta,4,0.0002263188362121582,-0.0006187260150909424,0.0009114742279052734
reach,fixed_rank4,2,elite_boundary_margin_delta,4,0.0007375478744506836,-0.0005036592483520508,0.001978754997253418
reach,fixed_rank4,3,proposal_entropy_delta_nats,4,-0.3264669375363596,-0.9794000187635135,0.0
reach,fixed_rank4,3,proposal_mean_delta_l2,4,0.3987825860924946,0.0,1.1963474097025406
reach,fixed_rank4,3,proposal_mean_delta_rms,4,0.036403702990517546,0.0,0.10921107715115941
reach,fixed_rank4,3,proposal_std_delta_l2,4,0.4026238498626576,0.0,1.2078709150189135
reach,fixed_rank4,3,proposal_std_delta_rms,4,0.03675436079322514,0.0,0.11026302445171074
reach,fixed_rank4,3,best_runnerup_margin_delta,4,0.0031462907791137695,-0.0002435445785522461,0.009567409753799438
reach,fixed_rank4,3,elite_boundary_margin_delta,4,0.0011456012725830078,0.0005943179130554199,0.0016968846321105957
reach,fixed_rank4,4,proposal_entropy_delta_nats,4,-0.3264669821968411,-0.9794002530807191,0.0
reach,fixed_rank4,4,proposal_mean_delta_l2,4,0.4501253918874658,0.0,1.3503752804235165
reach,fixed_rank4,4,proposal_mean_delta_rms,4,0.041090638473769654,0.0,0.12327183369755404
reach,fixed_rank4,4,proposal_std_delta_l2,4,0.475832006734493,0.0,1.4274953377429038
reach,fixed_rank4,4,proposal_std_delta_rms,4,0.04343732061190531,0.0,0.13031189953587402
reach,fixed_rank4,4,best_runnerup_margin_delta,4,0.0017476975917816162,-0.0006846785545349121,0.005663812160491943
reach,fixed_rank4,4,elite_boundary_margin_delta,4,0.001611068844795227,-0.0008551031351089478,0.004587352275848389
