task,episode,arm,selected_prefix_delta_l2,selected_prefix_delta_rms
reach,0,fixed_rank4,5.915682708282993,0.7637113536875739
reach,0,matched_random_fixed_rank4,5.735079647647023,0.7403955988170007
reach,1,fixed_rank4,8.19413450119961,1.057858215324324
reach,1,matched_random_fixed_rank4,1.753881013692723,0.22642506524204328
reach,2,fixed_rank4,0.4531131342434288,0.058496654095754844
reach,2,matched_random_fixed_rank4,2.1436553440602704,0.27674471491846525
reach,3,fixed_rank4,1.0072787320265908,0.130039125137597
reach,3,matched_random_fixed_rank4,0.0,0.0
reach-wall,0,fixed_rank4,1.5070117018508375,0.19455437412693305
reach-wall,0,matched_random_fixed_rank4,1.6353133371210074e-06,2.1111804401668456e-07
reach-wall,1,fixed_rank4,1.9249395987772886,0.2485086336173209
reach-wall,1,matched_random_fixed_rank4,0.0,0.0
reach-wall,2,fixed_rank4,2.5374581532974463,0.3275844389806412
reach-wall,2,matched_random_fixed_rank4,2.175962879166534,0.2809155997659176
reach-wall,3,fixed_rank4,1.6701558567828114,0.2156161939630203
reach-wall,3,matched_random_fixed_rank4,1.298470993456977,0.16763188443974236
