task,arm,metric,n,mean,marginal_95_low,marginal_95_high
reach,fixed_rank4,shared_population_elite_overlap_count,4,10.0,10.0,10.0
reach,fixed_rank4,shared_population_cost_delta_mean,4,0.00018395185470581054,-0.00021892776091893512,0.0005461771289507547
reach,fixed_rank4,shared_population_cost_delta_rms,4,0.0005091624030570391,0.0004117559861680308,0.0006594639995230724
reach,matched_random_fixed_rank4,shared_population_elite_overlap_count,4,10.0,10.0,10.0
reach,matched_random_fixed_rank4,shared_population_cost_delta_mean,4,0.00027797788381576536,0.00013615220785140992,0.00037409961223602297
reach,matched_random_fixed_rank4,shared_population_cost_delta_rms,4,0.000405279539949524,0.00029497631045985175,0.0005155827694391963
reach-wall,fixed_rank4,shared_population_elite_overlap_count,4,10.0,10.0,10.0
reach-wall,fixed_rank4,shared_population_cost_delta_mean,4,0.0003572465976079305,0.0001575195789337158,0.0005569736162821452
reach-wall,fixed_rank4,shared_population_cost_delta_rms,4,0.0005423212754809525,0.0004094177865964085,0.0006752247643654966
reach-wall,matched_random_fixed_rank4,shared_population_elite_overlap_count,4,10.0,10.0,10.0
reach-wall,matched_random_fixed_rank4,shared_population_cost_delta_mean,4,0.0004524741570154826,0.0003427577018737793,0.0005449604988098145
reach-wall,matched_random_fixed_rank4,shared_population_cost_delta_rms,4,0.0006218974389186569,0.0005404124528816346,0.0007223907476807549
