task,left_condition,right_condition,layer,n,n_defined,mean,marginal_95_low,marginal_95_high,simultaneous_six_layer_95_low,simultaneous_six_layer_95_high,practical_log_margin,equivalence_claimed,simultaneous_family_complete
reach,float32_field_bfloat16_roundtrip,float32,0,32,32,5.3136657164670229,5.2988947941547098,5.3285048588630159,5.2941379498923133,5.3331934830417325,0.10000000000000001,False,True
reach,float32_field_bfloat16_roundtrip,float32,1,32,32,5.910132750553859,5.8852002871860778,5.9348194423676084,5.8774606005541861,5.9428049005535302,0.10000000000000001,False,True
reach,float32_field_bfloat16_roundtrip,float32,2,32,32,6.9726277226165925,6.9220864612664341,7.0213479066149205,6.9065893602693667,7.0386660849638201,0.10000000000000001,False,True
reach,float32_field_bfloat16_roundtrip,float32,3,32,32,6.7433811839323852,6.6975720293923118,6.7909593350097728,6.6814289711382004,6.8053333967265681,0.10000000000000001,False,True
reach,float32_field_bfloat16_roundtrip,float32,4,32,32,7.2182790014469971,7.150869582212092,7.2858737921372008,7.1293441806890483,7.3072138222049459,0.10000000000000001,False,True
reach,float32_field_bfloat16_roundtrip,float32,5,32,32,7.771453510007607,7.6591560654919872,7.8889397590389629,7.6193227379987434,7.9235842820164759,0.10000000000000001,False,True
reach,bfloat16,float32,0,32,32,5.6418833700587845,5.6236633204464699,5.6609665553138422,5.6171134064843216,5.6666533336332492,0.10000000000000001,False,True
reach,bfloat16,float32,1,32,32,6.1344874377091205,6.1066046746476923,6.1626311183512987,6.0975529757386093,6.17142189967963,0.10000000000000001,False,True
reach,bfloat16,float32,2,32,32,7.2794742537194095,7.226699758362674,7.3288693337853434,7.2114619662209041,7.3474865412179167,0.10000000000000001,False,True
reach,bfloat16,float32,3,32,32,7.0052006294769527,6.960114404291704,7.0519494244545111,6.9439357716676877,7.0664654872862194,0.10000000000000001,False,True
reach,bfloat16,float32,4,32,32,7.5101627935346862,7.4476771351985747,7.5740008371777021,7.4268601900669982,7.5934653970023742,0.10000000000000001,False,True
reach,bfloat16,float32,5,32,32,8.0730008956531734,7.9639456655496836,8.1865302428052082,7.9251748063296814,8.2208269849766662,0.10000000000000001,False,True
reach,bfloat16,float32_field_bfloat16_roundtrip,0,32,32,0.32821765359176264,0.31259003564898952,0.34396825453584196,0.3076569011433295,0.34877840604019578,0.10000000000000001,False,True
reach,bfloat16,float32_field_bfloat16_roundtrip,1,32,32,0.22435468715526091,0.21284489668244688,0.23623710282532734,0.20897772410725476,0.23973165020326706,0.10000000000000001,False,True
reach,bfloat16,float32_field_bfloat16_roundtrip,2,32,32,0.30684653110281684,0.29507139372460917,0.31867574892652728,0.29118176487231479,0.3225112973333189,0.10000000000000001,False,True
reach,bfloat16,float32_field_bfloat16_roundtrip,3,32,32,0.26181944554456749,0.2538451389311025,0.26987921972984974,0.25122126711083853,0.27241762397829644,0.10000000000000001,False,True
reach,bfloat16,float32_field_bfloat16_roundtrip,4,32,32,0.291883792087689,0.27907625283553184,0.30464435281873842,0.27489322096905794,0.30887436320632006,0.10000000000000001,False,True
reach,bfloat16,float32_field_bfloat16_roundtrip,5,32,32,0.30154738564556649,0.28507801090738488,0.3189299583772065,0.27919608371543847,0.32389868757569451,0.10000000000000001,False,True
reach-wall,float32_field_bfloat16_roundtrip,float32,0,32,32,5.3665577253423393,5.3502418630624184,5.3832224593725995,5.3449734307322094,5.3881420199524692,0.10000000000000001,False,True
reach-wall,float32_field_bfloat16_roundtrip,float32,1,32,32,5.9447273917639869,5.923327674273275,5.9660460909033635,5.9168790900864625,5.9725756934415095,0.10000000000000001,False,True
