task,condition,layer,metric,n,n_defined,mean,marginal_95_low,marginal_95_high,both_positive_count,both_zero_count,linear_zero_count,cubic_zero_count
reach,float32,0,linear_center_mse,32,32,3.9071318780424837e-10,3.8413157683253472e-10,3.9731229385007666e-10,32,0,0,0
reach,float32,0,cubic_center_mse,32,32,1.7603379497523291e-12,1.7352595142378644e-12,1.7856143330921239e-12,32,0,0,0
reach,float32,0,log_ratio,32,32,-5.4021412017883375,-5.4175790337822551,-5.3871570914424254,32,0,0,0
reach,float32,0,donor_response_rms_mean,32,32,0.0037877459524914836,0.0037561545802194439,0.0038203641876711184,32,0,0,0
reach,float32,0,exact_unchanged_fraction_mean,32,32,5.4855346679687496e-05,5.0735473632812496e-05,5.8975219726562503e-05,32,0,0,0
reach,float32,1,linear_center_mse,32,32,1.4296087483576308e-09,1.4007581368112365e-09,1.4579269750286124e-09,32,0,0,0
reach,float32,1,cubic_center_mse,32,32,3.6318999425248616e-12,3.5948330272665016e-12,3.6702187082078133e-12,32,0,0,0
reach,float32,1,log_ratio,32,32,-5.9741613478180593,-5.9980092649975685,-5.9505804758369907,32,0,0,0
reach,float32,1,donor_response_rms_mean,32,32,0.0060569738157779766,0.0060144334153194997,0.0061005783308934677,32,0,0,0
reach,float32,1,exact_unchanged_fraction_mean,32,32,3.3798217773437498e-05,3.0288696289062498e-05,3.7765502929687495e-05,32,0,0,0
reach,float32,2,linear_center_mse,32,32,8.4994004647961336e-09,8.1047175061607963e-09,8.8801988021493556e-09,32,0,0,0
reach,float32,2,cubic_center_mse,32,32,7.5075059108660512e-12,7.4467487801506861e-12,7.5680307913832209e-12,32,0,0,0
reach,float32,2,log_ratio,32,32,-7.0227162055327099,-7.0709715949652017,-6.9719496724005445,32,0,0,0
reach,float32,2,donor_response_rms_mean,32,32,0.010486206990026548,0.010369695428960124,0.010605573385925776,32,0,0,0
reach,float32,2,exact_unchanged_fraction_mean,32,32,2.6245117187499996e-05,2.3956298828125001e-05,2.8533935546875002e-05,32,0,0,0
reach,float32,3,linear_center_mse,32,32,1.3903019729087724e-08,1.3294466467633489e-08,1.4586640284384648e-08,32,0,0,0
reach,float32,3,cubic_center_mse,32,32,1.6243457180286081e-11,1.6108783977958925e-11,1.6391569910804603e-11,32,0,0,0
reach,float32,3,log_ratio,32,32,-6.7438231899558438,-6.7902315705473892,-6.6994086423338581,32,0,0,0
reach,float32,3,donor_response_rms_mean,32,32,0.015058212668625934,0.014817204203185176,0.015316829347292185,32,0,0,0
reach,float32,3,exact_unchanged_fraction_mean,32,32,2.7008056640625e-05,2.4337768554687503e-05,2.9830932617187501e-05,32,0,0,0
reach,float32,4,linear_center_mse,32,32,7.7858594808549639e-08,7.2807735511388774e-08,8.3490521163028656e-08,32,0,0,0
reach,float32,4,cubic_center_mse,32,32,5.6644932802950801e-11,5.6089271889350799e-11,5.7244422196229408e-11,32,0,0,0
reach,float32,4,log_ratio,32,32,-7.2078618876918732,-7.272967437233433,-7.1435753338198102,32,0,0,0
reach,float32,4,donor_response_rms_mean,32,32,0.028676779022454517,0.028091136333129492,0.029284635388466505,32,0,0,0
reach,float32,4,exact_unchanged_fraction_mean,32,32,2.0523071289062503e-05,1.8234252929687501e-05,2.2964477539062498e-05,32,0,0,0
reach,float32,5,linear_center_mse,32,32,7.7815550407994485e-07,6.8582528503277487e-07,8.8179533373057648e-07,32,0,0,0
reach,float32,5,cubic_center_mse,32,32,3.0717243210673095e-10,3.0239933273460717e-10,3.12231609601095e-10,32,0,0,0
reach,float32,5,log_ratio,32,32,-7.7825339216168548,-7.9002792943589872,-7.6706208861483631,32,0,0,0
reach,float32,5,donor_response_rms_mean,32,32,0.070567218042852015,0.068721836392166377,0.072453847367114507,32,0,0,0
reach,float32,5,exact_unchanged_fraction_mean,32,32,1.8692016601562501e-05,1.6403198242187503e-05,2.0982742309570149e-05,32,0,0,0
reach,float32_field_bfloat16_roundtrip,0,linear_center_mse,32,32,3.7603537505619053e-05,3.5497386740898267e-05,3.9773285189399155e-05,32,0,0,0
reach,float32_field_bfloat16_roundtrip,0,cubic_center_mse,32,32,3.4530972114953215e-05,3.2375991254037925e-05,3.6745796283930796e-05,32,0,0,0
reach,float32_field_bfloat16_roundtrip,0,log_ratio,32,32,-0.088475485321315439,-0.097153693909624861,-0.079861563462416615,32,0,0,0
reach,float32_field_bfloat16_roundtrip,0,donor_response_rms_mean,32,32,0.0096614611482244914,0.0094341550894104422,0.0098899085876290316,32,0,0,0
reach,float32_field_bfloat16_roundtrip,0,exact_unchanged_fraction_mean,32,32,0.7208174133300782,0.71996962928771957,0.7216414031982421,32,0,0,0
reach,float32_field_bfloat16_roundtrip,1,linear_center_mse,32,32,6.1423710096937466e-05,5.8929989610871295e-05,6.3949296831933105e-05,32,0,0,0
reach,float32_field_bfloat16_roundtrip,1,cubic_center_mse,32,32,5.7634606498887669e-05,5.524756386793825e-05,6.0094578316040202e-05,32,0,0,0
