task,episode,arm,native_selected,edited_selected,changed,native_margin,delta_mean,centered_delta_rms,centered_delta_energy_fraction,perturbation_range,range_to_margin,no_flip_certified,strict_margin_crossings,native_score_std,centered_rms_to_native_std,spearman,top10_overlap,native_score_entropy_nats,score_entropy_delta_nats
reach,0,refined,247,247,0,0.12440872192382812,0.0006652379035949707,0.000311210193521468,0.17955690773914973,0.0018069744110107422,0.014524499432741545,1,0,0.12806262961555614,0.00243014058399176,0.9999853331703685,1.0,4.932442583443524,-0.000587352599185742
reach,0,random_refined,247,247,0,0.12440872192382812,0.0003023680051167806,0.00019132356319438547,0.2859047618771364,0.0016243457794189453,0.013056526538496918,1,0,0.12806262961555614,0.0014939843400743728,0.9999875554172823,1.0,4.932442583443524,0.0006256451677861818
reach,0,coupling,247,247,0,0.12440872192382812,0.0014461052417755126,0.0011384818549968674,0.3826402965798867,0.0060956478118896484,0.048996949069389506,1,0,0.12806262961555614,0.008890039650244482,0.9999062211802353,0.9,4.932442583443524,-0.006352241367663325
reach,0,random_coupling,247,247,0,0.12440872192382812,-0.0005336511135101319,0.000619542966245518,0.5740707881894217,0.004153251647949219,0.03338392665501487,1,0,0.12806262961555614,0.004837812311877284,0.9999684440938231,0.9,4.932442583443524,0.0013741842959822392
reach,1,refined,205,205,0,0.0392451286315918,-0.0003786436716715495,0.0002917085353483151,0.3724592692785077,0.0019578933715820312,0.04988882543771187,1,0,0.13497298391479257,0.0021612364703477885,0.9999875554172823,1.0,5.302875916889026,3.3718340184840656e-05
reach,1,random_refined,205,205,0,0.0392451286315918,6.6527525583903e-05,0.0002224229874660432,0.9178834072283546,0.0012655258178710938,0.03224669817625117,1,0,0.13497298391479257,0.0016479074627738627,0.9999857776197514,1.0,5.302875916889026,-0.0003691508267467114
reach,1,coupling,205,205,0,0.0392451286315918,-0.00032320459683736166,0.0011223110279949542,0.9234179627106857,0.007664680480957031,0.19530272286550915,1,0,0.13497298391479257,0.008315079028729636,0.9999293325481393,1.0,5.302875916889026,0.0009646468107922246
reach,1,random_coupling,205,205,0,0.0392451286315918,8.982300758361817e-05,0.0004703673857167459,0.9648159946736053,0.003398418426513672,0.08659465633087494,1,0,0.13497298391479257,0.0034849002524363344,0.9999693329925887,1.0,5.302875916889026,0.0013460855937728056
reach,2,refined,184,184,0,0.0059299468994140625,0.00018899838129679363,0.00034078665355389675,0.7647744950771457,0.002022266387939453,0.34102605339337405,1,0,0.13452240194985662,0.002533307825420225,0.9999871109678996,1.0,5.052075811975172,0.00047984999256023286
reach,2,random_refined,184,184,0,0.0059299468994140625,0.0003450258572896322,0.00041562795433130556,0.5920248424294512,0.0030257701873779297,0.5102524927629463,1,0,0.13452240194985662,0.003089656059562714,0.9999795553283924,1.0,5.052075811975172,0.00088962318261121
reach,2,coupling,184,184,0,0.0059299468994140625,0.00020530064900716147,0.0009377999696247798,0.9542669567700042,0.006503582000732422,1.096735284657446,0,0,0.13452240194985662,0.006971329355049323,0.9999399993333259,1.0,5.052075811975172,-2.600174739786354e-05
reach,2,random_coupling,184,184,0,0.0059299468994140625,0.0006855010986328125,0.000536604304602255,0.3799457998027357,0.0038559436798095703,0.6502492762946285,1,0,0.13452240194985662,0.003988958692562409,0.9999697774419715,1.0,5.052075811975172,-0.0019205217043563039
reach,3,refined,78,78,0,0.08774185180664062,0.0002601941426595052,0.00034798388502121306,0.6414024165960343,0.0018298625946044922,0.020855071518629625,1,0,0.13627085118147653,0.0025536193691033096,0.9999808886765408,1.0,5.22822040011451,0.0002931574294304795
