task,precision,arm,endpoint,horizon,n,native_mean,learned_mean,random_mean,reduction_vs_native_percent,advantage_vs_random_percent,source_sha256
reach,bfloat16,single_block0,proprio_mse,1,33,0.00022758262882115275,0.00022758262882115275,0.00022758262882115275,0.0,0.0,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block1,proprio_mse,1,33,0.00022758262882115275,0.00022758262882115275,0.00022758262882115275,0.0,0.0,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block2,proprio_mse,1,33,0.00022758262882115275,0.00022758262882115275,0.00022758262882115275,0.0,0.0,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block3,proprio_mse,1,33,0.00022758262882115275,0.00022758262882115275,0.00022758262882115275,0.0,0.0,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block4,proprio_mse,1,33,0.00022758262882115275,0.00022758262882115275,0.00022758262882115275,0.0,0.0,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block5,proprio_mse,1,33,0.00022758262882115275,0.00022758262882115275,0.00022758262882115275,0.0,0.0,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,intermediate_blocks2_3,proprio_mse,1,33,0.00022758262882115275,0.00022758262882115275,0.00022758262882115275,0.0,0.0,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,all_six_blocks,proprio_mse,1,33,0.00022758262882115275,0.00022758262882115275,0.00022758262882115275,0.0,0.0,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block0,proprio_mse,2,33,0.00030229441267279485,0.00030229441267279485,0.00030229441267279485,0.0,0.0,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
reach,bfloat16,single_block1,proprio_mse,2,33,0.00030229441267279485,0.00030229441267279485,0.00030229441267279485,0.0,0.0,fe15e327d85f1c64697feb5b5d5b98db01a7a0593b5286dc39c45e9487352e70
