task,episode,bank,site,comparison,spearman,elite_overlap,winner_agreement,winner_mismatch,left_winner,right_winner,left_minimum_ties,right_minimum_ties,minimum_sets_disjoint,left_cutoff_ties,right_cutoff_ties,left_cutoff_ambiguous,right_cutoff_ambiguous
reach,0,original,reference,native_vs_counterfactual,0.72891921021344686,7,1,0,247,247,1,1,0,1,1,False,False
reach,0,original,all_blocks,h3_vs_counterfactual,0.89924821386904297,8,1,0,247,247,1,1,0,1,1,False,False
reach,0,original,all_blocks,persistent_vs_counterfactual,1,10,1,0,247,247,1,1,0,1,1,False,False
reach,0,original,all_blocks,persistent_vs_h3,0.89924821386904297,8,1,0,247,247,1,1,0,1,1,False,False
reach,0,original,B0,h3_vs_counterfactual,0.74780861429667622,7,1,0,247,247,1,1,0,1,1,False,False
reach,0,original,B0,persistent_vs_counterfactual,0.76936899298881101,7,1,0,247,247,1,1,0,1,1,False,False
reach,0,original,B0,persistent_vs_h3,0.9975249722246945,10,1,0,247,247,1,1,0,1,1,False,False
reach,0,original,B1,h3_vs_counterfactual,0.78967099634440385,7,1,0,247,247,1,1,0,1,1,False,False
reach,0,original,B1,persistent_vs_counterfactual,0.92861965132945923,8,1,0,247,247,1,1,0,1,1,False,False
reach,0,original,B1,persistent_vs_h3,0.93856331737019305,8,1,0,247,247,1,1,0,1,1,False,False
reach,0,original,B2,h3_vs_counterfactual,0.75135368170757455,7,1,0,247,247,1,1,0,1,1,False,False
reach,0,original,B2,persistent_vs_counterfactual,0.76907929744545389,7,1,0,247,247,1,1,0,1,1,False,False
reach,0,original,B2,persistent_vs_h3,0.99887920964446997,10,1,0,247,247,1,1,0,1,1,False,False
reach,0,original,B3,h3_vs_counterfactual,0.7263831820353559,6,1,0,247,247,1,1,0,1,1,False,False
reach,0,original,B3,persistent_vs_counterfactual,0.73197302192246583,6,1,0,247,247,1,1,0,1,1,False,False
reach,0,original,B3,persistent_vs_h3,0.99971510794564389,10,1,0,247,247,1,1,0,1,1,False,False
reach,0,original,B4,h3_vs_counterfactual,0.79251458349537218,7,1,0,247,247,1,1,0,1,1,False,False
reach,0,original,B4,persistent_vs_counterfactual,0.79552706141179341,7,1,0,247,247,1,1,0,1,1,False,False
reach,0,original,B4,persistent_vs_h3,0.99989466549628325,10,1,0,247,247,1,1,0,1,1,False,False
reach,0,original,B5,h3_vs_counterfactual,0.73164101823353589,7,1,0,247,247,1,1,0,1,1,False,False
reach,0,original,B5,persistent_vs_counterfactual,0.73145301614462388,7,1,0,247,247,1,1,0,1,1,False,False
reach,0,original,B5,persistent_vs_h3,0.99998933321481354,10,1,0,247,247,1,1,0,1,1,False,False
reach,0,fresh,reference,native_vs_counterfactual,0.77247080523116929,3,0,1,221,162,1,1,1,1,1,False,False
reach,0,fresh,all_blocks,h3_vs_counterfactual,0.90555495061056235,6,0,1,247,162,1,1,1,1,1,False,False
reach,0,fresh,all_blocks,persistent_vs_counterfactual,1,10,1,0,162,162,1,1,0,1,1,False,False
reach,0,fresh,all_blocks,persistent_vs_h3,0.90555495061056235,6,0,1,162,247,1,1,1,1,1,False,False
reach,0,fresh,B0,h3_vs_counterfactual,0.79179813109034547,3,0,1,221,162,1,1,1,1,1,False,False
reach,0,fresh,B0,persistent_vs_counterfactual,0.81470594117712414,4,0,1,221,162,1,1,1,1,1,False,False
reach,0,fresh,B0,persistent_vs_h3,0.99729508105645615,9,1,0,221,221,1,1,0,1,1,False,False
reach,0,fresh,B1,h3_vs_counterfactual,0.83662116652642959,4,0,1,221,162,1,1,1,1,1,False,False
reach,0,fresh,B1,persistent_vs_counterfactual,0.93665129612551246,9,0,1,221,162,1,1,1,1,1,False,False
reach,0,fresh,B1,persistent_vs_h3,0.9594476560237013,5,1,0,221,221,1,1,0,1,1,False,False
reach,0,fresh,B2,h3_vs_counterfactual,0.79733330370337452,3,0,1,221,162,1,1,1,1,1,False,False
reach,0,fresh,B2,persistent_vs_counterfactual,0.81482816475738618,4,0,1,221,162,1,1,1,1,1,False,False
reach,0,fresh,B2,persistent_vs_h3,0.99882532028133642,9,1,0,221,221,1,1,0,1,1,False,False
reach,0,fresh,B3,h3_vs_counterfactual,0.76743741597128856,3,0,1,221,162,1,1,1,1,1,False,False
reach,0,fresh,B3,persistent_vs_counterfactual,0.7729325881398682,3,0,1,221,162,1,1,1,1,1,False,False
reach,0,fresh,B3,persistent_vs_h3,0.99976799742219358,10,1,0,221,221,1,1,0,1,1,False,False
reach,0,fresh,B4,h3_vs_counterfactual,0.82942610473449707,5,0,1,221,162,1,1,1,1,1,False,False
reach,0,fresh,B4,persistent_vs_counterfactual,0.83197279969777438,5,0,1,221,162,1,1,1,1,1,False,False
reach,0,fresh,B4,persistent_vs_h3,0.99992844364937383,10,1,0,221,221,1,1,0,1,1,False,False
reach,0,fresh,B5,h3_vs_counterfactual,0.77562595139946,3,0,1,221,162,1,1,1,1,1,False,False
reach,0,fresh,B5,persistent_vs_counterfactual,0.77528772541917135,3,0,1,221,162,1,1,1,1,1,False,False
reach,0,fresh,B5,persistent_vs_h3,0.99999022211357902,10,1,0,221,221,1,1,0,1,1,False,False
reach,1,original,reference,native_vs_counterfactual,0.74898387759863994,3,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,all_blocks,h3_vs_counterfactual,0.87356837298192203,6,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,all_blocks,persistent_vs_counterfactual,1,10,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,all_blocks,persistent_vs_h3,0.87356837298192203,6,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B0,h3_vs_counterfactual,0.76916187957643978,4,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B0,persistent_vs_counterfactual,0.80446493849931666,4,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B0,persistent_vs_h3,0.9954043933821487,8,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B1,h3_vs_counterfactual,0.81316147957199525,5,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B1,persistent_vs_counterfactual,0.93830998122201359,7,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B1,persistent_vs_h3,0.94830964788497651,7,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B2,h3_vs_counterfactual,0.77397571084123162,5,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B2,persistent_vs_counterfactual,0.79505416726852518,5,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B2,persistent_vs_h3,0.99850087223191364,10,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B3,h3_vs_counterfactual,0.75531817020189118,4,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B3,persistent_vs_counterfactual,0.76631829242547145,4,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B3,persistent_vs_h3,0.99955332837031519,8,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B4,h3_vs_counterfactual,0.76455116167957426,3,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B4,persistent_vs_counterfactual,0.76570628562539589,3,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B4,persistent_vs_h3,0.99995644396048844,10,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B5,h3_vs_counterfactual,0.75116656851742802,3,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B5,persistent_vs_counterfactual,0.75107767864087382,3,1,0,205,205,1,1,0,1,1,False,False
reach,1,original,B5,persistent_vs_h3,0.99999466660740677,10,1,0,205,205,1,1,0,1,1,False,False
reach,1,fresh,reference,native_vs_counterfactual,0.68142934921499132,5,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,all_blocks,h3_vs_counterfactual,0.85650640562672919,7,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,all_blocks,persistent_vs_counterfactual,1,10,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,all_blocks,persistent_vs_h3,0.85650640562672919,7,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B0,h3_vs_counterfactual,0.71013455705063389,5,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B0,persistent_vs_counterfactual,0.76339514883498705,6,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B0,persistent_vs_h3,0.99231058122868032,9,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B1,h3_vs_counterfactual,0.76586273180813125,6,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B1,persistent_vs_counterfactual,0.9355797286636518,7,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B1,persistent_vs_h3,0.91742397137745979,8,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B2,h3_vs_counterfactual,0.71766664074045272,5,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B2,persistent_vs_counterfactual,0.74342026022511365,6,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B2,persistent_vs_h3,0.99786530961455122,9,1,0,149,149,1,1,0,1,1,False,False
reach,1,fresh,B3,h3_vs_counterfactual,0.69091523239147101,5,1,0,149,149,1,1,0,1,1,False,False
