task,bank,site,metric,n,n_defined,mean,min,max,sum
reach,fresh,B0,spearman_difference,8,8,0.029559828442538252,0.020639340437116016,0.053260591784353162,0.23647862754030602
reach,fresh,B0,elite_overlap_difference,8,8,0.875,0,2,7
reach,fresh,B0,winner_agreement_difference,8,8,0,0,0,0
reach,fresh,B1,spearman_difference,8,8,0.13305928950159512,0.10003012959908286,0.16971699685552055,1.064474316012761
reach,fresh,B1,elite_overlap_difference,8,8,2.125,0,5,17
reach,fresh,B1,winner_agreement_difference,8,8,0.375,0,1,3
reach,fresh,B2,spearman_difference,8,8,0.020669663887674827,0.015473060811786787,0.025753619484660928,0.16535731110139862
reach,fresh,B2,elite_overlap_difference,8,8,0.75,0,1,6
reach,fresh,B2,winner_agreement_difference,8,8,0,0,0,0
reach,fresh,B3,spearman_difference,8,8,0.0090105064782057542,0.0054951721685796429,0.013570817453527284,0.072084051825646034
reach,fresh,B3,elite_overlap_difference,8,8,0,0,0,0
reach,fresh,B3,winner_agreement_difference,8,8,0,0,0,0
reach,fresh,B4,spearman_difference,8,8,0.00217031899844565,0.0007924532494805181,0.0030406150771552509,0.0173625519875652
reach,fresh,B4,elite_overlap_difference,8,8,0,0,0,0
reach,fresh,B4,winner_agreement_difference,8,8,0,0,0,0
reach,fresh,B5,spearman_difference,8,8,-0.00011661836255302815,-0.00034222602473354957,0.00017555750619446808,-0.00093294690042422523
reach,fresh,B5,elite_overlap_difference,8,8,0,0,0,0
reach,fresh,B5,winner_agreement_difference,8,8,0,0,0,0
reach,fresh,all_blocks,spearman_difference,8,8,0.1186257625084723,0.081197346637184808,0.15849864998499985,0.94900610006777841
reach,fresh,all_blocks,elite_overlap_difference,8,8,3.125,2,5,25
reach,fresh,all_blocks,winner_agreement_difference,8,8,0.625,0,1,5
reach,original,B0,spearman_difference,8,8,0.027198208482751812,0.011873020811342339,0.044079600884454284,0.2175856678620145
reach,original,B0,elite_overlap_difference,8,8,0.375,0,1,3
reach,original,B0,winner_agreement_difference,8,8,0,0,0,0
reach,original,B1,spearman_difference,8,8,0.13706680074223046,0.10255891732130362,0.19786442071578569,1.0965344059378437
reach,original,B1,elite_overlap_difference,8,8,1.75,0,4,14
reach,original,B1,winner_agreement_difference,8,8,0,-1,1,0
reach,original,B2,spearman_difference,8,8,0.020986577199181927,0.015652618362426263,0.03530928121423571,0.16789261759345542
reach,original,B2,elite_overlap_difference,8,8,0,0,0,0
reach,original,B2,winner_agreement_difference,8,8,0,0,0,0
reach,original,B3,spearman_difference,8,8,0.009449104990055468,0.0055898398871099264,0.013882376470849667,0.075592839920443744
reach,original,B3,elite_overlap_difference,8,8,0.125,0,1,1
reach,original,B3,winner_agreement_difference,8,8,0,0,0,0
reach,original,B4,spearman_difference,8,8,0.0025785286503183374,0.0011551239458216234,0.0043462705141168456,0.0206282292025467
reach,original,B4,elite_overlap_difference,8,8,0,0,0,0
reach,original,B4,winner_agreement_difference,8,8,0,0,0,0
reach,original,B5,spearman_difference,8,8,-0.00015350170557448806,-0.00025244724941386743,-3.2444804942244332e-05,-0.0012280136445959045
reach,original,B5,elite_overlap_difference,8,8,0,0,0,0
reach,original,B5,winner_agreement_difference,8,8,0,0,0,0
reach,original,all_blocks,spearman_difference,8,8,0.12247791642129359,0.08836453738374872,0.1747814975721953,0.97982333137034872
reach,original,all_blocks,elite_overlap_difference,8,8,3.375,2,4,27
reach,original,all_blocks,winner_agreement_difference,8,8,0.375,0,1,3
reach-wall,fresh,B0,spearman_difference,8,8,0.031370126334737083,0.019906887854309496,0.043236924854720638,0.25096101067789667
reach-wall,fresh,B0,elite_overlap_difference,8,8,0.5,0,1,4
reach-wall,fresh,B0,winner_agreement_difference,8,8,0,0,0,0
reach-wall,fresh,B1,spearman_difference,8,8,0.13057439527105857,0.097901976688629877,0.15868487427638089,1.0445951621684686
reach-wall,fresh,B1,elite_overlap_difference,8,8,1.75,0,4,14
reach-wall,fresh,B1,winner_agreement_difference,8,8,0.25,0,1,2
reach-wall,fresh,B2,spearman_difference,8,8,0.020982455360615104,0.013709930110334501,0.029982110912343374,0.16785964288492083
reach-wall,fresh,B2,elite_overlap_difference,8,8,0.125,-1,1,1
reach-wall,fresh,B2,winner_agreement_difference,8,8,0,0,0,0
reach-wall,fresh,B3,spearman_difference,8,8,0.0096556628406982425,0.0066565184057600923,0.013430815897954473,0.07724530272558594
reach-wall,fresh,B3,elite_overlap_difference,8,8,0.125,0,1,1
reach-wall,fresh,B3,winner_agreement_difference,8,8,0,0,0,0
reach-wall,fresh,B4,spearman_difference,8,8,0.0019410324466498652,0.0013693485483171619,0.0030213669040767277,0.015528259573198921
reach-wall,fresh,B4,elite_overlap_difference,8,8,0,0,0,0
reach-wall,fresh,B4,winner_agreement_difference,8,8,0,0,0,0
reach-wall,fresh,B5,spearman_difference,8,8,-8.2500916676844782e-05,-0.0002728919210213121,7.9556439515959809e-05,-0.00066000733341475826
reach-wall,fresh,B5,elite_overlap_difference,8,8,0,0,0,0
reach-wall,fresh,B5,winner_agreement_difference,8,8,0,0,0,0
reach-wall,fresh,all_blocks,spearman_difference,8,8,0.10930622991993058,0.084420049111656792,0.14282380915343507,0.87444983935944465
reach-wall,fresh,all_blocks,elite_overlap_difference,8,8,3.125,1,5,25
reach-wall,fresh,all_blocks,winner_agreement_difference,8,8,0.5,0,1,4
reach-wall,original,B0,spearman_difference,8,8,0.030341281569795209,0.019963777375304192,0.037709752330581492,0.24273025255836167
reach-wall,original,B0,elite_overlap_difference,8,8,0.5,0,1,4
reach-wall,original,B0,winner_agreement_difference,8,8,0,0,0,0
reach-wall,original,B1,spearman_difference,8,8,0.12493011033455927,0.10321936910410123,0.1470900787786531,0.99944088267647413
reach-wall,original,B1,elite_overlap_difference,8,8,3.125,2,5,25
reach-wall,original,B1,winner_agreement_difference,8,8,0.125,0,1,1
reach-wall,original,B2,spearman_difference,8,8,0.020350059445104943,0.016767297414415627,0.025323836931521515,0.16280047556083954
reach-wall,original,B2,elite_overlap_difference,8,8,0,0,0,0
reach-wall,original,B2,winner_agreement_difference,8,8,0,0,0,0
reach-wall,original,B3,spearman_difference,8,8,0.0090447116079067497,0.006607184524272558,0.011026344737163685,0.072357692863253997
reach-wall,original,B3,elite_overlap_difference,8,8,0.125,0,1,1
reach-wall,original,B3,winner_agreement_difference,8,8,0,0,0,0
reach-wall,original,B4,spearman_difference,8,8,0.0019829109212324836,0.0010142334914833295,0.0035018166868521217,0.015863287369859869
reach-wall,original,B4,elite_overlap_difference,8,8,0,0,0,0
reach-wall,original,B4,winner_agreement_difference,8,8,0,0,0,0
reach-wall,original,B5,spearman_difference,8,8,-0.00010777897532195102,-0.00027689196546631933,7.3334148157133683e-05,-0.00086223180257560816
reach-wall,original,B5,elite_overlap_difference,8,8,0,0,0,0
reach-wall,original,B5,winner_agreement_difference,8,8,0,0,0,0
reach-wall,original,all_blocks,spearman_difference,8,8,0.10601295569950778,0.08331337014855722,0.13887532083689824,0.84810364559606222
reach-wall,original,all_blocks,elite_overlap_difference,8,8,4.25,2,7,34
reach-wall,original,all_blocks,winner_agreement_difference,8,8,0.625,0,1,5
