task,episode,bank,site,spearman_difference,elite_overlap_difference,winner_agreement_difference
reach,0,original,all_blocks,0.10075178613095703,2,0
reach,0,original,B0,0.021560378692134785,0,0
reach,0,original,B1,0.13894865498505538,1,0
reach,0,original,B2,0.017725615737879341,0,0
reach,0,original,B3,0.0055898398871099264,0,0
reach,0,original,B4,0.0030124779164212301,0,0
reach,0,original,B5,-0.00018800208891200931,0,0
reach,0,fresh,all_blocks,0.094445049389437652,4,1
reach,0,fresh,B0,0.022907810086778668,1,0
reach,0,fresh,B1,0.10003012959908286,5,0
reach,0,fresh,B2,0.017494861054011657,1,0
reach,0,fresh,B3,0.0054951721685796429,0,0
reach,0,fresh,B4,0.0025466949632773073,0,0
reach,0,fresh,B5,-0.00033822598028865336,0,0
reach,1,original,all_blocks,0.12643162701807797,4,0
reach,1,original,B0,0.035303058922876884,0,0
reach,1,original,B1,0.12514850165001834,2,0
reach,1,original,B2,0.021078456427293557,0,0
reach,1,original,B3,0.011000122223580266,0,0
reach,1,original,B4,0.0011551239458216234,0,0
reach,1,original,B5,-8.8889876554198999e-05,0,0
reach,1,fresh,all_blocks,0.14349359437327081,3,0
reach,1,fresh,B0,0.053260591784353162,1,0
reach,1,fresh,B1,0.16971699685552055,1,0
reach,1,fresh,B2,0.025753619484660928,1,0
reach,1,fresh,B3,0.013570817453527284,0,0
reach,1,fresh,B4,0.002806253402815595,0,0
reach,1,fresh,B5,-7.7334192602140917e-05,0,0
reach,2,original,all_blocks,0.11814175713063479,4,0
reach,2,original,B0,0.020346003844487148,1,0
reach,2,original,B1,0.1283400926676963,3,0
reach,2,original,B2,0.022169579661996175,0,0
reach,2,original,B3,0.0092645473838598447,1,0
reach,2,original,B4,0.0028689207657862648,0,0
reach,2,original,B5,-0.00023644707163417156,0,0
reach,2,fresh,all_blocks,0.15473994155490611,5,1
reach,2,fresh,B0,0.021625573617484628,1,0
reach,2,fresh,B1,0.15860531783686482,2,0
reach,2,fresh,B2,0.024404271158568469,1,0
reach,2,fresh,B3,0.0095032167024078351,0,0
reach,2,fresh,B4,0.0030406150771552509,0,0
reach,2,fresh,B5,-3.0222558028425439e-05,0,0
reach,3,original,all_blocks,0.16343914932388137,4,1
reach,3,original,B0,0.044079600884454284,1,0
reach,3,original,B1,0.19786442071578569,2,0
reach,3,original,B2,0.03530928121423571,0,0
reach,3,original,B3,0.013882376470849667,0,0
reach,3,original,B4,0.0043462705141168456,0,0
reach,3,original,B5,-0.00011244569384105674,0,0
reach,3,fresh,all_blocks,0.15849864998499985,2,0
reach,3,fresh,B0,0.036292403248924909,2,0
reach,3,fresh,B1,0.16250283150973499,2,1
reach,3,fresh,B2,0.02405796333086796,1,0
reach,3,fresh,B3,0.012933032589250937,0,0
reach,3,fresh,B4,0.0017715752397248208,0,0
reach,3,fresh,B5,0.00017555750619446808,0,0
reach,4,original,all_blocks,0.10779497549972783,3,0
reach,4,original,B0,0.028229646996077773,0,0
reach,4,original,B1,0.12647518305758954,1,0
reach,4,original,B2,0.021382459805109,0,0
