task,bank,site,comparison,metric,n,n_defined,mean,min,max,sum
reach,fresh,B0,h3_vs_counterfactual,spearman,8,8,0.76734285936510405,0.71013455705063389,0.80768186313181256,6.1387428749208324
reach,fresh,B0,h3_vs_counterfactual,elite_overlap,8,8,5.125,3,8,41
reach,fresh,B0,h3_vs_counterfactual,winner_agreement,8,8,0.375,0,1,3
reach,fresh,B0,h3_vs_counterfactual,winner_mismatch,8,8,0.625,0,1,5
reach,fresh,B0,h3_vs_counterfactual,minimum_sets_disjoint,8,8,0.625,0,1,5
reach,fresh,B0,persistent_vs_counterfactual,spearman,8,8,0.7969026878076424,0.75575417504638942,0.8396795519950222,6.3752215024611392
reach,fresh,B0,persistent_vs_counterfactual,elite_overlap,8,8,6,4,8,48
reach,fresh,B0,persistent_vs_counterfactual,winner_agreement,8,8,0.375,0,1,3
reach,fresh,B0,persistent_vs_counterfactual,winner_mismatch,8,8,0.625,0,1,5
reach,fresh,B0,persistent_vs_counterfactual,minimum_sets_disjoint,8,8,0.625,0,1,5
reach,fresh,B0,persistent_vs_h3,spearman,8,8,0.9959639551550572,0.99231058122868032,0.99761108456760628,7.9677116412404576
reach,fresh,B0,persistent_vs_h3,elite_overlap,8,8,9,8,10,72
reach,fresh,B0,persistent_vs_h3,winner_agreement,8,8,0.875,0,1,7
reach,fresh,B0,persistent_vs_h3,winner_mismatch,8,8,0.125,0,1,1
reach,fresh,B0,persistent_vs_h3,minimum_sets_disjoint,8,8,0.125,0,1,1
reach,fresh,B1,h3_vs_counterfactual,spearman,8,8,0.80628942548412685,0.76586273180813125,0.83675196391071016,6.4503154038730148
reach,fresh,B1,h3_vs_counterfactual,elite_overlap,8,8,5.875,4,8,47
reach,fresh,B1,h3_vs_counterfactual,winner_agreement,8,8,0.375,0,1,3
reach,fresh,B1,h3_vs_counterfactual,winner_mismatch,8,8,0.625,0,1,5
reach,fresh,B1,h3_vs_counterfactual,minimum_sets_disjoint,8,8,0.625,0,1,5
reach,fresh,B1,persistent_vs_counterfactual,spearman,8,8,0.93934871498572203,0.92518005755619503,0.96025244724941383,7.5147897198857763
reach,fresh,B1,persistent_vs_counterfactual,elite_overlap,8,8,8,6,9,64
reach,fresh,B1,persistent_vs_counterfactual,winner_agreement,8,8,0.75,0,1,6
reach,fresh,B1,persistent_vs_counterfactual,winner_mismatch,8,8,0.25,0,1,2
reach,fresh,B1,persistent_vs_counterfactual,minimum_sets_disjoint,8,8,0.25,0,1,2
reach,fresh,B1,persistent_vs_h3,spearman,8,8,0.9366985727437106,0.91742397137745979,0.9594476560237013,7.4935885819496848
reach,fresh,B1,persistent_vs_h3,elite_overlap,8,8,7.125,5,8,57
reach,fresh,B1,persistent_vs_h3,winner_agreement,8,8,0.5,0,1,4
reach,fresh,B1,persistent_vs_h3,winner_mismatch,8,8,0.5,0,1,4
reach,fresh,B1,persistent_vs_h3,minimum_sets_disjoint,8,8,0.5,0,1,4
reach,fresh,B2,h3_vs_counterfactual,spearman,8,8,0.772107589192915,0.71766664074045272,0.8095254391715464,6.17686071354332
reach,fresh,B2,h3_vs_counterfactual,elite_overlap,8,8,5.125,3,8,41
reach,fresh,B2,h3_vs_counterfactual,winner_agreement,8,8,0.375,0,1,3
reach,fresh,B2,h3_vs_counterfactual,winner_mismatch,8,8,0.625,0,1,5
reach,fresh,B2,h3_vs_counterfactual,minimum_sets_disjoint,8,8,0.625,0,1,5
reach,fresh,B2,persistent_vs_counterfactual,spearman,8,8,0.79277725308058977,0.74342026022511365,0.82842831587017629,6.3422180246447182
reach,fresh,B2,persistent_vs_counterfactual,elite_overlap,8,8,5.875,4,8,47
reach,fresh,B2,persistent_vs_counterfactual,winner_agreement,8,8,0.375,0,1,3
reach,fresh,B2,persistent_vs_counterfactual,winner_mismatch,8,8,0.625,0,1,5
reach,fresh,B2,persistent_vs_counterfactual,minimum_sets_disjoint,8,8,0.625,0,1,5
reach,fresh,B2,persistent_vs_h3,spearman,8,8,0.99863894319001889,0.99786530961455122,0.99898487760975119,7.9891115455201511
reach,fresh,B2,persistent_vs_h3,elite_overlap,8,8,9.25,9,10,74
reach,fresh,B2,persistent_vs_h3,winner_agreement,8,8,1,1,1,8
reach,fresh,B2,persistent_vs_h3,winner_mismatch,8,8,0,0,0,0
reach,fresh,B2,persistent_vs_h3,minimum_sets_disjoint,8,8,0,0,0,0
reach,fresh,B3,h3_vs_counterfactual,spearman,8,8,0.75058310011742302,0.69091523239147101,0.80020889120990235,6.0046648009393842
reach,fresh,B3,h3_vs_counterfactual,elite_overlap,8,8,5,2,8,40
reach,fresh,B3,h3_vs_counterfactual,winner_agreement,8,8,0.25,0,1,2
reach,fresh,B3,h3_vs_counterfactual,winner_mismatch,8,8,0.75,0,1,6
reach,fresh,B3,h3_vs_counterfactual,minimum_sets_disjoint,8,8,0.75,0,1,6
reach,fresh,B3,persistent_vs_counterfactual,spearman,8,8,0.7595936065956288,0.7044860498449983,0.8108272314136824,6.0767488527650304
reach,fresh,B3,persistent_vs_counterfactual,elite_overlap,8,8,5,2,8,40
reach,fresh,B3,persistent_vs_counterfactual,winner_agreement,8,8,0.25,0,1,2
reach,fresh,B3,persistent_vs_counterfactual,winner_mismatch,8,8,0.75,0,1,6
reach,fresh,B3,persistent_vs_counterfactual,minimum_sets_disjoint,8,8,0.75,0,1,6
reach,fresh,B3,persistent_vs_h3,spearman,8,8,0.99963078755931467,0.99951866131845912,0.99976799742219358,7.9970463004745174
reach,fresh,B3,persistent_vs_h3,elite_overlap,8,8,10,10,10,80
reach,fresh,B3,persistent_vs_h3,winner_agreement,8,8,1,1,1,8
reach,fresh,B3,persistent_vs_h3,winner_mismatch,8,8,0,0,0,0
reach,fresh,B3,persistent_vs_h3,minimum_sets_disjoint,8,8,0,0,0,0
reach,fresh,B4,h3_vs_counterfactual,spearman,8,8,0.79239178724717929,0.70500738897098858,0.83391948799431104,6.3391342979774343
reach,fresh,B4,h3_vs_counterfactual,elite_overlap,8,8,5.625,3,8,45
reach,fresh,B4,h3_vs_counterfactual,winner_agreement,8,8,0.25,0,1,2
reach,fresh,B4,h3_vs_counterfactual,winner_mismatch,8,8,0.75,0,1,6
reach,fresh,B4,h3_vs_counterfactual,minimum_sets_disjoint,8,8,0.75,0,1,6
reach,fresh,B4,persistent_vs_counterfactual,spearman,8,8,0.79456210624562496,0.70781364237380417,0.83614617940199332,6.3564968499649996
reach,fresh,B4,persistent_vs_counterfactual,elite_overlap,8,8,5.625,3,8,45
reach,fresh,B4,persistent_vs_counterfactual,winner_agreement,8,8,0.25,0,1,2
reach,fresh,B4,persistent_vs_counterfactual,winner_mismatch,8,8,0.75,0,1,6
reach,fresh,B4,persistent_vs_counterfactual,minimum_sets_disjoint,8,8,0.75,0,1,6
reach,fresh,B4,persistent_vs_h3,spearman,8,8,0.99992498527617513,0.9998963321699561,0.99995555506172296,7.999399882209401
reach,fresh,B4,persistent_vs_h3,elite_overlap,8,8,10,10,10,80
reach,fresh,B4,persistent_vs_h3,winner_agreement,8,8,0.875,0,1,7
reach,fresh,B4,persistent_vs_h3,winner_mismatch,8,8,0.125,0,1,1
reach,fresh,B4,persistent_vs_h3,minimum_sets_disjoint,8,8,0.125,0,1,1
reach,fresh,B5,h3_vs_counterfactual,spearman,8,8,0.75259152879476443,0.68496716630184784,0.79747374970833007,6.0207322303581154
reach,fresh,B5,h3_vs_counterfactual,elite_overlap,8,8,5,2,8,40
reach,fresh,B5,h3_vs_counterfactual,winner_agreement,8,8,0.375,0,1,3
reach,fresh,B5,h3_vs_counterfactual,winner_mismatch,8,8,0.625,0,1,5
reach,fresh,B5,h3_vs_counterfactual,minimum_sets_disjoint,8,8,0.625,0,1,5
reach,fresh,B5,persistent_vs_counterfactual,spearman,8,8,0.75247491043221137,0.6848898321092457,0.79743286036511518,6.019799283457691
reach,fresh,B5,persistent_vs_counterfactual,elite_overlap,8,8,5,2,8,40
reach,fresh,B5,persistent_vs_counterfactual,winner_agreement,8,8,0.375,0,1,3
reach,fresh,B5,persistent_vs_counterfactual,winner_mismatch,8,8,0.625,0,1,5
reach,fresh,B5,persistent_vs_counterfactual,minimum_sets_disjoint,8,8,0.625,0,1,5
reach,fresh,B5,persistent_vs_h3,spearman,8,8,0.99999138879296501,0.99998711096789961,0.99999466660740677,7.9999311103437201
reach,fresh,B5,persistent_vs_h3,elite_overlap,8,8,10,10,10,80
reach,fresh,B5,persistent_vs_h3,winner_agreement,8,8,1,1,1,8
reach,fresh,B5,persistent_vs_h3,winner_mismatch,8,8,0,0,0,0
reach,fresh,B5,persistent_vs_h3,minimum_sets_disjoint,8,8,0,0,0,0
reach,fresh,all_blocks,h3_vs_counterfactual,spearman,8,8,0.88137423749152766,0.84150135001500015,0.91880265336281519,7.0509938999322213
reach,fresh,all_blocks,h3_vs_counterfactual,elite_overlap,8,8,6.875,5,8,55
reach,fresh,all_blocks,h3_vs_counterfactual,winner_agreement,8,8,0.375,0,1,3
reach,fresh,all_blocks,h3_vs_counterfactual,winner_mismatch,8,8,0.625,0,1,5
reach,fresh,all_blocks,h3_vs_counterfactual,minimum_sets_disjoint,8,8,0.625,0,1,5
reach,fresh,all_blocks,persistent_vs_counterfactual,spearman,8,8,1,1,1,8
reach,fresh,all_blocks,persistent_vs_counterfactual,elite_overlap,8,8,10,10,10,80
reach,fresh,all_blocks,persistent_vs_counterfactual,winner_agreement,8,8,1,1,1,8
reach,fresh,all_blocks,persistent_vs_counterfactual,winner_mismatch,8,8,0,0,0,0
reach,fresh,all_blocks,persistent_vs_counterfactual,minimum_sets_disjoint,8,8,0,0,0,0
reach,fresh,all_blocks,persistent_vs_h3,spearman,8,8,0.88137423749152766,0.84150135001500015,0.91880265336281519,7.0509938999322213
reach,fresh,all_blocks,persistent_vs_h3,elite_overlap,8,8,6.875,5,8,55
reach,fresh,all_blocks,persistent_vs_h3,winner_agreement,8,8,0.375,0,1,3
reach,fresh,all_blocks,persistent_vs_h3,winner_mismatch,8,8,0.625,0,1,5
reach,fresh,all_blocks,persistent_vs_h3,minimum_sets_disjoint,8,8,0.625,0,1,5
reach,fresh,reference,native_vs_counterfactual,spearman,8,8,0.74901148901654468,0.68142934921499132,0.79478616429071436,5.9920919121323575
reach,fresh,reference,native_vs_counterfactual,elite_overlap,8,8,5,2,8,40
reach,fresh,reference,native_vs_counterfactual,winner_agreement,8,8,0.375,0,1,3
reach,fresh,reference,native_vs_counterfactual,winner_mismatch,8,8,0.625,0,1,5
reach,fresh,reference,native_vs_counterfactual,minimum_sets_disjoint,8,8,0.625,0,1,5
reach,original,B0,h3_vs_counterfactual,spearman,8,8,0.75846124328893461,0.68264269602995586,0.81548594984388711,6.0676899463114768
reach,original,B0,h3_vs_counterfactual,elite_overlap,8,8,4.625,2,7,37
reach,original,B0,h3_vs_counterfactual,winner_agreement,8,8,0.5,0,1,4
reach,original,B0,h3_vs_counterfactual,winner_mismatch,8,8,0.5,0,1,4
