task,episode,bank,arm,reference_best,selected,changed,reference_min_cost,excess_reference_cost,excess_reference_cost_percent
reach,0,original,all_blocks_h3_donor,247,247,0,1.9085420370101929,0.0,0.0
reach,0,original,all_blocks_persistent_donor,247,247,0,1.9085420370101929,0.0,0.0
reach,0,fresh,all_blocks_h3_donor,162,247,1,1.9331529140472412,0.11526107788085938,5.96233629752285
reach,0,fresh,all_blocks_persistent_donor,162,162,0,1.9331529140472412,0.0,0.0
reach,1,original,all_blocks_h3_donor,205,205,0,1.7949432134628296,0.0,0.0
reach,1,original,all_blocks_persistent_donor,205,205,0,1.7949432134628296,0.0,0.0
reach,1,fresh,all_blocks_h3_donor,149,149,0,2.0038020610809326,0.0,0.0
reach,1,fresh,all_blocks_persistent_donor,149,149,0,2.0038020610809326,0.0,0.0
reach,2,original,all_blocks_h3_donor,78,78,0,2.060044288635254,0.0,0.0
reach,2,original,all_blocks_persistent_donor,78,78,0,2.060044288635254,0.0,0.0
reach,2,fresh,all_blocks_h3_donor,213,216,1,2.067117691040039,0.05009651184082031,2.4234958685692933
reach,2,fresh,all_blocks_persistent_donor,213,213,0,2.067117691040039,0.0,0.0
reach,3,original,all_blocks_h3_donor,111,78,1,2.4355459213256836,0.0998847484588623,4.101123595505618
reach,3,original,all_blocks_persistent_donor,111,111,0,2.4355459213256836,0.0,0.0
reach,3,fresh,all_blocks_h3_donor,112,112,0,2.2593882083892822,0.0,0.0
reach,3,fresh,all_blocks_persistent_donor,112,112,0,2.2593882083892822,0.0,0.0
reach,4,original,all_blocks_h3_donor,268,268,0,1.5438367128372192,0.0,0.0
reach,4,original,all_blocks_persistent_donor,268,268,0,1.5438367128372192,0.0,0.0
reach,4,fresh,all_blocks_h3_donor,289,68,1,1.4827390909194946,0.06246316432952881,4.212687499241244
reach,4,fresh,all_blocks_persistent_donor,289,289,0,1.4827390909194946,0.0,0.0
reach,5,original,all_blocks_h3_donor,3,252,1,2.011430025100708,0.1978764533996582,9.837600658752768
reach,5,original,all_blocks_persistent_donor,3,3,0,2.011430025100708,0.0,0.0
reach,5,fresh,all_blocks_h3_donor,234,89,1,2.047788143157959,0.0875861644744873,4.277110636035713
reach,5,fresh,all_blocks_persistent_donor,234,234,0,2.047788143157959,0.0,0.0
reach,6,original,all_blocks_h3_donor,55,12,1,1.588335633277893,0.1398371458053589,8.80400482590528
reach,6,original,all_blocks_persistent_donor,55,55,0,1.588335633277893,0.0,0.0
reach,6,fresh,all_blocks_h3_donor,73,241,1,1.4697662591934204,0.21297681331634521,14.490522692582616
reach,6,fresh,all_blocks_persistent_donor,73,73,0,1.4697662591934204,0.0,0.0
reach,7,original,all_blocks_h3_donor,213,213,0,2.2252492904663086,0.0,0.0
reach,7,original,all_blocks_persistent_donor,213,213,0,2.2252492904663086,0.0,0.0
reach,7,fresh,all_blocks_h3_donor,150,150,0,2.2242484092712402,0.0,0.0
reach,7,fresh,all_blocks_persistent_donor,150,150,0,2.2242484092712402,0.0,0.0
reach-wall,0,original,all_blocks_h3_donor,4,4,0,2.143355369567871,0.0,0.0
reach-wall,0,original,all_blocks_persistent_donor,4,4,0,2.143355369567871,0.0,0.0
reach-wall,0,fresh,all_blocks_h3_donor,69,161,1,2.06730055809021,0.10430049896240234,5.045250849192246
reach-wall,0,fresh,all_blocks_persistent_donor,69,69,0,2.06730055809021,0.0,0.0
reach-wall,1,original,all_blocks_h3_donor,218,193,1,2.1607718467712402,0.08395862579345703,3.885584955159113
reach-wall,1,original,all_blocks_persistent_donor,218,218,0,2.1607718467712402,0.0,0.0
reach-wall,1,fresh,all_blocks_h3_donor,263,145,1,2.151944398880005,0.05816388130187988,2.702852421844714
reach-wall,1,fresh,all_blocks_persistent_donor,263,263,0,2.151944398880005,0.0,0.0
reach-wall,2,original,all_blocks_h3_donor,109,109,0,2.0433549880981445,0.0,0.0
reach-wall,2,original,all_blocks_persistent_donor,109,109,0,2.0433549880981445,0.0,0.0
reach-wall,2,fresh,all_blocks_h3_donor,181,181,0,2.0641989707946777,0.0,0.0
