task,bank,arm,modality,metric,n,n_defined,mean,marginal_95_low,marginal_95_high,horizon
reach,fresh,all_blocks_h3_donor,official,reference_spearman,100,100,0.886131985070491,0.8816728265371069,0.8904877920230367,
reach,fresh,all_blocks_h3_donor,official,reference_top10_overlap,100,100,5.77,5.520000000000001,6.010000000000002,
reach,fresh,all_blocks_h3_donor,official,winner_changed,100,100,0.56,0.46,0.6599999999999999,
reach,fresh,all_blocks_h3_donor,official,selected_in_reference_minimum_set,100,100,0.44,0.34,0.54,
reach,fresh,all_blocks_h3_donor,official,excess_reference_cost,100,100,0.04839953184127808,0.034810603588819496,0.06377227386832235,
reach,fresh,all_blocks_h3_donor,official,excess_reference_cost_percent,100,100,2.5551445500474865,1.788935992724674,3.4583341990011065,
reach,fresh,all_blocks_h3_donor,official,reference_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,all_blocks_h3_donor,official,selected_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,all_blocks_h3_donor,official,reference_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,all_blocks_h3_donor,official,selected_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,all_blocks_h3_donor,proprio,reference_spearman,100,100,0.9021688596539963,0.8993034237047078,0.9049684026489182,
reach,fresh,all_blocks_h3_donor,proprio,reference_top10_overlap,100,100,6.39,6.15,6.630000000000001,
reach,fresh,all_blocks_h3_donor,proprio,winner_changed,100,100,0.51,0.41000000000000003,0.61,
reach,fresh,all_blocks_h3_donor,proprio,selected_in_reference_minimum_set,100,100,0.49,0.39,0.59,
reach,fresh,all_blocks_h3_donor,proprio,excess_reference_cost,100,100,0.010085307136178017,0.007159129379782826,0.013403985381592062,
reach,fresh,all_blocks_h3_donor,proprio,excess_reference_cost_percent,100,100,14.662058620245045,10.222249572749245,19.815748406594082,
reach,fresh,all_blocks_h3_donor,proprio,reference_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,all_blocks_h3_donor,proprio,selected_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,all_blocks_h3_donor,proprio,reference_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,all_blocks_h3_donor,proprio,selected_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,all_blocks_h3_donor,visual,reference_spearman,100,100,0.8850404043121867,0.8805212086305862,0.8894551354418468,
reach,fresh,all_blocks_h3_donor,visual,reference_top10_overlap,100,100,5.74,5.48,6.0,
reach,fresh,all_blocks_h3_donor,visual,winner_changed,100,100,0.58,0.48000000000000004,0.6799999999999999,
reach,fresh,all_blocks_h3_donor,visual,selected_in_reference_minimum_set,100,100,0.42,0.32000000000000006,0.52,
reach,fresh,all_blocks_h3_donor,visual,excess_reference_cost,100,100,0.0468009352684021,0.03354063260555267,0.06186734017729759,
reach,fresh,all_blocks_h3_donor,visual,excess_reference_cost_percent,100,100,2.4939683531516303,1.7400794533327542,3.3881806525259948,
reach,fresh,all_blocks_h3_donor,visual,reference_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,all_blocks_h3_donor,visual,selected_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,all_blocks_h3_donor,visual,reference_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,all_blocks_h3_donor,visual,selected_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,all_blocks_persistent_donor,official,reference_spearman,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,all_blocks_persistent_donor,official,reference_top10_overlap,100,100,10.0,10.0,10.000000000000004,
reach,fresh,all_blocks_persistent_donor,official,winner_changed,100,100,0.0,0.0,0.0,
reach,fresh,all_blocks_persistent_donor,official,selected_in_reference_minimum_set,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,all_blocks_persistent_donor,official,excess_reference_cost,100,100,0.0,0.0,0.0,
reach,fresh,all_blocks_persistent_donor,official,excess_reference_cost_percent,100,100,0.0,0.0,0.0,
reach,fresh,all_blocks_persistent_donor,official,reference_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,all_blocks_persistent_donor,official,selected_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,all_blocks_persistent_donor,official,reference_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,all_blocks_persistent_donor,official,selected_top10_cutoff_ties,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,all_blocks_persistent_donor,proprio,reference_spearman,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,all_blocks_persistent_donor,proprio,reference_top10_overlap,100,100,10.0,10.0,10.000000000000004,
reach,fresh,all_blocks_persistent_donor,proprio,winner_changed,100,100,0.0,0.0,0.0,
reach,fresh,all_blocks_persistent_donor,proprio,selected_in_reference_minimum_set,100,100,1.0,1.0,1.0000000000000002,
reach,fresh,all_blocks_persistent_donor,proprio,excess_reference_cost,100,100,0.0,0.0,0.0,
reach,fresh,all_blocks_persistent_donor,proprio,excess_reference_cost_percent,100,100,0.0,0.0,0.0,
reach,fresh,all_blocks_persistent_donor,proprio,reference_minimum_ties,100,100,1.0,1.0,1.0000000000000002,
