kind,task,metric,modality,horizon,bfloat16_mean,float32_mean,sign_agreement,pearson,spearman,n,arm
coupling,pusht,factorial_from_arm_losses,proprio,1.0,0.0,0.0,1.0,,,21,
coupling,pusht,output_interaction_mse,proprio,1.0,0.0,0.0,1.0,,,21,
coupling,pusht,factorial_from_arm_losses,proprio,2.0,0.0,0.0,1.0,,,21,
coupling,pusht,factorial_from_arm_losses,proprio,3.0,-9.573583834517778e-08,-1.1506400019834799e-07,0.6190476190476191,0.18823936189919258,0.1961038961038961,21,
coupling,pusht,output_interaction_mse,proprio,3.0,9.18679013545175e-06,1.3839992785759764e-11,1.0,0.23589584700861937,0.40259740259740256,21,
coupling,pusht,factorial_from_arm_losses,proprio,4.0,6.366568250826955e-08,-5.692212618041533e-08,0.42857142857142855,0.5588009542189484,0.5389610389610389,21,
coupling,pusht,factorial_from_arm_losses,proprio,5.0,-5.4983554580159754e-08,-5.137097684285183e-08,0.42857142857142855,0.052244323692455054,0.15714285714285717,21,
coupling,pusht,factorial_from_arm_losses,proprio,6.0,-1.0650210632112567e-07,-5.250540684454705e-08,0.47619047619047616,-0.2699905236529837,-0.212987012987013,21,
coupling,pusht,output_interaction_mse,proprio,6.0,1.1005973989512531e-05,4.582693599743871e-09,1.0,0.33106712089009216,0.8,21,
coupling,pusht,factorial_from_arm_losses,visual,1.0,0.0,0.0,1.0,,,21,
coupling,pusht,output_interaction_mse,visual,1.0,0.0,0.0,1.0,,,21,
coupling,pusht,factorial_from_arm_losses,visual,2.0,0.0,0.0,1.0,,,21,
coupling,pusht,factorial_from_arm_losses,visual,3.0,1.519374888488762e-05,3.0034586308328157e-06,0.5714285714285714,0.4114446886397386,0.3038961038961039,21,
coupling,pusht,output_interaction_mse,visual,3.0,0.00012126458474087555,1.5446279400638032e-08,1.0,0.14920349631325894,0.33506493506493507,21,
coupling,pusht,factorial_from_arm_losses,visual,4.0,1.768239131389499e-05,-3.768333833918735e-06,0.5714285714285714,0.10097436711069507,0.13766233766233765,21,
coupling,pusht,factorial_from_arm_losses,visual,5.0,2.740066911125963e-05,4.721561940132182e-06,0.47619047619047616,0.35966306080477956,0.3194805194805195,21,
coupling,pusht,factorial_from_arm_losses,visual,6.0,1.7577770143692967e-05,-2.0008914627878655e-05,0.3333333333333333,-0.1758289213496928,-0.16103896103896104,21,
coupling,pusht,output_interaction_mse,visual,6.0,0.0005568095643995843,9.314368342508625e-06,1.0,0.2495018999713577,0.7376623376623377,21,
coupling,reach,factorial_from_arm_losses,proprio,1.0,0.0,0.0,1.0,,,33,
coupling,reach,output_interaction_mse,proprio,1.0,0.0,0.0,1.0,,,33,
coupling,reach,factorial_from_arm_losses,proprio,2.0,0.0,0.0,1.0,,,33,
coupling,reach,factorial_from_arm_losses,proprio,3.0,2.27726915835947e-07,1.0860623679220561e-07,0.7272727272727273,0.6488801068282556,0.6133021390374331,33,
coupling,reach,output_interaction_mse,proprio,3.0,3.6120262220697213e-06,1.4783777873331658e-10,1.0,0.4824061841018669,0.3910427807486631,33,
coupling,reach,factorial_from_arm_losses,proprio,4.0,6.752539371113686e-08,1.1199771497466149e-07,0.6060606060606061,0.2539554499709882,0.2757352941176471,33,
coupling,reach,factorial_from_arm_losses,proprio,5.0,2.389560996571348e-07,1.4952468086678108e-07,0.5757575757575758,0.36918834667755546,0.36363636363636365,33,
coupling,reach,factorial_from_arm_losses,proprio,6.0,5.469989106370595e-07,9.366972840830967e-08,0.6060606060606061,0.2649396472741438,0.34993315508021394,33,
coupling,reach,output_interaction_mse,proprio,6.0,3.5982196626112754e-06,3.69771465956097e-11,1.0,-0.11463804079487402,-0.2647058823529412,33,
coupling,reach,factorial_from_arm_losses,visual,1.0,0.0,0.0,1.0,,,33,
coupling,reach,output_interaction_mse,visual,1.0,0.0,0.0,1.0,,,33,
coupling,reach,factorial_from_arm_losses,visual,2.0,0.0,0.0,1.0,,,33,
coupling,reach,factorial_from_arm_losses,visual,3.0,-4.252206082596864e-05,-5.073475679665027e-05,0.9090909090909091,0.12087963367710772,0.14204545454545453,33,
coupling,reach,output_interaction_mse,visual,3.0,0.00012124786141492848,5.952491644693396e-08,1.0,0.4314231994731405,0.2533422459893048,33,
coupling,reach,factorial_from_arm_losses,visual,4.0,-2.1370411897550932e-05,-2.5928827623523564e-05,0.696969696969697,0.12447051640449142,0.15006684491978609,33,
coupling,reach,factorial_from_arm_losses,visual,5.0,-1.9561984773838665e-05,-1.1437847231976159e-05,0.5454545454545454,0.25449092105654547,0.14939839572192515,33,
coupling,reach,factorial_from_arm_losses,visual,6.0,1.1608200241816888e-05,-8.634935048487922e-06,0.6060606060606061,0.3087417868156634,0.33389037433155083,33,
coupling,reach,output_interaction_mse,visual,6.0,0.00018867391268996114,1.757970494005824e-08,1.0,0.3065359621629342,-0.1002673796791444,33,
coupling,reach-wall,factorial_from_arm_losses,proprio,1.0,0.0,0.0,1.0,,,27,
coupling,reach-wall,output_interaction_mse,proprio,1.0,0.0,0.0,1.0,,,27,
