task,episode,layer,horizon,head,T,H,W,action_tokens,spatial_distance_patches,temporal_distance_frames,conditioning_mass,visual_mass
reach,0,0,1,0,1,16,16,0,8.054192543837317,0.0,0.0,0.9999999850988388
reach,0,0,1,1,1,16,16,0,7.710013508796692,0.0,0.0,1.0
reach,0,0,1,2,1,16,16,0,7.023331165313721,0.0,0.0,1.0
reach,0,0,1,3,1,16,16,0,7.77450168132782,0.0,0.0,1.0
reach,0,0,1,4,1,16,16,0,8.295312881469727,0.0,0.0,1.0
reach,0,0,1,5,1,16,16,0,7.4633179903030396,0.0,0.0,1.0
reach,0,0,1,6,1,16,16,0,7.872579216957092,0.0,0.0,1.0
reach,0,0,1,7,1,16,16,0,8.18063747882843,0.0,0.0,1.0
reach,0,0,1,8,1,16,16,0,7.300913333892822,0.0,0.0,1.0
reach,0,0,1,9,1,16,16,0,7.001360058784485,0.0,0.0,1.0
reach,0,0,1,10,1,16,16,0,7.5483280420303345,0.0,0.0,1.0
reach,0,0,1,11,1,16,16,0,7.461257815361023,0.0,0.0,1.0
reach,0,0,1,12,1,16,16,0,7.765471458435059,0.0,0.0,1.0
reach,0,0,1,13,1,16,16,0,7.2584885358810425,0.0,0.0,1.0
reach,0,0,1,14,1,16,16,0,6.941798313584899,0.0,0.0,0.9999999850988388
reach,0,0,1,15,1,16,16,0,6.929750084877014,0.0,0.0,1.0
reach,0,1,1,0,1,16,16,0,7.794470426357842,0.0,0.0,0.9999999850988388
reach,0,1,1,1,1,16,16,0,7.812120079994202,0.0,0.0,1.0
reach,0,1,1,2,1,16,16,0,6.960346564059654,0.0,0.0,0.9999999850988388
reach,0,1,1,3,1,16,16,0,6.986135005950928,0.0,0.0,1.0
reach,0,1,1,4,1,16,16,0,7.664315099482463,0.0,0.0,0.9999999850988388
reach,0,1,1,5,1,16,16,0,7.094987869262695,0.0,0.0,1.0
reach,0,1,1,6,1,16,16,0,8.133851766586304,0.0,0.0,1.0
reach,0,1,1,7,1,16,16,0,7.894946692808668,0.0,0.0,0.9999999850988388
reach,0,1,1,8,1,16,16,0,7.133117198944092,0.0,0.0,1.0
reach,0,1,1,9,1,16,16,0,8.397225618362427,0.0,0.0,1.0
reach,0,1,1,10,1,16,16,0,7.416556119918823,0.0,0.0,1.0
reach,0,1,1,11,1,16,16,0,7.527508735656738,0.0,0.0,1.0
reach,0,1,1,12,1,16,16,0,7.559826493263245,0.0,0.0,1.0
reach,0,1,1,13,1,16,16,0,8.252212166786194,0.0,0.0,1.0
reach,0,1,1,14,1,16,16,0,6.133819341659546,0.0,0.0,1.0
reach,0,1,1,15,1,16,16,0,7.720117688179016,0.0,0.0,1.0
