task,layer,horizon,head,metric,n,n_defined,mean,marginal_95_low,marginal_95_high
reach,0,1,0,spatial_distance_patches,32,32,8.119184580157967,8.101661768290462,8.136472156507017
reach,0,1,0,temporal_distance_frames,32,32,0.0,0.0,0.0
reach,0,1,0,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,1,0,visual_mass,32,32,0.9999999958090484,0.9999999930150807,0.9999999981373549
reach,0,1,1,spatial_distance_patches,32,32,7.707715890070558,7.70096063156234,7.714535276553897
reach,0,1,1,temporal_distance_frames,32,32,0.0,0.0,0.0
reach,0,1,1,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,1,1,visual_mass,32,32,0.9999999958090484,0.9999999930150807,0.9999999981373549
reach,0,1,2,spatial_distance_patches,32,32,7.0528799516249405,7.040865647677712,7.064646734633371
reach,0,1,2,temporal_distance_frames,32,32,0.0,0.0,0.0
reach,0,1,2,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,1,2,visual_mass,32,32,0.9999999958090484,0.999999993480742,0.9999999981373549
reach,0,1,3,spatial_distance_patches,32,32,7.810649371809552,7.797630044317663,7.823132193559187
reach,0,1,3,temporal_distance_frames,32,32,0.0,0.0,0.0
reach,0,1,3,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,1,3,visual_mass,32,32,0.9999999958090484,0.9999999925494194,0.9999999995343387
reach,0,1,4,spatial_distance_patches,32,32,8.263523531651789,8.252020556855976,8.275162070455101
reach,0,1,4,temporal_distance_frames,32,32,0.0,0.0,0.0
reach,0,1,4,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,1,4,visual_mass,32,32,0.9999999944120646,0.9999999916180968,0.9999999972060323
reach,0,1,5,spatial_distance_patches,32,32,7.4040099319947865,7.390901441024222,7.417238767357773
reach,0,1,5,temporal_distance_frames,32,32,0.0,0.0,0.0
reach,0,1,5,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,1,5,visual_mass,32,32,0.9999999958090484,0.9999999916180968,0.9999999995343387
reach,0,1,6,spatial_distance_patches,32,32,7.88976306401656,7.879692858515415,7.899927696368101
reach,0,1,6,temporal_distance_frames,32,32,0.0,0.0,0.0
reach,0,1,6,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,1,6,visual_mass,32,32,0.9999999939464033,0.9999999911524355,0.999999996740371
reach,0,1,7,spatial_distance_patches,32,32,8.137013909098027,8.11801098209664,8.15558860917265
reach,0,1,7,temporal_distance_frames,32,32,0.0,0.0,0.0
reach,0,1,7,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,1,7,visual_mass,32,32,0.9999999953433871,0.9999999925494194,0.9999999976716936
reach,0,1,8,spatial_distance_patches,32,32,7.2644125669623305,7.253485195296673,7.2752756117076895
reach,0,1,8,temporal_distance_frames,32,32,0.0,0.0,0.0
reach,0,1,8,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,1,8,visual_mass,32,32,0.9999999948777258,0.9999999911524355,0.9999999986030161
reach,0,1,9,spatial_distance_patches,32,32,7.020532072236234,7.013717527931193,7.027164216510919
reach,0,1,9,temporal_distance_frames,32,32,0.0,0.0,0.0
reach,0,1,9,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,1,9,visual_mass,32,32,0.9999999930150807,0.9999999892897904,0.9999999962747097
reach,0,1,10,spatial_distance_patches,32,32,7.546563261396215,7.537146927540505,7.555556397617971
reach,0,1,10,temporal_distance_frames,32,32,0.0,0.0,0.0
reach,0,1,10,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,1,10,visual_mass,32,32,0.9999999944120646,0.9999999911524355,0.9999999972060323
reach,0,1,11,spatial_distance_patches,32,32,7.501024450892697,7.491575668686543,7.510870209604841
reach,0,1,11,temporal_distance_frames,32,32,0.0,0.0,0.0
reach,0,1,11,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,1,11,visual_mass,32,32,0.9999999920837581,0.9999999888241291,0.9999999953433871
reach,0,1,12,spatial_distance_patches,32,32,7.78707137968793,7.774006874487312,7.800203583076302
reach,0,1,12,temporal_distance_frames,32,32,0.0,0.0,0.0
reach,0,1,12,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,1,12,visual_mass,32,32,0.9999999948777258,0.9999999925494194,0.9999999972060323
reach,0,1,13,spatial_distance_patches,32,32,7.278390839771106,7.271196858408856,7.285941007510361
reach,0,1,13,temporal_distance_frames,32,32,0.0,0.0,0.0
reach,0,1,13,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,1,13,visual_mass,32,32,0.9999999948777258,0.9999999916180968,0.9999999976716936
reach,0,1,14,spatial_distance_patches,32,32,6.94669398053154,6.936965104715694,6.956579225571048
reach,0,1,14,temporal_distance_frames,32,32,0.0,0.0,0.0
reach,0,1,14,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,1,14,visual_mass,32,32,0.9999999906867743,0.9999999860301614,0.9999999948777258
reach,0,1,15,spatial_distance_patches,32,32,6.902357150497698,6.891141890290541,6.913035707616048
reach,0,1,15,temporal_distance_frames,32,32,0.0,0.0,0.0
reach,0,1,15,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,1,15,visual_mass,32,32,0.9999999972060323,0.9999999948777258,0.9999999990686774
reach,0,2,0,spatial_distance_patches,32,32,8.148930971334249,8.13519253704152,8.162340092063562
reach,0,2,0,temporal_distance_frames,32,32,0.12583162699995565,0.12483268640364711,0.12690734713524013
reach,0,2,0,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,2,0,visual_mass,32,32,0.9999999951105565,0.999999993480742,0.999999996740371
reach,0,2,1,spatial_distance_patches,32,32,7.646963689792685,7.640821576648581,7.653143310452189
reach,0,2,1,temporal_distance_frames,32,32,0.24654894012475143,0.2454838179024478,0.24760856857376531
reach,0,2,1,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,2,1,visual_mass,32,32,0.9999999955762178,0.9999999932479113,0.9999999979045242
reach,0,2,2,spatial_distance_patches,32,32,7.034895985584482,7.025431208361808,7.044300707072308
reach,0,2,2,temporal_distance_frames,32,32,0.16533207300973118,0.16433036447546792,0.16630972120365348
reach,0,2,2,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,2,2,visual_mass,32,32,0.9999999953433871,0.9999999925494194,0.9999999979045242
reach,0,2,3,spatial_distance_patches,32,32,7.859705342974058,7.84759571719782,7.871375061186694
reach,0,2,3,temporal_distance_frames,32,32,0.11174073015173752,0.11097230958775553,0.1124517873246178
reach,0,2,3,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,2,3,visual_mass,32,32,0.999999993480742,0.9999999909196049,0.9999999960418791
reach,0,2,4,spatial_distance_patches,32,32,8.286941754992288,8.276797126858526,8.297332527476787
reach,0,2,4,temporal_distance_frames,32,32,0.056094616550396215,0.05571577713726679,0.05646253108192061
reach,0,2,4,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,2,4,visual_mass,32,32,0.9999999955762178,0.9999999932479113,0.9999999976716936
reach,0,2,5,spatial_distance_patches,32,32,7.380402689525973,7.369455385259654,7.391724414558764
reach,0,2,5,temporal_distance_frames,32,32,0.13175065989404194,0.1306168378675383,0.1328877024005323
reach,0,2,5,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,2,5,visual_mass,32,32,0.9999999965075403,0.9999999944120646,0.9999999986030161
reach,0,2,6,spatial_distance_patches,32,32,7.857709474089231,7.850398303660085,7.865044314704322
reach,0,2,6,temporal_distance_frames,32,32,0.2263336055181824,0.22510536094180697,0.22761019808889468
reach,0,2,6,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,2,6,visual_mass,32,32,0.9999999946448952,0.9999999920837581,0.9999999972060323
reach,0,2,7,spatial_distance_patches,32,32,8.004247393447818,7.987360813267024,8.020687757817013
reach,0,2,7,temporal_distance_frames,32,32,0.2544175790031533,0.25381535949375833,0.25499021577799363
reach,0,2,7,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,2,7,visual_mass,32,32,0.9999999946448952,0.9999999918509275,0.9999999972060323
reach,0,2,8,spatial_distance_patches,32,32,7.247484474635534,7.239081974588118,7.2561021840871875
reach,0,2,8,temporal_distance_frames,32,32,0.06770601422606409,0.06678662679392186,0.06858027470310055
reach,0,2,8,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,2,8,visual_mass,32,32,0.9999999916180968,0.9999999885912985,0.9999999941792339
reach,0,2,9,spatial_distance_patches,32,32,7.020714678919498,7.014581315116868,7.026644206831081
reach,0,2,9,temporal_distance_frames,32,32,0.0475406946679081,0.04658639449836051,0.04851292313038317
reach,0,2,9,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,2,9,visual_mass,32,32,0.9999999953433871,0.9999999932479113,0.9999999974388629
reach,0,2,10,spatial_distance_patches,32,32,7.610137487902768,7.602254647921017,7.61769812650479
reach,0,2,10,temporal_distance_frames,32,32,0.09768445729063563,0.09689709973135067,0.09843039534543069
reach,0,2,10,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,2,10,visual_mass,32,32,0.9999999979045242,0.9999999962747097,0.9999999993015081
reach,0,2,11,spatial_distance_patches,32,32,7.514692178876997,7.506020468416339,7.523617333914285
reach,0,2,11,temporal_distance_frames,32,32,0.2168666096695361,0.21595334165039412,0.2178174799134862
reach,0,2,11,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,2,11,visual_mass,32,32,0.9999999939464033,0.9999999913852662,0.9999999965075403
reach,0,2,12,spatial_distance_patches,32,32,7.848863259945537,7.837853866378801,7.859855755549835
reach,0,2,12,temporal_distance_frames,32,32,0.1285704481062412,0.12742421378462934,0.12973346056553128
reach,0,2,12,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,2,12,visual_mass,32,32,0.9999999944120646,0.9999999920837581,0.9999999965075403
reach,0,2,13,spatial_distance_patches,32,32,7.280423205541966,7.273867883806955,7.287500191452776
reach,0,2,13,temporal_distance_frames,32,32,0.1805628702958235,0.17949112382887114,0.18163362849130088
reach,0,2,13,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,2,13,visual_mass,32,32,0.9999999951105565,0.9999999932479113,0.999999996740371
reach,0,2,14,spatial_distance_patches,32,32,6.872418561738914,6.864634904347927,6.880377694713082
reach,0,2,14,temporal_distance_frames,32,32,0.25450397949673176,0.25370773926071527,0.25528004288849665
reach,0,2,14,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,2,14,visual_mass,32,32,0.9999999948777258,0.9999999918509275,0.9999999976716936
reach,0,2,15,spatial_distance_patches,32,32,6.9457158806064285,6.935109095336099,6.955753499119866
reach,0,2,15,temporal_distance_frames,32,32,0.10700490959796619,0.10627969074281073,0.10772142803870055
reach,0,2,15,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,2,15,visual_mass,32,32,0.999999993480742,0.9999999909196049,0.9999999958090484
reach,0,3,0,spatial_distance_patches,32,32,8.13349587922498,8.124010945761043,8.142918038133049
reach,0,3,0,temporal_distance_frames,32,32,0.12439609921529904,0.1234367892074053,0.12539148686703985
reach,0,3,0,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,3,0,visual_mass,32,32,0.9999999937135726,0.9999999913852662,0.9999999958090484
reach,0,3,1,spatial_distance_patches,32,32,7.664548379902808,7.65628739377203,7.672866320516955
reach,0,3,1,temporal_distance_frames,32,32,0.2449805574972907,0.24431817332029054,0.24562587967961927
reach,0,3,1,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,3,1,visual_mass,32,32,0.9999999932479113,0.9999999913852662,0.9999999951105565
reach,0,3,2,spatial_distance_patches,32,32,7.034880522863805,7.0276492293469,7.042215090767614
reach,0,3,2,temporal_distance_frames,32,32,0.15231350981407274,0.15176787121657628,0.1528640774838442
reach,0,3,2,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,3,2,visual_mass,32,32,0.9999999925494194,0.9999999897554517,0.9999999955762178
reach,0,3,3,spatial_distance_patches,32,32,7.8900044495302675,7.878758421661389,7.901307025511195
reach,0,3,3,temporal_distance_frames,32,32,0.10518642740256168,0.10434115479206438,0.10596350192619976
reach,0,3,3,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,3,3,visual_mass,32,32,0.9999999916180968,0.9999999885912985,0.9999999944120646
reach,0,3,4,spatial_distance_patches,32,32,8.270878484184362,8.26234700556089,8.279666068909181
reach,0,3,4,temporal_distance_frames,32,32,0.057658558568180994,0.057357243670262785,0.05794388078854171
reach,0,3,4,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,3,4,visual_mass,32,32,0.9999999944120646,0.9999999918509275,0.999999996740371
reach,0,3,5,spatial_distance_patches,32,32,7.415482645779533,7.406470806344193,7.424740479427239
reach,0,3,5,temporal_distance_frames,32,32,0.13062850774170887,0.1296097766806803,0.13165743502361404
reach,0,3,5,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,3,5,visual_mass,32,32,0.999999993480742,0.9999999913852662,0.9999999953433871
reach,0,3,6,spatial_distance_patches,32,32,7.866257674039369,7.860538537688708,7.872047589815093
reach,0,3,6,temporal_distance_frames,32,32,0.22404210879258615,0.2229181688963016,0.22524357670700873
reach,0,3,6,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,3,6,visual_mass,32,32,0.9999999925494194,0.9999999890569597,0.9999999955762178
reach,0,3,7,spatial_distance_patches,32,32,8.104859267094813,8.089615036395598,8.120061346654866
reach,0,3,7,temporal_distance_frames,32,32,0.2428391476944528,0.24219764731754237,0.243496488884772
reach,0,3,7,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,3,7,visual_mass,32,32,0.9999999937135726,0.9999999918509275,0.9999999955762178
reach,0,3,8,spatial_distance_patches,32,32,7.229351974253927,7.223904686213865,7.234904636631858
reach,0,3,8,temporal_distance_frames,32,32,0.06502776793498248,0.06440452543646492,0.06561855082392105
reach,0,3,8,conditioning_mass,32,32,0.0,0.0,0.0
reach,0,3,8,visual_mass,32,32,0.9999999941792339,0.9999999916180968,0.999999996740371
reach,0,3,9,spatial_distance_patches,32,32,7.007455897382361,7.000940639843773,7.014027503701321
reach,0,3,9,temporal_distance_frames,32,32,0.04733168883886194,0.0464945683590035,0.04819267574466322
