task,episode,iteration,compact_array_recalculation,proposal_entropy_nats,proposal_std_mean,best_cost,best_runnerup_margin,elite_boundary_margin
reach,0,0,True,170.2726239845607,1.0,1.8605543375015259,0.12440919876098633,0.0012960433959960938
reach,0,1,True,162.9746060970802,0.9671650528907776,1.4528590440750122,0.0910499095916748,0.009011030197143555
reach,0,2,True,154.39472010233013,0.9272307753562927,1.2483776807785034,0.05587315559387207,0.014153003692626953
reach,0,3,True,142.23714372735975,0.8525795340538025,1.0692633390426636,0.028371214866638184,0.02317488193511963
reach,0,4,True,139.75073303790262,0.8707234263420105,0.9140998721122742,0.07429772615432739,0.0001544952392578125
reach,0,5,True,133.1212046475533,0.8393136858940125,0.8661912679672241,0.0016731619834899902,0.004643261432647705
reach,0,6,True,127.57369718910462,0.819505512714386,0.7885997891426086,0.0007851719856262207,0.0020992159843444824
reach,0,7,True,115.5501991972526,0.7693643569946289,0.7577071785926819,0.0009235739707946777,0.002085745334625244
reach,0,8,True,109.12458221522661,0.7579271793365479,0.7176956534385681,0.014196038246154785,0.00035691261291503906
reach,0,9,True,93.24056635035193,0.6745513081550598,0.7224214673042297,0.002401411533355713,0.001425623893737793
reach,0,10,True,73.35428600164428,0.5883939266204834,0.7048069834709167,0.0029184818267822266,0.0005815625190734863
reach,0,11,True,56.84592970928691,0.5393285155296326,0.6986194849014282,0.003853321075439453,0.0015919804573059082
reach,0,12,True,33.52596541200458,0.4585476517677307,0.6905546188354492,0.0011886358261108398,3.4332275390625e-05
reach,0,13,True,17.6198247852086,0.4048704206943512,0.6822246313095093,0.0032575130462646484,0.0005823373794555664
reach,0,14,True,4.8582728531388,0.3695299029350281,0.6748165488243103,0.0050563812255859375,0.00021606683731079102
reach,1,0,True,170.2726239845607,1.0,1.946353554725647,0.039246439933776855,0.0017080307006835938
reach,1,1,True,166.63492930941868,0.9887564182281494,1.6223106384277344,0.07771658897399902,0.00237119197845459
reach,1,2,True,157.74887855673467,0.9469519853591919,1.2256922721862793,0.2018953561782837,0.0001723766326904297
reach,1,3,True,150.05568140475827,0.9092302918434143,1.2017048597335815,0.01712965965270996,0.009004592895507812
reach,1,4,True,141.4795435708063,0.868023157119751,0.9702240228652954,0.00859147310256958,0.0006822347640991211
reach,1,5,True,135.46647742310495,0.8497452139854431,0.8052997589111328,0.005978822708129883,0.001275181770324707
reach,1,6,True,128.02554131003774,0.8012291193008423,0.7255020141601562,0.0038503408432006836,0.0002703070640563965
reach,1,7,True,120.12735943886729,0.7723782658576965,0.6598378419876099,0.0002465248107910156,0.005528688430786133
reach,1,8,True,109.70612505990897,0.7217146754264832,0.6000488996505737,0.008279263973236084,0.000577092170715332
reach,1,9,True,103.09137638243912,0.6771891713142395,0.5496482253074646,0.0030741095542907715,0.002149045467376709
reach,1,10,True,98.30404737557168,0.6546589136123657,0.5121321082115173,0.0034076571464538574,0.001414179801940918
reach,1,11,True,90.53326256450035,0.6278926730155945,0.48132601380348206,0.008225202560424805,7.62939453125e-06
reach,1,12,True,85.42008759461578,0.6172574162483215,0.4763154983520508,0.0024722814559936523,1.6987323760986328e-05
reach,1,13,True,78.00104641924558,0.5992820858955383,0.4526734948158264,0.005867600440979004,0.0005318224430084229
reach,1,14,True,69.55134878538733,0.5583904981613159,0.4499627351760864,0.002377748489379883,0.00015738606452941895
reach,2,0,True,170.2726239845607,1.0,2.046140432357788,0.005929231643676758,0.005892753601074219
reach,2,1,True,163.91049988563606,0.9763193726539612,1.6409010887145996,0.03190279006958008,0.0011571645736694336
reach,2,2,True,154.00501099260435,0.9274225234985352,1.2854758501052856,0.09615588188171387,0.003484964370727539
reach,2,3,True,142.8221615427073,0.8677833676338196,1.218608021736145,0.016854286193847656,0.0041817426681518555
reach,2,4,True,128.2436934071959,0.7811042666435242,0.9905496835708618,0.08078444004058838,0.007262110710144043
reach,2,5,True,116.6793055687531,0.7335240840911865,0.8846404552459717,0.003230869770050049,0.004930078983306885
reach,2,6,True,111.66950842480398,0.7360003590583801,0.7916438579559326,0.009695649147033691,0.003773212432861328
reach,2,7,True,105.65862425133717,0.7015469670295715,0.6438761353492737,0.03767204284667969,0.006549656391143799
reach,2,8,True,102.35681604106934,0.706542432308197,0.602459728717804,0.00407719612121582,0.0035576820373535156
reach,2,9,True,93.81358919683043,0.6630048155784607,0.5507616996765137,0.008470296859741211,0.0024746060371398926
reach,2,10,True,83.84439208308237,0.6177818775177002,0.5154934525489807,0.0023050308227539062,0.0016669631004333496
reach,2,11,True,75.0422469217828,0.58549565076828,0.45599284768104553,0.026335030794143677,0.0009976625442504883
reach,2,12,True,63.84350455519315,0.552979588508606,0.44424349069595337,0.0006778538227081299,3.451108932495117e-05
reach,2,13,True,56.4958847973367,0.5357045531272888,0.4146696925163269,0.010537534952163696,0.0013415813446044922
reach,2,14,True,48.306623373120004,0.516124963760376,0.4134875535964966,0.0013495385646820068,0.0001004338264465332
reach,3,0,True,170.2726239845607,1.0,2.341876268386841,0.08774161338806152,0.00042510032653808594
reach,3,1,True,166.50137235215794,0.9975904822349548,2.035784959793091,0.027877092361450195,0.012153148651123047
reach,3,2,True,157.89726449864895,0.9621654152870178,1.3410429954528809,0.14129114151000977,0.027524232864379883
reach,3,3,True,151.74581256448766,0.9498012065887451,1.2006641626358032,0.010603904724121094,0.0012241601943969727
reach,3,4,True,141.8733805201103,0.8999871611595154,0.8614848852157593,0.021121501922607422,0.010694384574890137
reach,3,5,True,127.61288282391365,0.8275936841964722,0.7604360580444336,0.00011426210403442383,0.005362153053283691
reach,3,6,True,121.59267011197284,0.8051784038543701,0.6959426999092102,0.01118093729019165,0.0010015368461608887
reach,3,7,True,111.10568102420424,0.7481881976127625,0.6335532665252686,0.015482068061828613,0.001248002052307129
reach,3,8,True,102.43384259444761,0.7124517560005188,0.6004837155342102,0.007088899612426758,0.0010802149772644043
reach,3,9,True,92.77289994133656,0.6663354635238647,0.5594190359115601,0.0015781521797180176,9.381771087646484e-05
reach,3,10,True,83.88954927398896,0.6393116116523743,0.5045481324195862,0.018607020378112793,0.0002875328063964844
reach,3,11,True,65.36563833794341,0.5445634722709656,0.5079172849655151,0.0013872385025024414,0.0018596649169921875
reach,3,12,True,46.225666045839034,0.46868985891342163,0.48542320728302,0.005299627780914307,0.0003910064697265625
reach,3,13,True,30.159637942523492,0.43111276626586914,0.47976571321487427,0.0018496215343475342,0.00039765238761901855
reach,3,14,True,17.156975776036077,0.3797655701637268,0.4677754044532776,0.005739748477935791,0.0008225440979003906
reach,4,0,True,170.2726239845607,1.0,1.5713703632354736,0.07408356666564941,0.0011756420135498047
reach,4,1,True,166.22942115853655,0.9961943030357361,1.033963918685913,0.1731811761856079,0.007417201995849609
reach,4,2,True,159.08938928906565,0.9618932008743286,0.930542528629303,0.013236165046691895,0.0015006065368652344
reach,4,3,True,147.89598973740175,0.8963593244552612,0.7668331265449524,0.007713019847869873,0.002034425735473633
reach,4,4,True,138.9298760618485,0.8555085062980652,0.5703732967376709,0.039703965187072754,0.0114554762840271
reach,4,5,True,123.85737185325469,0.7813172936439514,0.496047705411911,0.017230838537216187,0.0023466944694519043
reach,4,6,True,114.66174464333946,0.7338815927505493,0.45645347237586975,0.001679837703704834,0.0022056400775909424
reach,4,7,True,106.26001648380603,0.704501211643219,0.4174953103065491,0.002416253089904785,0.0004519820213317871
reach,4,8,True,101.95689199163097,0.6766745448112488,0.41110923886299133,0.0035101473331451416,0.0012150704860687256
reach,4,9,True,86.11687624249606,0.608142077922821,0.4026494026184082,0.00225067138671875,0.00027629733085632324
reach,4,10,True,70.9543867125073,0.5440689325332642,0.3946768045425415,0.0009967684745788574,0.0004042685031890869
reach,4,11,True,54.64438687114486,0.47582054138183594,0.3893749713897705,0.0010018646717071533,0.0006999075412750244
reach,4,12,True,46.301122519444505,0.4507271349430084,0.3839230239391327,0.0010460913181304932,0.00011345744132995605
reach,4,13,True,31.66395501796417,0.4115108251571655,0.3809714615345001,0.0005132555961608887,4.2825937271118164e-05
reach,4,14,True,12.707103375402113,0.35174429416656494,0.3783380091190338,0.00047132372856140137,0.00011816620826721191
reach,5,0,True,170.2726239845607,1.0,1.983659029006958,0.045953989028930664,0.017545700073242188
reach,5,1,True,167.51646107673335,1.002790093421936,1.5574519634246826,0.03142118453979492,0.026633858680725098
reach,5,2,True,163.31468684762356,0.9917096495628357,1.2751058340072632,0.011502981185913086,0.013704299926757812
reach,5,3,True,156.43001746898847,0.9626297354698181,0.9786337614059448,0.08197164535522461,0.0033074617385864258
reach,5,4,True,142.2855947646787,0.8837983012199402,0.9031057953834534,0.0043621063232421875,0.004284322261810303
reach,5,5,True,132.70679980932346,0.8496327996253967,0.7913740873336792,0.001394033432006836,0.004228413105010986
reach,5,6,True,127.04484011354845,0.8328617811203003,0.7171022891998291,0.0006911754608154297,0.004041731357574463
reach,5,7,True,119.7531894305059,0.8116779923439026,0.6753436923027039,0.006767451763153076,0.0010835528373718262
reach,5,8,True,108.02310410988599,0.7554157972335815,0.6366363167762756,0.004255890846252441,0.004058837890625
reach,5,9,True,102.44665929974988,0.7362980246543884,0.6216854453086853,0.0015519261360168457,0.00044268369674682617
reach,5,10,True,84.26870160189839,0.6557820439338684,0.5946610569953918,0.008591055870056152,0.0017426609992980957
reach,5,11,True,68.72505287097243,0.573611855506897,0.5848222970962524,0.0003394484519958496,0.0020061731338500977
reach,5,12,True,52.19273872230673,0.5032204985618591,0.5621457695960999,0.002222597599029541,4.935264587402344e-05
reach,5,13,True,34.73458183832706,0.4254456162452698,0.5548592805862427,0.0031346678733825684,1.0728836059570312e-05
reach,5,14,True,27.560851408513912,0.3992556631565094,0.5473963618278503,0.0004668235778808594,0.00035381317138671875
reach,6,0,True,170.2726239845607,1.0,1.4310842752456665,0.06014358997344971,0.037203192710876465
reach,6,1,True,164.8629889290501,0.9849047064781189,0.7642579674720764,0.07534337043762207,0.02913224697113037
reach,6,2,True,157.98209789615316,0.9590081572532654,0.3468458652496338,0.09497925639152527,0.0066759586334228516
reach,6,3,True,150.27539709156272,0.9279504418373108,0.35555166006088257,1.2516975402832031e-06,0.0003445744514465332
reach,6,4,True,148.8243054401127,0.9509596228599548,0.3475461006164551,0.00010728836059570312,0.0023037195205688477
reach,6,5,True,130.88186682468768,0.8330049514770508,0.3416960835456848,0.0005777478218078613,0.0008661448955535889
reach,6,6,True,112.96936540072565,0.7247625589370728,0.3333479166030884,0.0061300694942474365,0.002393394708633423
reach,6,7,True,99.63212936810913,0.676813542842865,0.3334456980228424,0.0017198622226715088,0.0020406246185302734
reach,6,8,True,85.65450505967578,0.6291601657867432,0.33291396498680115,0.0008895397186279297,0.0005244910717010498
reach,6,9,True,63.69276840226599,0.5370699167251587,0.321919709444046,0.011261135339736938,1.0013580322265625e-05
reach,6,10,True,38.96883201966432,0.43529441952705383,0.3186976909637451,0.009964287281036377,0.00010722875595092773
