task,iteration,metric,n,n_defined,mean,marginal_95_low,marginal_95_high
reach,0,proposal_entropy_nats,32,32,170.2726239845607,170.2726239845607,170.2726239845607
reach,0,proposal_std_mean,32,32,1.0,1.0,1.0
reach,0,best_cost,32,32,1.9625585321336985,1.8166837612167002,2.1022514985408636
reach,0,best_runnerup_margin,32,32,0.0595712885260582,0.0432189991697669,0.07820963021367787
reach,0,elite_boundary_margin,32,32,0.0062021538615226746,0.003511530254036188,0.009512057434767478
reach,1,proposal_entropy_nats,32,32,164.62424075803096,163.55123830263364,165.61139815535157
reach,1,proposal_std_mean,32,32,0.9819769095629454,0.9733976836316287,0.9898605941794812
reach,1,best_cost,32,32,1.5548771973699331,1.3866630493663252,1.719642464024946
reach,1,best_runnerup_margin,32,32,0.041417235508561134,0.0285568012855947,0.05600724145770072
reach,1,elite_boundary_margin,32,32,0.009876510128378868,0.006325416592881083,0.014090396882966151
reach,2,proposal_entropy_nats,32,32,156.79483851310275,155.41982540584348,158.17093520878194
reach,2,proposal_std_mean,32,32,0.9485570900142193,0.9374403003137559,0.9596243122126907
reach,2,best_cost,32,32,1.205008721910417,1.0494926505954936,1.3603233147645368
reach,2,best_runnerup_margin,32,32,0.04969789832830429,0.03535146187059581,0.06614329318981617
reach,2,elite_boundary_margin,32,32,0.009202897548675537,0.006384223653003574,0.012228043656796214
reach,3,proposal_entropy_nats,32,32,148.72434436680174,146.85088857548809,150.71078185133192
reach,3,proposal_std_mean,32,32,0.9149425346404314,0.9002811533864588,0.9304341324605048
reach,3,best_cost,32,32,0.9754798654466867,0.8358480499591678,1.1165165459038688
reach,3,best_runnerup_margin,32,32,0.04701570328325033,0.03349376441910863,0.06244163960218429
reach,3,elite_boundary_margin,32,32,0.004358562640845776,0.0028513333527371287,0.006181964743882415
reach,4,proposal_entropy_nats,32,32,140.65680260144885,138.72490250324572,142.54531267183344
reach,4,proposal_std_mean,32,32,0.8791137039661407,0.8642599549610168,0.8934815871529281
reach,4,best_cost,32,32,0.8291504345834255,0.7076911049662158,0.9539509987924245
reach,4,best_runnerup_margin,32,32,0.022663777694106102,0.014958221185952424,0.03111648845952003
reach,4,elite_boundary_margin,32,32,0.003866453655064106,0.0027208314510062336,0.005081641091965138
reach,5,proposal_entropy_nats,32,32,131.64219740697763,129.50471681851235,133.74229840965884
reach,5,proposal_std_mean,32,32,0.837555043399334,0.8222005946561695,0.8529395705088972
reach,5,best_cost,32,32,0.7358000380918384,0.6254281229805201,0.8515950786648319
reach,5,best_runnerup_margin,32,32,0.013321386650204659,0.008518242905847729,0.018879519356414663
reach,5,elite_boundary_margin,32,32,0.0018274476751685143,0.0012779542012140155,0.0024127227952703825
reach,6,proposal_entropy_nats,32,32,122.66374273856684,120.0909863275583,125.1889123732944
reach,6,proposal_std_mean,32,32,0.7941767815500498,0.7781583943404258,0.810414937324822
reach,6,best_cost,32,32,0.6748618260025978,0.5747784892795608,0.7819527932908386
reach,6,best_runnerup_margin,32,32,0.008459474891424179,0.005651193857192993,0.01163838319480419
reach,6,elite_boundary_margin,32,32,0.002034408040344715,0.0012955003650858999,0.0029166675405576823
reach,7,proposal_entropy_nats,32,32,112.90251431110406,109.94201905531304,115.7275929197184
reach,7,proposal_std_mean,32,32,0.7509130258113146,0.7331590103916824,0.7685064135119318
reach,7,best_cost,32,32,0.6216853726655245,0.5351047990145161,0.7151331144152209
reach,7,best_runnerup_margin,32,32,0.009482589550316334,0.004978323169052601,0.015831775870174168
reach,7,elite_boundary_margin,32,32,0.0018379231914877892,0.0013242737855762242,0.002409306378103792
reach,8,proposal_entropy_nats,32,32,102.02509908546557,98.51944648435,105.36281993689568
reach,8,proposal_std_mean,32,32,0.7018529325723648,0.6815114405937492,0.7219814746174961
reach,8,best_cost,32,32,0.5890550892800093,0.5097584871808067,0.6753763332264497
reach,8,best_runnerup_margin,32,32,0.006699009798467159,0.003768294514156878,0.010612392425537109
reach,8,elite_boundary_margin,32,32,0.0011627394706010818,0.0007810205454006792,0.0016163491411134599
reach,9,proposal_entropy_nats,32,32,90.09548636700164,85.4006945619989,94.4099321222363
reach,9,proposal_std_mean,32,32,0.6503226459026337,0.625423799129203,0.6738021213561296
reach,9,best_cost,32,32,0.5672590890899301,0.4913036852842197,0.6508847100427374
reach,9,best_runnerup_margin,32,32,0.004925158806145191,0.003224768256768584,0.0069813317386433465
reach,9,elite_boundary_margin,32,32,0.0009402995929121971,0.0006194606889039278,0.0013083618367090819
reach,10,proposal_entropy_nats,32,32,77.57631787906251,71.91727095615492,82.71842650937685
reach,10,proposal_std_mean,32,32,0.597662246786058,0.5711342531256378,0.62203763180878
reach,10,best_cost,32,32,0.547167094424367,0.4759378999937326,0.6256698499899357
reach,10,best_runnerup_margin,32,32,0.0062399571761488914,0.003916962468065321,0.008948257658630608
reach,10,elite_boundary_margin,32,32,0.0008016619831323624,0.000507477461360395,0.001147836400195956
reach,11,proposal_entropy_nats,32,32,64.65917825481344,58.42883010325074,70.43359984886922
reach,11,proposal_std_mean,32,32,0.5479913093149662,0.5210445399628952,0.5735240117646754
reach,11,best_cost,32,32,0.5342275723814964,0.46449950432870535,0.6114577671745791
reach,11,best_runnerup_margin,32,32,0.00480321329087019,0.003146697138436139,0.006826273212209343
reach,11,elite_boundary_margin,32,32,0.0007247850298881531,0.0005211478564888239,0.0009413980413228272
reach,12,proposal_entropy_nats,32,32,52.11454621021804,45.042340592470495,58.83321816392819
reach,12,proposal_std_mean,32,32,0.504431770183146,0.4763821695232764,0.5318832193501294
reach,12,best_cost,32,32,0.5229278141632676,0.45577037720941005,0.5977241893764585
reach,12,best_runnerup_margin,32,32,0.003083139657974243,0.001956321788020432,0.004420945770107208
reach,12,elite_boundary_margin,32,32,0.0005806311964988708,0.00034499475732445716,0.0008590090088546271
