task,episode,arm,common_field_energy_fraction,centered_field_energy_fraction,common_centered_cost_reconstruction,centered_centered_cost_reconstruction,additive_components_cost_reconstruction,cached_full_score_exact,zero_score_exact,forecast_parity_execution_attested,no_component_renormalization
reach,0,fixed_rank4,0.9951623331438958,0.00483771305888016,0.9729826842718071,0.06792507495045075,0.9999968421825974,True,True,True,True
reach,0,matched_random_fixed_rank4,0.9977546075328534,0.002245441744009166,0.9619944573659414,-0.05845844735795125,0.9999963063513245,True,True,True,True
reach,1,fixed_rank4,0.9954778008957424,0.004522250900581474,0.9880243339358616,-0.06543735997978062,0.9999980107737948,True,True,True,True
reach,1,matched_random_fixed_rank4,0.997798504372652,0.002201543941241493,0.990069360817871,0.021807794245699563,0.9999970520625955,True,True,True,True
reach,2,fixed_rank4,0.9953787507996117,0.004621289962622492,0.992093347587668,0.023957462606780888,0.9999978042330344,True,True,True,True
reach,2,matched_random_fixed_rank4,0.9980382532705462,0.0019617945046766774,0.9934039714102634,0.013288732522228175,0.9999992380560317,True,True,True,True
reach,3,fixed_rank4,0.9945155564149064,0.005484497973181018,0.9915482781487698,0.009265580815500885,0.9999973276368387,True,True,True,True
reach,3,matched_random_fixed_rank4,0.9973805072272941,0.0026195414213726277,0.9792017050802827,0.04831569068919894,0.9999938617865747,True,True,True,True
reach,4,fixed_rank4,0.9956640639247762,0.004335979941746416,0.9787846916811411,0.026665079518124135,0.9999968696221232,True,True,True,True
reach,4,matched_random_fixed_rank4,0.9982986073604406,0.0017014416148428723,0.9781766233038771,0.02102738536910509,0.9999989536776651,True,True,True,True
reach,5,fixed_rank4,0.9956438256724963,0.004356220498104919,0.9869541245075274,0.009027345503000661,0.99999791631965,True,True,True,True
reach,5,matched_random_fixed_rank4,0.9973038380879993,0.002696209243726286,0.9780196452932336,0.0034555497829894533,0.9999982134105514,True,True,True,True
reach,6,fixed_rank4,0.9961150386774317,0.003885007019522977,0.9787346501031122,0.0727541718596093,0.9999986243581607,True,True,True,True
reach,6,matched_random_fixed_rank4,0.9974124767057624,0.0025875713545911575,0.9510487798079996,-0.04287606174316316,0.9999988476517636,True,True,True,True
reach,7,fixed_rank4,0.9961395325814043,0.003860520413029191,0.9968205808865731,-0.008674660417536062,0.9999983177128896,True,True,True,True
reach,7,matched_random_fixed_rank4,0.9981627198601132,0.0018373293990535389,0.9946908002861067,0.01753782069098997,0.9999983543198874,True,True,True,True
reach,8,fixed_rank4,0.9963064039321352,0.0036936455373303735,0.9867329068016276,0.05257206237654388,0.999998313402373,True,True,True,True
reach,8,matched_random_fixed_rank4,0.9976846265524612,0.0023154223164348936,0.980775163613382,0.00476324534498318,0.9999983810171112,True,True,True,True
reach,9,fixed_rank4,0.9957332365247236,0.004266814256556623,0.987870749128295,-0.039598188524290645,0.9999952669234415,True,True,True,True
reach,9,matched_random_fixed_rank4,0.9976964545443827,0.0023035938939270978,0.9844322706651314,-0.0076208677254423485,0.9999963080046618,True,True,True,True
reach,10,fixed_rank4,0.9946266631017895,0.0053733878639619865,0.9659025186753311,0.15593367907045608,0.9999978783257292,True,True,True,True
reach,10,matched_random_fixed_rank4,0.997609224180569,0.002390823608263172,0.982144851180717,0.02894512342519384,0.9999990763754898,True,True,True,True
reach,11,fixed_rank4,0.9931532550189276,0.0068467896910618786,0.9866693622359689,-0.08678308758650899,0.9999977098340807,True,True,True,True
reach,11,matched_random_fixed_rank4,0.9978429671435057,0.0021570810473566593,0.9948322621504017,-0.0024849065631544764,0.9999970911771419,True,True,True,True
reach,12,fixed_rank4,0.996402206540508,0.0035978374806456877,0.9912582107233566,-0.06849607835002969,0.9999975945264805,True,True,True,True
reach,12,matched_random_fixed_rank4,0.9979840905009816,0.0020159581206211324,0.9904633714814481,-0.01987797678840586,0.999994734898743,True,True,True,True
reach,13,fixed_rank4,0.9949899210338287,0.00501012389950429,0.9834647109390157,0.021239791831705768,0.9999971279497885,True,True,True,True
reach,13,matched_random_fixed_rank4,0.9973190743679871,0.002680973380791211,0.9778684256452292,0.008121483020612441,0.9999977937196433,True,True,True,True
reach,14,fixed_rank4,0.9916430447595665,0.008356999584103896,0.9855390741412691,-0.028642415877369265,0.9999945155109908,True,True,True,True
reach,14,matched_random_fixed_rank4,0.9977233012138474,0.002276747549920995,0.9938012900539873,0.01834491703410346,0.9999964684932573,True,True,True,True
reach,15,fixed_rank4,0.9956470755001419,0.00435297512548532,0.980342283890973,0.025435388359224764,0.9999976135350959,True,True,True,True
reach,15,matched_random_fixed_rank4,0.997711280668081,0.002288766595932474,0.9676099179460705,0.02948266182314585,0.9999982550679243,True,True,True,True
reach,16,fixed_rank4,0.9969734010639781,0.0030266428723428967,0.9713017469799913,0.13609780430235185,0.9999977701559292,True,True,True,True
reach,16,matched_random_fixed_rank4,0.9981317896748273,0.0018682583513999118,0.9787135659759327,0.03128444957652976,0.9999986725178798,True,True,True,True
reach,17,fixed_rank4,0.9944252433692126,0.005574803601695044,0.9939693593400034,0.009906507062275138,0.9999977916579688,True,True,True,True
reach,17,matched_random_fixed_rank4,0.9968145878970217,0.003185460256198119,0.9852342244754553,-0.010176632691285992,0.9999969597395746,True,True,True,True
reach,18,fixed_rank4,0.9969240492528983,0.0030760035280760624,0.9871333656760091,0.003044552168285364,0.9999989884166173,True,True,True,True
reach,18,matched_random_fixed_rank4,0.9981844874774392,0.001815561357506848,0.9949187592345893,-0.013948779323009974,0.9999985802664464,True,True,True,True
reach,19,fixed_rank4,0.9934148414911179,0.006585194749140654,0.9896821045931277,-0.06538203948182697,0.9999969391236456,True,True,True,True
reach,19,matched_random_fixed_rank4,0.9976178039216447,0.0023822451857313113,0.9943936750521972,0.00023891586291702183,0.9999978632224866,True,True,True,True
reach,20,fixed_rank4,0.9928081416732102,0.0071919038965273085,0.9863006590343351,0.004526007228593865,0.9999965715630134,True,True,True,True
reach,20,matched_random_fixed_rank4,0.9979458403682149,0.002054207351950662,0.987535889044133,0.03676936349857918,0.9999979949184934,True,True,True,True
reach,21,fixed_rank4,0.9957232094426499,0.0042768476542219755,0.9553261253930148,0.042201555839894156,0.999996265636105,True,True,True,True
reach,21,matched_random_fixed_rank4,0.9975352468687971,0.0024648015265606848,0.9665429113594816,-0.013236251540259314,0.9999976777743338,True,True,True,True
reach,22,fixed_rank4,0.9959840461067703,0.004015997269616806,0.9931417948395204,-0.052603813555608836,0.999996770196026,True,True,True,True
reach,22,matched_random_fixed_rank4,0.9974323191728132,0.002567728515102154,0.9901215540323863,-0.03935958892520519,0.9999962714158754,True,True,True,True
