task,arm,metric,n,n_defined,mean,marginal_95_low,marginal_95_high
reach,fixed_rank4,common_field_energy_fraction,32,32,0.9952929770810615,0.9948772605104333,0.9956639743406639
reach,fixed_rank4,centered_field_energy_fraction,32,32,0.004707070439426133,0.0043360744697067514,0.005122785359090426
reach,fixed_rank4,common_centered_cost_reconstruction,32,32,0.9826636839203964,0.9792726772716511,0.9857822058142681
reach,fixed_rank4,centered_centered_cost_reconstruction,32,32,0.02181906488408713,0.0025542771388377145,0.04167843328607341
reach,fixed_rank4,additive_components_cost_reconstruction,32,32,0.999997326201457,0.9999969685966897,0.9999976528343371
reach,matched_random_fixed_rank4,common_field_energy_fraction,32,32,0.9977087207504423,0.9975943100209858,0.9978219002870903
reach,matched_random_fixed_rank4,centered_field_energy_fraction,32,32,0.0022913275507760165,0.0021781482877419227,0.0024057381963381048
reach,matched_random_fixed_rank4,common_centered_cost_reconstruction,32,32,0.9794556704818478,0.9749557754045269,0.9836533274558016
reach,matched_random_fixed_rank4,centered_centered_cost_reconstruction,32,32,0.0015545173878121973,-0.009228885745605781,0.012142595134936134
reach,matched_random_fixed_rank4,additive_components_cost_reconstruction,32,32,0.9999976807669543,0.9999972476651298,0.9999980721754135
reach-wall,fixed_rank4,common_field_energy_fraction,32,32,0.9978067185374229,0.9977151349078902,0.9978938673143305
reach-wall,fixed_rank4,centered_field_energy_fraction,32,32,0.00219333031209244,0.0021061819486469027,0.002284913298898886
reach-wall,fixed_rank4,common_centered_cost_reconstruction,32,32,0.9975357634008893,0.9970928348704913,0.9979611644809836
reach-wall,fixed_rank4,centered_centered_cost_reconstruction,32,32,0.01349028206868801,0.0051958255267534,0.02079135822199585
reach-wall,fixed_rank4,additive_components_cost_reconstruction,32,32,0.9999990450853603,0.9999989595379989,0.9999991268674853
reach-wall,matched_random_fixed_rank4,common_field_energy_fraction,32,32,0.9941559332402077,0.9938520391296076,0.9944469789929166
reach-wall,matched_random_fixed_rank4,centered_field_energy_fraction,32,32,0.005844114974385398,0.005553069249893337,0.0061480090484205335
reach-wall,matched_random_fixed_rank4,common_centered_cost_reconstruction,32,32,0.9854340140885335,0.9821349079604756,0.9884618011092245
reach-wall,matched_random_fixed_rank4,centered_centered_cost_reconstruction,32,32,0.00809725941235789,-0.0024841720980451542,0.018540516294785342
reach-wall,matched_random_fixed_rank4,additive_components_cost_reconstruction,32,32,0.9999974868580965,0.9999972076911299,0.9999977556823927
