task,metric,n,n_defined,mean,marginal_95_low,marginal_95_high
reach,common_field_energy_fraction,32,32,-0.002415743669380691,-0.002828040618844715,-0.0020541435903797768
reach,centered_field_energy_fraction,32,32,0.002415742888650117,0.002054143192680361,0.0028280395997398095
reach,common_centered_cost_reconstruction,32,32,0.003208013438548634,-6.347460360000113e-05,0.00670246336991835
reach,centered_centered_cost_reconstruction,32,32,0.02026454749627493,-0.0013357615903340384,0.04244753630562389
reach,additive_components_cost_reconstruction,32,32,-3.5456549719523056e-07,-7.590482980911369e-07,8.771232185037974e-08
reach-wall,common_field_energy_fraction,32,32,0.003650785297215131,0.0034126414634198837,0.003895283496546897
reach-wall,centered_field_energy_fraction,32,32,-0.003650784662292958,-0.0038952825976754663,-0.003412641776324369
reach-wall,common_centered_cost_reconstruction,32,32,0.012101749312355855,0.009460577821084622,0.014977763648190132
reach-wall,centered_centered_cost_reconstruction,32,32,0.0053930226563301195,-0.0017779362276804476,0.01258902914401981
reach-wall,additive_components_cost_reconstruction,32,32,1.5582272637620909e-06,1.3393002311555027e-06,1.786838355547285e-06
