task,episode,arm,component,score_change_mean,score_change_rms,centered_score_change_rms,native_elite_overlap_count,best_runnerup_margin,elite_boundary_margin
reach,0,fixed_rank4,full,0.0006652398904164632,0.0007344402440182724,0.00031122075803569326,10,0.12426674365997314,0.002160787582397461
reach,0,fixed_rank4,cached_full,0.0006652398904164632,0.0007344402440182724,0.00031122075803569326,10,0.12426674365997314,0.002160787582397461
reach,0,fixed_rank4,zero,0.0,0.0,0.0,10,0.12440919876098633,0.0012960433959960938
reach,0,fixed_rank4,mean_only,0.0006612861156463624,0.0007263161149689116,0.0003003926965105499,10,0.12419331073760986,0.0022771358489990234
reach,0,fixed_rank4,centered_only,3.999471664428711e-06,5.125266076270481e-05,5.109637425162702e-05,10,0.12448441982269287,0.0011801719665527344
reach,0,matched_random_fixed_rank4,full,0.0003023695945739746,0.00035781456484922477,0.00019132143396757796,10,0.1244344711303711,0.0014998912811279297
reach,0,matched_random_fixed_rank4,cached_full,0.0003023695945739746,0.00035781456484922477,0.00019132143396757796,10,0.1244344711303711,0.0014998912811279297
reach,0,matched_random_fixed_rank4,zero,0.0,0.0,0.0,10,0.12440919876098633,0.0012960433959960938
reach,0,matched_random_fixed_rank4,mean_only,0.00030742685000101724,0.00036503811879466886,0.00019682875824330866,10,0.12438881397247314,0.0015444755554199219
reach,0,matched_random_fixed_rank4,centered_only,-5.045731862386068e-06,3.7584490383583476e-05,3.7244254689368944e-05,10,0.12445497512817383,0.0012516975402832031
reach,1,fixed_rank4,full,-0.000378644863764445,0.0004779991809225562,0.00029173838298626303,10,0.039716362953186035,0.001850128173828125
reach,1,fixed_rank4,cached_full,-0.000378644863764445,0.0004779991809225562,0.00029173838298626303,10,0.039716362953186035,0.001850128173828125
reach,1,fixed_rank4,zero,0.0,0.0,0.0,10,0.039246439933776855,0.0017080307006835938
reach,1,fixed_rank4,mean_only,-0.00038152654965718585,0.0004860169433254323,0.00030108131975610736,10,0.0397031307220459,0.00183868408203125
