task,arm,component,metric,n,n_defined,mean,marginal_95_low,marginal_95_high
reach,fixed_rank4,cached_full,score_change_mean,32,32,0.00032698809479673704,0.0001800896485025684,0.00046952390794952693
reach,fixed_rank4,cached_full,score_change_rms,32,32,0.0005987755015351116,0.0005315832030758275,0.0006699285008258939
reach,fixed_rank4,cached_full,centered_score_change_rms,32,32,0.0003372007313220052,0.00031969094484367755,0.0003551045300473888
reach,fixed_rank4,cached_full,native_elite_overlap_count,32,32,9.90625,9.78125,10.0
reach,fixed_rank4,cached_full,best_runnerup_margin,32,32,0.05952436476945877,0.0432026831433177,0.07817089417949319
reach,fixed_rank4,cached_full,elite_boundary_margin,32,32,0.00615851953625679,0.0034917134791612623,0.009431859292089935
reach,fixed_rank4,centered_only,score_change_mean,32,32,2.982070048650106e-06,1.8554615477720894e-06,4.096629408498604e-06
reach,fixed_rank4,centered_only,score_change_rms,32,32,4.2441020700038427e-05,3.856589560684543e-05,4.638925855456833e-05
reach,fixed_rank4,centered_only,centered_score_change_rms,32,32,4.220157730113082e-05,3.831137332550375e-05,4.6167366898424186e-05
reach,fixed_rank4,centered_only,native_elite_overlap_count,32,32,10.0,10.0,10.0
reach,fixed_rank4,centered_only,best_runnerup_margin,32,32,0.059561317786574364,0.04320419146679342,0.07821406433358787
reach,fixed_rank4,centered_only,elite_boundary_margin,32,32,0.006186883896589279,0.0034970576874911786,0.00949667142704129
reach,fixed_rank4,full,score_change_mean,32,32,0.00032698809479673704,0.0001800896485025684,0.00046952390794952693
reach,fixed_rank4,full,score_change_rms,32,32,0.0005987755015351116,0.0005315832030758275,0.0006699285008258939
reach,fixed_rank4,full,centered_score_change_rms,32,32,0.0003372007313220052,0.00031969094484367755,0.0003551045300473888
reach,fixed_rank4,full,native_elite_overlap_count,32,32,9.90625,9.78125,10.0
reach,fixed_rank4,full,best_runnerup_margin,32,32,0.05952436476945877,0.0432026831433177,0.07817089417949319
reach,fixed_rank4,full,elite_boundary_margin,32,32,0.00615851953625679,0.0034917134791612623,0.009431859292089935
reach,fixed_rank4,mean_only,score_change_mean,32,32,0.00032402293756604193,0.0001769452610363563,0.0004672988785120348
reach,fixed_rank4,mean_only,score_change_rms,32,32,0.0005971062371715728,0.0005307050256012761,0.0006674707258460244
reach,fixed_rank4,mean_only,centered_score_change_rms,32,32,0.000333584876136096,0.00031554917941571263,0.0003522762267941729
reach,fixed_rank4,mean_only,native_elite_overlap_count,32,32,9.90625,9.78125,10.0
reach,fixed_rank4,mean_only,best_runnerup_margin,32,32,0.059534404426813126,0.04319831812754273,0.07818378740921614
reach,fixed_rank4,mean_only,elite_boundary_margin,32,32,0.006172064691781998,0.0035061596892774103,0.009446439333260056
reach,fixed_rank4,zero,score_change_mean,32,32,0.0,0.0,0.0
reach,fixed_rank4,zero,score_change_rms,32,32,0.0,0.0,0.0
reach,fixed_rank4,zero,centered_score_change_rms,32,32,0.0,0.0,0.0
reach,fixed_rank4,zero,native_elite_overlap_count,32,32,10.0,10.0,10.0
reach,fixed_rank4,zero,best_runnerup_margin,32,32,0.0595712885260582,0.0432189991697669,0.07820963021367787
reach,fixed_rank4,zero,elite_boundary_margin,32,32,0.0062021538615226746,0.003511530254036188,0.009512057434767478
reach,matched_random_fixed_rank4,cached_full,score_change_mean,32,32,0.00034656080106894175,0.000276063463340203,0.000417748747083048
reach,matched_random_fixed_rank4,cached_full,score_change_rms,32,32,0.0004766079356311727,0.0004191188556706346,0.0005358732382341572
reach,matched_random_fixed_rank4,cached_full,centered_score_change_rms,32,32,0.00029957935066649087,0.0002787772216949641,0.00032075436541771076
reach,matched_random_fixed_rank4,cached_full,native_elite_overlap_count,32,32,9.875,9.75,9.96875
reach,matched_random_fixed_rank4,cached_full,best_runnerup_margin,32,32,0.059421148151159286,0.04300947738811374,0.0781086441129446
reach,matched_random_fixed_rank4,cached_full,elite_boundary_margin,32,32,0.00613577663898468,0.0034384938888251783,0.009443609043955789
reach,matched_random_fixed_rank4,centered_only,score_change_mean,32,32,7.750280201435089e-07,-8.686017245054245e-07,2.4173225586612994e-06
reach,matched_random_fixed_rank4,centered_only,score_change_rms,32,32,4.1037216345092415e-05,3.591641396475049e-05,4.6580425869442756e-05
reach,matched_random_fixed_rank4,centered_only,centered_score_change_rms,32,32,4.0665020164642936e-05,3.546044471678387e-05,4.6263069333574486e-05
reach,matched_random_fixed_rank4,centered_only,native_elite_overlap_count,32,32,10.0,10.0,10.0
reach,matched_random_fixed_rank4,centered_only,best_runnerup_margin,32,32,0.05956490896642208,0.04320545708760619,0.07820095503702759
reach,matched_random_fixed_rank4,centered_only,elite_boundary_margin,32,32,0.006206110119819641,0.0035081017762422563,0.009525288268923756
reach,matched_random_fixed_rank4,full,score_change_mean,32,32,0.00034656080106894175,0.000276063463340203,0.000417748747083048
reach,matched_random_fixed_rank4,full,score_change_rms,32,32,0.0004766079356311727,0.0004191188556706346,0.0005358732382341572
reach,matched_random_fixed_rank4,full,centered_score_change_rms,32,32,0.00029957935066649087,0.0002787772216949641,0.00032075436541771076
reach,matched_random_fixed_rank4,full,native_elite_overlap_count,32,32,9.875,9.75,9.96875
reach,matched_random_fixed_rank4,full,best_runnerup_margin,32,32,0.059421148151159286,0.04300947738811374,0.0781086441129446
reach,matched_random_fixed_rank4,full,elite_boundary_margin,32,32,0.00613577663898468,0.0034384938888251783,0.009443609043955789
reach,matched_random_fixed_rank4,mean_only,score_change_mean,32,32,0.00034580939759810763,0.00027398447537173824,0.000418090537811319
reach,matched_random_fixed_rank4,mean_only,score_change_rms,32,32,0.0004768590537584824,0.00041896991628958635,0.0005367598053499138
reach,matched_random_fixed_rank4,mean_only,centered_score_change_rms,32,32,0.0002992133062900551,0.00027855851071906376,0.0003203803643150221
reach,matched_random_fixed_rank4,mean_only,native_elite_overlap_count,32,32,9.875,9.75,9.96875
reach,matched_random_fixed_rank4,mean_only,best_runnerup_margin,32,32,0.05942784436047077,0.04302797480486333,0.07811329755932091
reach,matched_random_fixed_rank4,mean_only,elite_boundary_margin,32,32,0.0061305128037929535,0.0034405359998345374,0.009433071594685314
reach,matched_random_fixed_rank4,zero,score_change_mean,32,32,0.0,0.0,0.0
reach,matched_random_fixed_rank4,zero,score_change_rms,32,32,0.0,0.0,0.0
reach,matched_random_fixed_rank4,zero,centered_score_change_rms,32,32,0.0,0.0,0.0
reach,matched_random_fixed_rank4,zero,native_elite_overlap_count,32,32,10.0,10.0,10.0
reach,matched_random_fixed_rank4,zero,best_runnerup_margin,32,32,0.0595712885260582,0.0432189991697669,0.07820963021367787
reach,matched_random_fixed_rank4,zero,elite_boundary_margin,32,32,0.0062021538615226746,0.003511530254036188,0.009512057434767478
reach-wall,fixed_rank4,cached_full,score_change_mean,32,32,0.0004834677403171857,0.00036773779056966304,0.0005999788974101344
reach-wall,fixed_rank4,cached_full,score_change_rms,32,32,0.0006540205336015366,0.0005795475501984309,0.0007332862791833874
reach-wall,fixed_rank4,cached_full,centered_score_change_rms,32,32,0.00035977073195028004,0.00034525050891522725,0.0003736843357722822
reach-wall,fixed_rank4,cached_full,native_elite_overlap_count,32,32,9.96875,9.90625,10.0
reach-wall,fixed_rank4,cached_full,best_runnerup_margin,32,32,0.06545371934771538,0.043218071945011614,0.09422436039894819
reach-wall,fixed_rank4,cached_full,elite_boundary_margin,32,32,0.00491589680314064,0.0032352142967283725,0.00687799099832773
reach-wall,fixed_rank4,centered_only,score_change_mean,32,32,7.497767607371013e-07,1.2502074241638182e-07,1.3364739716053007e-06
reach-wall,fixed_rank4,centered_only,score_change_rms,32,32,1.6919115218054575e-05,1.5768506623448538e-05,1.8049331951447585e-05
reach-wall,fixed_rank4,centered_only,centered_score_change_rms,32,32,1.6794090989268534e-05,1.5610255224700808e-05,1.794465114003364e-05
reach-wall,fixed_rank4,centered_only,native_elite_overlap_count,32,32,10.0,10.0,10.0
reach-wall,fixed_rank4,centered_only,best_runnerup_margin,32,32,0.06543168053030968,0.043070174660533665,0.09432627465575931
reach-wall,fixed_rank4,centered_only,elite_boundary_margin,32,32,0.004845656454563141,0.0031630709767341615,0.00680325925350189
reach-wall,fixed_rank4,full,score_change_mean,32,32,0.0004834677403171857,0.00036773779056966304,0.0005999788974101344
reach-wall,fixed_rank4,full,score_change_rms,32,32,0.0006540205336015366,0.0005795475501984309,0.0007332862791833874
reach-wall,fixed_rank4,full,centered_score_change_rms,32,32,0.00035977073195028004,0.00034525050891522725,0.0003736843357722822
reach-wall,fixed_rank4,full,native_elite_overlap_count,32,32,9.96875,9.90625,10.0
reach-wall,fixed_rank4,full,best_runnerup_margin,32,32,0.06545371934771538,0.043218071945011614,0.09422436039894819
reach-wall,fixed_rank4,full,elite_boundary_margin,32,32,0.00491589680314064,0.0032352142967283725,0.00687799099832773
reach-wall,fixed_rank4,mean_only,score_change_mean,32,32,0.00048272111763556793,0.0003666234419991573,0.0005997382976735631
reach-wall,fixed_rank4,mean_only,score_change_rms,32,32,0.0006515859434803462,0.000576184202663462,0.0007318103746826062
reach-wall,fixed_rank4,mean_only,centered_score_change_rms,32,32,0.00035702684623790395,0.000343423670035412,0.00037017479052339465
reach-wall,fixed_rank4,mean_only,native_elite_overlap_count,32,32,9.96875,9.90625,10.0
reach-wall,fixed_rank4,mean_only,best_runnerup_margin,32,32,0.06544457748532295,0.043206436280161145,0.09422207241877913
reach-wall,fixed_rank4,mean_only,elite_boundary_margin,32,32,0.00491759181022644,0.0032385509461164475,0.00687603615224361
reach-wall,fixed_rank4,zero,score_change_mean,32,32,0.0,0.0,0.0
reach-wall,fixed_rank4,zero,score_change_rms,32,32,0.0,0.0,0.0
reach-wall,fixed_rank4,zero,centered_score_change_rms,32,32,0.0,0.0,0.0
reach-wall,fixed_rank4,zero,native_elite_overlap_count,32,32,10.0,10.0,10.0
reach-wall,fixed_rank4,zero,best_runnerup_margin,32,32,0.06542275846004486,0.043063818383961915,0.09431327385827898
reach-wall,fixed_rank4,zero,elite_boundary_margin,32,32,0.0048454031348228455,0.003161961957812309,0.006801837868988512
reach-wall,matched_random_fixed_rank4,cached_full,score_change_mean,32,32,0.0005059041579564413,0.00043027903294811645,0.0005800896196936567
reach-wall,matched_random_fixed_rank4,cached_full,score_change_rms,32,32,0.0006533194417122036,0.0006000151237850883,0.0007071182888255637
reach-wall,matched_random_fixed_rank4,cached_full,centered_score_change_rms,32,32,0.00038211928382759727,0.00036672119710769895,0.0003975766193084127
reach-wall,matched_random_fixed_rank4,cached_full,native_elite_overlap_count,32,32,9.9375,9.84375,10.0
reach-wall,matched_random_fixed_rank4,cached_full,best_runnerup_margin,32,32,0.06543539837002754,0.043121321871876714,0.09421795513480898
reach-wall,matched_random_fixed_rank4,cached_full,elite_boundary_margin,32,32,0.004930056631565094,0.003265634831041098,0.006855895463377234
reach-wall,matched_random_fixed_rank4,centered_only,score_change_mean,32,32,2.5998552640279138e-06,1.2480119864145915e-06,3.9524482563138e-06
reach-wall,matched_random_fixed_rank4,centered_only,score_change_rms,32,32,4.294002942847066e-05,3.895325189154836e-05,4.7025634724962346e-05
reach-wall,matched_random_fixed_rank4,centered_only,centered_score_change_rms,32,32,4.2609400664110476e-05,3.852300953262916e-05,4.6780755745760544e-05
reach-wall,matched_random_fixed_rank4,centered_only,native_elite_overlap_count,32,32,10.0,10.0,10.0
reach-wall,matched_random_fixed_rank4,centered_only,best_runnerup_margin,32,32,0.06545749679207802,0.043086144234985115,0.0943651053123176
reach-wall,matched_random_fixed_rank4,centered_only,elite_boundary_margin,32,32,0.004857257008552551,0.003175479918718338,0.006813571229577065
reach-wall,matched_random_fixed_rank4,full,score_change_mean,32,32,0.0005059041579564413,0.00043027903294811645,0.0005800896196936567
reach-wall,matched_random_fixed_rank4,full,score_change_rms,32,32,0.0006533194417122036,0.0006000151237850883,0.0007071182888255637
reach-wall,matched_random_fixed_rank4,full,centered_score_change_rms,32,32,0.00038211928382759727,0.00036672119710769895,0.0003975766193084127
reach-wall,matched_random_fixed_rank4,full,native_elite_overlap_count,32,32,9.9375,9.84375,10.0
reach-wall,matched_random_fixed_rank4,full,best_runnerup_margin,32,32,0.06543539837002754,0.043121321871876714,0.09421795513480898
reach-wall,matched_random_fixed_rank4,full,elite_boundary_margin,32,32,0.004930056631565094,0.003265634831041098,0.006855895463377234
reach-wall,matched_random_fixed_rank4,mean_only,score_change_mean,32,32,0.0005032669256130855,0.0004267410521085063,0.0005782631328329443
reach-wall,matched_random_fixed_rank4,mean_only,score_change_rms,32,32,0.0006505657630677733,0.0005970898238451322,0.000704907626127815
