task,episode,model_arm,plan_arm,actual_endpoint_mse_visual,actual_endpoint_mse_proprio,actual_endpoint_mse_weighted,predicted_goal_cost_visual,predicted_goal_cost_proprio,predicted_goal_cost_weighted,actual_goal_cost_visual,actual_goal_cost_proprio,actual_goal_cost_weighted,predicted_minus_actual_goal_cost_visual,predicted_minus_actual_goal_cost_proprio,predicted_minus_actual_goal_cost_weighted
reach,4,native,native,0.8977417945861816,0.040685370564460754,0.9018103316426277,1.4326884746551514,0.03133596107363701,1.4358220707625151,1.8778507709503174,0.13798564672470093,1.8916493356227875,-0.445162296295166,-0.10664968565106392,-0.45582726486027236
reach,4,native,fixed_rank4,0.9104105830192566,0.04212673753499985,0.9146232567727566,1.4416850805282593,0.030545618385076523,1.4447396423667669,1.9337471723556519,0.14025229215621948,1.9477724015712738,-0.4920620918273926,-0.10970667377114296,-0.503032759204507
reach,4,native,matched_random_fixed_rank4,0.6406450271606445,0.033501021564006805,0.6439951293170452,1.6210235357284546,0.053773388266563416,1.6264008745551108,2.019784450531006,0.13511693477630615,2.0332961440086366,-0.39876091480255127,-0.08134354650974274,-0.4068952694535257
reach,4,fixed_rank4,native,0.8957762718200684,0.040255676954984665,0.8998018395155668,1.4350371360778809,0.03176172822713852,1.4382133089005946,1.8778507709503174,0.13798564672470093,1.8916493356227875,-0.4428136348724365,-0.10622391849756241,-0.45343602672219285
reach,4,fixed_rank4,fixed_rank4,0.9085909724235535,0.041680674999952316,0.9127590399235487,1.444014310836792,0.030962958931922913,1.4471106067299844,1.9337471723556519,0.14025229215621948,1.9477724015712738,-0.48973286151885986,-0.10928933322429657,-0.5006617948412895
reach,4,fixed_rank4,matched_random_fixed_rank4,0.6396960020065308,0.033242419362068176,0.6430202439427376,1.621888518333435,0.05422910675406456,1.6273114290088415,2.019784450531006,0.13511693477630615,2.0332961440086366,-0.3978959321975708,-0.08088782802224159,-0.40598471499979505
reach,4,matched_random_fixed_rank4,native,0.8976218700408936,0.04053685814142227,0.9016755558550358,1.4328107833862305,0.031463801860809326,1.4359571635723114,1.8778507709503174,0.13798564672470093,1.8916493356227875,-0.4450399875640869,-0.1065218448638916,-0.4556921720504761
reach,4,matched_random_fixed_rank4,fixed_rank4,0.9102187156677246,0.04197991266846657,0.9144167069345712,1.441843032836914,0.030672580003738403,1.444910290837288,1.9337471723556519,0.14025229215621948,1.9477724015712738,-0.4919041395187378,-0.10957971215248108,-0.5028621107339859
reach,4,matched_random_fixed_rank4,matched_random_fixed_rank4,0.6407319903373718,0.0334356427192688,0.6440755546092987,1.621289610862732,0.05398909002542496,1.6266885198652745,2.019784450531006,0.13511693477630615,2.0332961440086366,-0.3984948396682739,-0.0811278447508812,-0.40660762414336205
reach,5,native,native,1.2205883264541626,0.04548149183392525,1.2251364756375551,1.6789436340332031,0.05276022106409073,1.684219656139612,2.3049306869506836,0.1718364953994751,2.322114336490631,-0.6259870529174805,-0.11907627433538437,-0.6378946803510188
reach,5,native,fixed_rank4,1.2451614141464233,0.04686851426959038,1.2498482655733825,1.6796926259994507,0.053000833839178085,1.6849927093833685,2.314873218536377,0.17306512594223022,2.3321797311306,-0.6351805925369263,-0.12006429210305214,-0.6471870217472315
reach,5,native,matched_random_fixed_rank4,1.2451612949371338,0.046868495643138885,1.2498481445014478,1.6796926259994507,0.05300084501504898,1.6849927105009557,2.314873218536377,0.17306512594223022,2.3321797311306,-0.6351805925369263,-0.12006428092718124,-0.6471870206296444
reach,5,fixed_rank4,native,1.2173552513122559,0.04506323114037514,1.2218615744262933,1.6809284687042236,0.053107667714357376,1.6862392354756595,2.3049306869506836,0.1718364953994751,2.322114336490631,-0.62400221824646,-0.11872882768511772,-0.6358751010149715
reach,5,fixed_rank4,fixed_rank4,1.2420201301574707,0.04644392430782318,1.246664522588253,1.6816895008087158,0.05334794893860817,1.6870242957025767,2.314873218536377,0.17306512594223022,2.3321797311306,-0.6331837177276611,-0.11971717700362206,-0.6451554354280233
reach,5,fixed_rank4,matched_random_fixed_rank4,1.2420200109481812,0.04644389823079109,1.2466644007712602,1.6816895008087158,0.05334797129034996,1.6870242979377508,2.314873218536377,0.17306512594223022,2.3321797311306,-0.6331837177276611,-0.11971715465188026,-0.6451554331928493
reach,5,matched_random_fixed_rank4,native,1.2203201055526733,0.04524490237236023,1.2248445957899095,1.6790908575057983,0.05290912091732025,1.6843817695975303,2.3049306869506836,0.1718364953994751,2.322114336490631,-0.6258398294448853,-0.11892737448215485,-0.6377325668931006
reach,5,matched_random_fixed_rank4,fixed_rank4,1.2449097633361816,0.04662611708045006,1.2495723750442267,1.6798367500305176,0.05314920097589493,1.685151670128107,2.314873218536377,0.17306512594223022,2.3321797311306,-0.6350364685058594,-0.1199159249663353,-0.647028061002493
reach,5,matched_random_fixed_rank4,matched_random_fixed_rank4,1.2449095249176025,0.04662608355283737,1.2495721332728862,1.6798369884490967,0.05314921960234642,1.6851519104093313,2.314873218536377,0.17306512594223022,2.3321797311306,-0.6350362300872803,-0.1199159063398838,-0.6470278207212687
reach,6,native,native,0.8870940208435059,0.02933783456683159,0.890027804300189,1.4534807205200195,0.025365272536873817,1.456017247773707,1.9530514478683472,0.10694903135299683,1.9637463510036468,-0.49957072734832764,-0.08158375881612301,-0.5077291032299398
reach,6,native,fixed_rank4,0.8396323919296265,0.02662147581577301,0.8422945395112038,1.4528882503509521,0.02537941001355648,1.4554261913523079,1.9607031345367432,0.09790012240409851,1.970493146777153,-0.507814884185791,-0.07252071239054203,-0.515066955424845
reach,6,native,matched_random_fixed_rank4,0.8662592768669128,0.027277836576104164,0.8689870605245232,1.4658911228179932,0.02697281911969185,1.4685884047299624,1.9713925123214722,0.10581804811954498,1.9819743171334268,-0.505501389503479,-0.07884522899985313,-0.5133859124034643
reach,6,fixed_rank4,native,0.885159969329834,0.028939245268702507,0.8880538938567042,1.4557307958602905,0.025699861347675323,1.458300781995058,1.9530514478683472,0.10694903135299683,1.9637463510036468,-0.49732065200805664,-0.0812491700053215,-0.5054455690085888
reach,6,fixed_rank4,fixed_rank4,0.8377799987792969,0.02625620737671852,0.8404056195169687,1.455181360244751,0.02572481706738472,1.4577538419514895,1.9607031345367432,0.09790012240409851,1.970493146777153,-0.5055217742919922,-0.07217530533671379,-0.5127393048256634
reach,6,fixed_rank4,matched_random_fixed_rank4,0.8643857836723328,0.026897892355918884,0.8670755729079247,1.4682042598724365,0.027315404266119003,1.4709358002990485,1.9713925123214722,0.10581804811954498,1.9819743171334268,-0.5031882524490356,-0.07850264385342598,-0.5110385168343783
reach,6,matched_random_fixed_rank4,native,0.8870997428894043,0.029166150838136673,0.890016357973218,1.4537190198898315,0.02554221823811531,1.456273241713643,1.9530514478683472,0.10694903135299683,1.9637463510036468,-0.4993324279785156,-0.08140681311488152,-0.5074731092900038
