task,episode,plan_arm,terminal_ee_distance,initial_ee_distance,physical_ee_progress,actual_goal_cost_visual,actual_goal_cost_proprio,actual_goal_cost_weighted,actual_weighted_goal_progress,prefix_success,selected_prefix_sha256,executed_actions_sha256,endpoint_observation_sha256,endpoint_physics_sha256
reach,4,native,0.18106908606322455,0.2684817853473654,0.08741269928414083,1.8778507709503174,0.13798564672470093,1.8916493356227875,0.4975831776857378,False,155e974ca3b9659dd8435772b2e08818b31f88b3a2d29f786c92e7a55a0cf639,ae5fe413f92da41125bbf52934bbcc566be078be58df49956497d722b68b8aa6,53ad6399781c194b507c2a715d19b977e0976c8000d1e71f37680ea7ab5a77ba,43b2ca0ae5f715564103deebff081bd0932b7524e7606873b5e076723f3d67df
reach,4,fixed_rank4,0.18078814840032278,0.2684817853473654,0.0876936369470426,1.9337471723556519,0.14025229215621948,1.9477724015712738,0.4414601117372514,False,b26b1ea7112db24d1c37ff98e740e9bcf3772c7c8ee94267fbfd7c9e54b55d74,da99fa10e0ebf3fa69e0ef071760e9033483c93be43dcdcb8d4de2174bdfeab2,9a1864c8333a0802d215032d22fbdb2a08ee9c86dd2e59991e1738756239bcad,ec17b65c1af8f6223fc3b5b5cae3a88c26b7d5d65d2fce86139e13c695c44e51
reach,4,matched_random_fixed_rank4,0.16793934674130664,0.2684817853473654,0.10054243860605874,2.019784450531006,0.13511693477630615,2.0332961440086366,0.3559363692998887,False,bfa0f09783784814945adb95643b37f02be90c7741340c25ea9d1098ffc554f3,7957523f36740b95ca3042c3c0f12ade3cf88057b458893b63571cebba15f7f2,913662fa786ac951a37efb0d543ab7c7f3e9d212f3aa85220faf591a6f372366,65d3c8fc4bea4be22e5e23c64936cf1f47cfcf47a0fce2daf6c64091b69a67c5
reach,5,native,0.19679899329478426,0.2782269452554675,0.08142795196068323,2.3049306869506836,0.1718364953994751,2.322114336490631,0.4003977715969089,False,e1493cf721a93ed86f2895d1be05aa9f3f683fbee29a2f6830f7ca812efe9ea6,7e4cdf8280db4ec8fd873f88a80c1f8a9daa61e577dc0626b1cc15e7fb37b8b4,389b4b04b54465ac876fdf77d33125bb7a9eef4dce25e8c940dead34762fbdd9,99abf0429cce66fb009cd57d02200e2cd3687d5dd0c37b2c397d2cad5b34edbd
reach,5,fixed_rank4,0.19696703186987213,0.2782269452554675,0.08125991338559535,2.314873218536377,0.17306512594223022,2.3321797311306,0.3903323769569398,False,838e8effa92c1b05384677b31bb104ca557d6976f313c048e3b136832c94b3ee,5be0c124c3423a40df02caa6bb9f0598a76653071977428d8a0a5dac1cbd3b88,ce3aee53dba86178f6e8a6861e8c1a414f7f06f6dcb7735f4532698040c649da,92d13daf935622878a365e1aa56c776816042ff3d1269b1a14b120335e65b0bd
reach,5,matched_random_fixed_rank4,0.19696703186987213,0.2782269452554675,0.08125991338559535,2.314873218536377,0.17306512594223022,2.3321797311306,0.3903323769569398,False,6523e2cc64a898435a45a7c182b181ceeae1d77e05038f691a9f16884ef9081a,9932e5a652b0c837915c5bd5bf389484409b6d7e167f9315d68b36e8901d99fa,8358c9e4dc444b0d0b77696ce40e0d5f813cfaac2c7c3f8df9eac7d644685dd5,0afecaf3764334500339f7c1778e987de75626462c086b7c34214f3a786b09fb
reach,6,native,0.13468201660403747,0.2179346943745713,0.08325267777053383,1.9530514478683472,0.10694903135299683,1.9637463510036468,0.6675900101661683,False,b2b32c1ef3c28375153fa67ce192cd038ef06231e29546774294ef3a5f19ac26,4039a4fcb08c840a664eb51d48fe20e88abb462a4fa8ffecf89a9da5478ebad2,c681e7c32d86c9e5237c1bace85f02929f911152857325aae78dfdcb67e4f675,dd6ae6cc1b18fd9f6578622aff5141c674e89197fe7f9cf7e7b2980891417ac5
reach,6,fixed_rank4,0.12982539767570012,0.2179346943745713,0.08810929669887119,1.9607031345367432,0.09790012240409851,1.970493146777153,0.6608432143926621,False,f28d7a6e5de2d084b9c079fce652b80650eae711a3878ed2d039bb8521aecb6c,7b262fc362a4d7b1fdfb525f4116fe267d08cfae111a812a077914a92759ff4e,c5203bfd2711912d2dff3c639a8ec682ac8fb787909bb4d4fb261bff9fe551d2,34918558d19874c213648a202d0efebf63db3f109b15ab6a5e64c605b1f960c4
reach,6,matched_random_fixed_rank4,0.13463493843833976,0.2179346943745713,0.08329975593623154,1.9713925123214722,0.10581804811954498,1.9819743171334268,0.6493620440363883,False,a0c1fb1805348ba9f38a1059701379cd71a79fc4c75fc46b96d6675c034ddcf1,6de4cd7687890a816960690d55f8195dedecdae43ed1ccae297b9c280d054109,4c97a1d3889afea43f7a37f5ea0e1cba19c65fbc23a982fbbeb90807ec8d13d3,a9460c94a4e86d7e9b1c86dcf7cc453a1cffa544e9b63d88f6a0b7bf66755f3c
reach,7,native,0.21935838613926903,0.30670346949410116,0.08734508335483213,2.1782138347625732,0.17966336011886597,2.19618017077446,0.5852194309234617,False,c2e6f900060be1f12a6d4afd4042975c1dcbf73e7c72e28a00d626f2a8566974,0b334df57a4868cfea1275b65e99529d3b6d5287d8bf722c5f405c7209ea622a,03a074f8abbe9f5e133fa9050d70ea989c5cbf1a99d7a7cda0562331631003aa,792fe0bd74851b63c889154242f2113d2edab7fa430ee54c7867a557c506a85a
reach,7,fixed_rank4,0.22240625613376494,0.30670346949410116,0.08429721336033622,2.135650396347046,0.18094077706336975,2.153744474053383,0.6276551276445388,False,0997b40a7d3caf8383637764a0e47b97671a02e6614a170cb6ef295424a15721,04d3f4d38628a08499f0174be27c6cce3fafd1355e72bceaac0e88fdba228fe9,05da7dffe88f508305bfc6da3bffc193ff272fdc0d7f12cc328e1b92fc440540,ce06b17f6e17f42a2e9e12d9a4996ffa2117cd02c8ad5753e9455c5094f416f5
reach,7,matched_random_fixed_rank4,0.21935838613926903,0.30670346949410116,0.08734508335483213,2.1782138347625732,0.17966336011886597,2.19618017077446,0.5852194309234617,False,ea885d782e214584391d02f50149bfcb4dcef072b2921fecc967d2e3c529aa58,d0158e72b49382dded1e172ec5a81ba65ec527a9c27544b256eb95d7e6d0538b,03a074f8abbe9f5e133fa9050d70ea989c5cbf1a99d7a7cda0562331631003aa,634bfe3509252cb16a1fc6578870b9940b8287c1ec97459eedfc16bfaaa561f2
reach,8,native,0.17858426791477053,0.2691066135479647,0.0905223456331942,2.0760750770568848,0.14060170948505402,2.09013524800539,0.42468688935041454,False,6aa428e0cc50e18f27082491852c15c6bf45c1ae7f3060b008dac9fa84dcac1c,7ec8e349619437d57d71c1cd7777ea16854184d007db0a5262070537c7222a3f,869899b20aa0e824fce133010871ee11d934fc31b229d7b33d897d9625eaa967,585b7f9e77d35cfd08b7d402c8a71bf876ddb1a9f5b15b36c9a9e92c82df945d
reach,8,fixed_rank4,0.1755441345051573,0.2691066135479647,0.09356247904280743,1.9510812759399414,0.1268666535615921,1.9637679412961007,0.551054196059704,False,4fbb6227cbaff70aed159490bb104de154fc74142a8cc07f0b764471cb93d665,ac76d670c40ed23f8a40e368a12b980bc407c9e50f304cbce64d7d87a3ccaf39,25fccefb51f0d82f79a938c98cc7b13e1e2bc791066935cf56588efc5899e680,8d984dd9b23ae112438e7f2dfe51f5602b01e643ef2ee872b2e26a32999bb27d
reach,8,matched_random_fixed_rank4,0.17655888904963177,0.2691066135479647,0.09254772449833296,2.0866518020629883,0.13834607601165771,2.1004864096641542,0.4143357276916504,False,12e8db7670e205a70798d5453524d7929582d7cb1492db9c788500cb25dfdea3,392daee276396d68487bbd5c73f4e52e989e0d3bc5bcee8caa7bed5ab5b6b294,701b89930a6f15d7c1b48fd6d290fd207d47891f6c232016024e89917c348891,1ceb0a9b8db67cde3b0e52dc6aec96ed46d346daecf706cdb47c274c26f82011
reach,9,native,0.20440476720020007,0.30153585362157487,0.0971310864213748,2.202946186065674,0.18517954647541046,2.221464140713215,0.5681459859013556,False,45c55dc0cebccf0933a90e045fd46e1614cd4449c121bec7b40d3c732996fd62,339c05073d9c700adc7415b71722c6351eee6fb05e925f33ccd5aac84a3bd304,5b4038fbb2f832874bd051992994c0407855f1b1d720eaffc6cb0e9d6eb7a4ca,e76b93fbbd8470bf9faa69f0bc12105eefd2b43fa339bb4b265849921384ff07
reach,9,fixed_rank4,0.2013925653119012,0.30153585362157487,0.10014328830967367,2.237964153289795,0.18785008788108826,2.2567491620779037,0.5328609645366669,False,c833dcbce7a19b368cd9492ae914354adb9b4338fd5a5c90012dfe70fcf3833d,171ea27ec2ffe7d4c1b1266be3bfa202affacf99066c697b1bd234ce9a001d57,60a0bb1d882f6a50f9e815d0aff1e955979b7b502a56b1c59590a5e57dee495b,9fd99b77525bb959ac3462c5ae3e9e1ab6dbc5c1a6b561312023aff8a9169b1c
reach,9,matched_random_fixed_rank4,0.20281676655489836,0.30153585362157487,0.09871908706667651,2.2135703563690186,0.18659816682338715,2.232230173051357,0.5573799535632133,False,bae3d442b24961e0bade1ee92040a3d9df46ee41ecb57c7fea12c78e227868ec,ddd3e59289d331cb6b4732f3dc7d41c37572d0078e5112c09dc897049689ab84,3009cbd0e1ba2e1e509f4d89a47967835513fa50df2ef8cc9fa0f5a512990ccb,45aaf3609bc06f7b1113cf62f6e8dd46b7a8c8301028ab4e1ef96652e4406ecf
reach,10,native,0.1665606882548551,0.252414684089204,0.08585399583434888,1.9094741344451904,0.11612401157617569,1.921086535602808,0.5326676748692989,False,38319c4eaa9d56f89e94b83155d5aa39a6c1ad6480eb3c74799215df32705ba7,0fc024d7f52aa35ca0e04cca30a82b9818662678b32e411754ae83161a7f1ae6,7c535db094674d1dd6996a1bf07f9a7802dff687798d9408ab86665c626a95cf,c6fcb2a3a15a4dd9ab8de6683ddf43ef68b141cfb4f5eb575d4841ea66fe4210
reach,10,fixed_rank4,0.1625563072694254,0.252414684089204,0.08985837681977857,1.9978574514389038,0.11971469223499298,2.009828920662403,0.4439252898097039,False,2ea5b5e79758d4dff405fa13fc4ed17ea0a4053fdc204e40f2c3c62e79a389d3,02191b50b15acd6ca7eb5785d3f5c66e1cfa9fc871aaf284b00b116e7f81bafb,d089bb8845531c45cca622c077ed2081c1cbe05e287afdb8d797032bc5cf695d,527868cbdba5ea3b8be1bf3f2725dd740d61f7a6253767fa4af446c7b5146cb3
reach,10,matched_random_fixed_rank4,0.1658729406875076,0.252414684089204,0.08654174340169637,1.9682881832122803,0.12221777439117432,1.9805099606513976,0.47324424982070923,False,49070709bc1cbb1751c1ef6a33b91b2a7c692cb5ff45396f9eea4efe75e00f8d,a9e8817a36abdfeed3112edb9a6b582e21a439a051a6902f4d52cbc090399fde,24a1e67aac56cd67f6d92835da1ff6b47e2b623d1484bdca7ba1a0c3c334339b,feaf7a0531b526df2732fe873eda1f780d506ec1889aeadc15cf7ff05c688b52
reach,11,native,0.18379928858700617,0.3018990446726353,0.11809975608562912,2.4248852729797363,0.14841778576374054,2.4397270515561105,0.36039875596761695,False,b4b4359ec1e18f5d7a45395a4201d86385cd59d16a11c628f2a40316be94ce23,8abeacedcc040d9fb52c2041c12e46a24fc4de5abdb2963f89e729c5abc149c8,2da0ccc5ca82c18c4f860aaeb2ab5d9f9bc1c0955af33d9c66e054660a3f9db5,7508226e4176c806c8f177ae256438e36951d74f3da984ebf125e9a831f4193f
reach,11,fixed_rank4,0.18605421417000118,0.3018990446726353,0.11584483050263411,2.4480395317077637,0.14982718229293823,2.4630222499370573,0.3371035575866701,False,db133d539cfbe09df94dba167b526f40139c3c81ddcaa1d9231bf524a753d486,4a99173f6b5ac4a265034ea094cc37f6bcc81e070e9b8416b51e23539e086680,dec49affb5117deb291b5929e1bd247487be997521ffdd23b333d9bb9b1f7fa8,5bf3841bd1cd2fa412b7d2618ad1359ddd526fa9f8656d35605286518919aef2
reach,11,matched_random_fixed_rank4,0.1861035770434131,0.3018990446726353,0.11579546762922219,2.4216084480285645,0.15352243185043335,2.4369606912136077,0.3631651163101197,False,a1697e9b5a0b8db3cc101904cfa91ace40a69d5badbb8dea4ad2df2950c06852,c62ecfc2bfcc4b3f2652427348ba3e5c0f2606b0b9198075ebb83563ebd0c669,9f0126099f848c584dab439d4954256d13a1bf5850f6b11c799eb0058aa12a17,379c5ed6c3207ceec359c6ea69f96822f07fb7aacf14ac0376ae6c5ec66c4dbc
reach,12,native,0.1999269758753966,0.3178515307523362,0.11792455487693959,2.669600248336792,0.19396165013313293,2.688996413350105,0.434520310163498,False,7bc23b5ffca55ca2ad166fa3e08375ac9a7dfb5ceb30ad2a105e77a5860ab6b4,074546d089c0cf70ec6ba279cc3a284f5d928f003dfc373bff390a719c316e3d,cb0518887aec0adfffc1277b46d39844672e5bf6e86e2cb610cf1d6e8299dd61,1688d4491c167708f6f698717faaf6694205cfb1dfcf5cc8643407e32e912285
reach,12,fixed_rank4,0.20122529676969728,0.3178515307523362,0.11662623398263891,2.634439468383789,0.20624306797981262,2.6550637751817705,0.4684529483318327,False,68f857efb9b31f839373ea526d7651cfdfcbbd9790a028822bf280ba2432df48,4c9f16ea916794a6abf93b9cacbd178ef97491974c34bba9e9c1e4953b77d1f8,af28219f35792f50d537cc6f06e2546163a29c5311eef1ce5af354fdd872ce9c,bb165f54eefec74a2c1d1842bcc3e71a9407e19fec3a527d8341fc550a90722d
reach,12,matched_random_fixed_rank4,0.20122529676969728,0.3178515307523362,0.11662623398263891,2.634439468383789,0.20624306797981262,2.6550637751817705,0.4684529483318327,False,16d5b76bb46ec4c4c02f9ff364662cf351c5694ce85b6d8de70c311085f4d8b1,df420820634060c010c6101c2f0a9546a3b71209cccecc2c62c99fb378ecf9ee,af28219f35792f50d537cc6f06e2546163a29c5311eef1ce5af354fdd872ce9c,2dec3cbb61f0e40395aac5e66c13853f72ffff48f6ea0fe5217b1089825d750a
