task,plan_arm,metric,n,mean,scenario_sd,scenario_se,marginal_95_low,marginal_95_high,bonferroni_family,bonferroni_95_low,bonferroni_95_high,inference_scope
reach,fixed_rank4,terminal_ee_distance,28,0.17849529406897022,0.025733516261432516,0.004863177456213359,0.16902855056695973,0.18767356924650602,,,,descriptive_only
reach,fixed_rank4,initial_ee_distance,28,0.27306070877199606,0.02624817822324565,0.004960439424800658,0.2632983638144062,0.282375965752587,,,,descriptive_only
reach,fixed_rank4,physical_ee_progress,28,0.09456541470302579,0.015492406840622749,0.002927789693580262,0.08901128082017855,0.1002378779623942,,,,descriptive_only
reach,fixed_rank4,actual_goal_cost_visual,28,2.200177435364042,0.29922010912798397,0.05654728543016096,2.089811795737062,2.306703604544912,,,,descriptive_only
reach,fixed_rank4,actual_goal_cost_proprio,28,0.15317481463508947,0.04303101434859395,0.008132097330659404,0.13761320377566985,0.16900776846866516,,,,descriptive_only
reach,fixed_rank4,actual_goal_cost_weighted,28,2.2154949168275513,0.3028236921626246,0.05722829861147743,2.1036685441913345,2.323696368014706,,,,descriptive_only
reach,fixed_rank4,actual_weighted_goal_progress,28,0.4788114857194679,0.10167457525874442,0.019214688628054172,0.44315703369943166,0.5165052168603453,,,,descriptive_only
reach,fixed_rank4,prefix_success,28,0.0,0.0,0.0,0.0,0.0,,,,descriptive_only
reach,matched_random_fixed_rank4,terminal_ee_distance,28,0.17905477931025396,0.025067443202043602,0.004737301479774573,0.1698036082006072,0.18802970724037635,,,,descriptive_only
reach,matched_random_fixed_rank4,initial_ee_distance,28,0.27306070877199606,0.02624817822324565,0.004960439424800658,0.2632983638144062,0.282375965752587,,,,descriptive_only
reach,matched_random_fixed_rank4,physical_ee_progress,28,0.09400592946174206,0.01549258006721037,0.002927822430328213,0.08845201725869432,0.09963969067300513,,,,descriptive_only
reach,matched_random_fixed_rank4,actual_goal_cost_visual,28,2.2095989201750075,0.28380156184986316,0.053633453881889566,2.105283450654574,2.311660858775888,,,,descriptive_only
reach,matched_random_fixed_rank4,actual_goal_cost_proprio,28,0.15399217339498655,0.04166052966016823,0.007873100069145381,0.1389889738588993,0.1693311030909951,,,,descriptive_only
reach,matched_random_fixed_rank4,actual_goal_cost_weighted,28,2.224998137514506,0.287334544001779,0.0543011247504895,2.1193497850227034,2.328461676704298,,,,descriptive_only
reach,matched_random_fixed_rank4,actual_weighted_goal_progress,28,0.4693082650325127,0.10284032097032385,0.019434993859824116,0.4332785903742271,0.5079385052135745,,,,descriptive_only
reach,matched_random_fixed_rank4,prefix_success,28,0.0,0.0,0.0,0.0,0.0,,,,descriptive_only
reach,native,terminal_ee_distance,28,0.17890599316930955,0.024763341806461017,0.004679831717913202,0.1697026932763053,0.1877210757628305,,,,descriptive_only
reach,native,initial_ee_distance,28,0.27306070877199606,0.02624817822324565,0.004960439424800658,0.2632983638144062,0.282375965752587,,,,descriptive_only
reach,native,physical_ee_progress,28,0.09415471560268648,0.014893117775621363,0.0028145347057635414,0.08890770498866465,0.09961856769926328,,,,descriptive_only
reach,native,actual_goal_cost_visual,28,2.204130130154746,0.29687784329064504,0.056104638793732294,2.096735211036035,2.311395503154823,,,,descriptive_only
reach,native,actual_goal_cost_proprio,28,0.1509401902024235,0.03876039317341978,0.007325025789711028,0.13684974572222147,0.16510396053615425,,,,descriptive_only
reach,native,actual_goal_cost_weighted,28,2.2192241491749884,0.30016441999994886,0.0567257434107005,2.1107461077799754,2.3279055295838043,,,,descriptive_only
reach,native,actual_weighted_goal_progress,28,0.4750822533720305,0.09466043173555619,0.01788914009787771,0.44147959046065804,0.5097897719917818,,,,descriptive_only
reach,native,prefix_success,28,0.0,0.0,0.0,0.0,0.0,,,,descriptive_only
reach-wall,fixed_rank4,terminal_ee_distance,28,0.19196459001188546,0.019698030253949617,0.0037225778121269403,0.1849660042891096,0.1993861724352205,,,,descriptive_only
reach-wall,fixed_rank4,initial_ee_distance,28,0.2855864094103647,0.014666506417901104,0.0027717091845642196,0.2801656385696282,0.29093652113616864,,,,descriptive_only
reach-wall,fixed_rank4,physical_ee_progress,28,0.09362181939847927,0.01023938836472546,0.0019350625136051356,0.08973961803877627,0.0972169009700448,,,,descriptive_only
reach-wall,fixed_rank4,actual_goal_cost_visual,28,2.292598239013127,0.16863752759769932,0.03186949712402171,2.232526100746223,2.3556227681892254,,,,descriptive_only
