task,arm,predicted_preference_sign,actual_preference_sign,count,n,fraction
reach,fixed_rank4,-1,-1,8,28,0.2857142857142857
reach,fixed_rank4,-1,0,1,28,0.03571428571428571
reach,fixed_rank4,-1,1,6,28,0.21428571428571427
reach,fixed_rank4,0,-1,0,28,0.0
reach,fixed_rank4,0,0,0,28,0.0
reach,fixed_rank4,0,1,0,28,0.0
reach,fixed_rank4,1,-1,5,28,0.17857142857142858
reach,fixed_rank4,1,0,0,28,0.0
reach,fixed_rank4,1,1,8,28,0.2857142857142857
reach,matched_random_fixed_rank4,-1,-1,6,28,0.21428571428571427
reach,matched_random_fixed_rank4,-1,0,1,28,0.03571428571428571
reach,matched_random_fixed_rank4,-1,1,6,28,0.21428571428571427
reach,matched_random_fixed_rank4,0,-1,0,28,0.0
reach,matched_random_fixed_rank4,0,0,0,28,0.0
reach,matched_random_fixed_rank4,0,1,0,28,0.0
reach,matched_random_fixed_rank4,1,-1,5,28,0.17857142857142858
reach,matched_random_fixed_rank4,1,0,2,28,0.07142857142857142
reach,matched_random_fixed_rank4,1,1,8,28,0.2857142857142857
reach-wall,fixed_rank4,-1,-1,4,28,0.14285714285714285
reach-wall,fixed_rank4,-1,0,1,28,0.03571428571428571
reach-wall,fixed_rank4,-1,1,8,28,0.2857142857142857
reach-wall,fixed_rank4,0,-1,0,28,0.0
reach-wall,fixed_rank4,0,0,0,28,0.0
reach-wall,fixed_rank4,0,1,0,28,0.0
reach-wall,fixed_rank4,1,-1,8,28,0.2857142857142857
reach-wall,fixed_rank4,1,0,1,28,0.03571428571428571
reach-wall,fixed_rank4,1,1,6,28,0.21428571428571427
reach-wall,matched_random_fixed_rank4,-1,-1,3,28,0.10714285714285714
reach-wall,matched_random_fixed_rank4,-1,0,7,28,0.25
reach-wall,matched_random_fixed_rank4,-1,1,4,28,0.14285714285714285
reach-wall,matched_random_fixed_rank4,0,-1,0,28,0.0
reach-wall,matched_random_fixed_rank4,0,0,0,28,0.0
reach-wall,matched_random_fixed_rank4,0,1,0,28,0.0
reach-wall,matched_random_fixed_rank4,1,-1,4,28,0.14285714285714285
reach-wall,matched_random_fixed_rank4,1,0,7,28,0.25
reach-wall,matched_random_fixed_rank4,1,1,3,28,0.10714285714285714
