task,arm,metric,n,mean,scenario_sd,scenario_se,marginal_95_low,marginal_95_high,bonferroni_family,bonferroni_95_low,bonferroni_95_high,inference_scope
reach,fixed_rank4,actual_weighted_goal_cost,28,-0.00372923234743732,0.05725365246636573,0.010819923291151683,-0.025185042010354073,0.01651833022944621,12,-0.03627730903454078,0.025360588971470043,prespecified_primary_family12
reach,fixed_rank4,same_native_prefix_forecast_weighted_mse,28,-0.0027197480933474666,0.0006829707838902216,0.0001290693462068832,-0.002959346106176144,-0.002462465354474238,12,-0.0030607647358556343,-0.002342438703954457,prespecified_primary_family12
reach,fixed_rank4,terminal_ee_distance,28,-0.00041069910033931275,0.004777433101389286,0.0009028499922517198,-0.0021611179430899943,0.0013294596306526335,12,-0.003010062118696533,0.0021762385161460374,prespecified_primary_family12
reach,matched_random_fixed_rank4,actual_weighted_goal_cost,28,0.005773988339517803,0.05580728988380929,0.010546586455503578,-0.013788450861216639,0.026479502471962166,12,-0.02230119715749638,0.03647899675826089,prespecified_primary_family12
reach,matched_random_fixed_rank4,same_native_prefix_forecast_weighted_mse,28,-0.00017934120925408977,0.00013012328654993764,2.459098971353792e-05,-0.00022816446809367268,-0.0001345564666137459,12,-0.0002524397655395617,-0.00011579200064128784,prespecified_primary_family12
reach,matched_random_fixed_rank4,terminal_ee_distance,28,0.0001487861409444178,0.004525150806007542,0.0008551731198399602,-0.0014788296226238438,0.0017948743797970195,12,-0.0023022091770874367,0.0026006863486490897,prespecified_primary_family12
reach-wall,fixed_rank4,actual_weighted_goal_cost,28,0.0012262964887278674,0.045854075462477405,0.008665605733750305,-0.015578037709263765,0.01789639652440592,12,-0.0230700797752832,0.025818353263949604,prespecified_primary_family12
reach-wall,fixed_rank4,same_native_prefix_forecast_weighted_mse,28,-0.0022679191947515315,0.0006521704483841055,0.00012324862991784495,-0.0025023200441085416,-0.002030633391945507,12,-0.0026068265664313433,-0.0019046618824358984,prespecified_primary_family12
reach-wall,fixed_rank4,terminal_ee_distance,28,-0.000510501454979615,0.003146763650202078,0.0005946824323666103,-0.0016866495401481154,0.000609004985534654,12,-0.0022362181843277604,0.0011493919974799496,prespecified_primary_family12
reach-wall,matched_random_fixed_rank4,actual_weighted_goal_cost,28,-0.0027922754575099135,0.015909222002753833,0.003006560355128827,-0.008863035116477704,0.0028915570031053392,12,-0.01162330186321579,0.00522118324341838,prespecified_primary_family12
reach-wall,matched_random_fixed_rank4,same_native_prefix_forecast_weighted_mse,28,3.8418180442312266e-05,0.00011144486641686466,2.1061100102416987e-05,-2.7784783325776213e-06,7.775340711568009e-05,12,-2.3400477449660435e-05,9.438078535911897e-05,prespecified_primary_family12
reach-wall,matched_random_fixed_rank4,terminal_ee_distance,28,0.00010209418927219117,0.0018887036785805926,0.00035693144527265127,-0.0006181200004864238,0.0007645838821127319,12,-0.0010394108248508876,0.0010987068225096694,prespecified_primary_family12
